# event_ticker=KXATPCHALLENGERMATCH-26MAY11RODSMI
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Colton Smith
# fav_player=Jurij Rodionov
# dog_player=Colton Smith
# kalshi_date=2026-05-11
timestamp,Jurij Rodionov,Colton Smith
2026-05-11T16:38:00Z,48.24,51.88
2026-05-11T16:39:00Z,44.93,55.18
2026-05-11T16:40:00Z,45.00,55.00
2026-05-11T16:41:00Z,45.00,56.00
2026-05-11T16:42:00Z,47.85,54.26
2026-05-11T16:43:00Z,47.00,55.59
2026-05-11T16:44:00Z,48.84,52.27
2026-05-11T16:45:00Z,45.21,51.51
2026-05-11T16:46:00Z,49.00,51.24
2026-05-11T16:47:00Z,46.00,56.68
2026-05-11T16:48:00Z,45.67,57.42
2026-05-11T16:49:00Z,39.31,59.66
2026-05-11T16:50:00Z,46.92,53.00
2026-05-11T16:51:00Z,48.00,53.00
2026-05-11T16:52:00Z,51.83,47.74
2026-05-11T16:53:00Z,49.00,53.00
2026-05-11T16:54:00Z,47.00,54.00
2026-05-11T16:55:00Z,46.01,52.57
2026-05-11T16:56:00Z,46.28,54.08
2026-05-11T16:57:00Z,48.39,50.31
2026-05-11T16:58:00Z,54.04,46.90
2026-05-11T16:59:00Z,47.00,54.83
2026-05-11T17:00:00Z,45.00,55.79
2026-05-11T17:01:00Z,46.00,54.69
2026-05-11T17:02:00Z,32.97,66.76
2026-05-11T17:03:00Z,34.89,66.08
2026-05-11T17:04:00Z,41.23,54.93
2026-05-11T17:05:00Z,38.92,64.73
2026-05-11T17:06:00Z,25.13,75.74
2026-05-11T17:07:00Z,20.24,79.07
2026-05-11T17:08:00Z,18.11,83.61
2026-05-11T17:09:00Z,14.81,86.85
2026-05-11T17:10:00Z,14.91,85.36
2026-05-11T17:11:00Z,15.66,85.39
2026-05-11T17:12:00Z,16.71,83.97
2026-05-11T17:13:00Z,17.00,83.97
2026-05-11T17:14:00Z,16.47,82.95
2026-05-11T17:15:00Z,30.59,74.31
2026-05-11T17:16:00Z,37.06,63.15
2026-05-11T17:17:00Z,19.69,82.65
2026-05-11T17:18:00Z,11.10,89.63
2026-05-11T17:19:00Z,5.80,93.61
2026-05-11T17:20:00Z,5.94,94.85
2026-05-11T17:21:00Z,5.83,93.59
2026-05-11T17:22:00Z,2.43,98.13
2026-05-11T17:23:00Z,2.43,99.00
2026-05-11T17:26:00Z,2.43,99.00
2026-05-11T17:27:00Z,2.43,99.00
2026-05-11T17:28:00Z,2.43,99.00
2026-05-11T17:29:00Z,2.43,99.00
2026-05-11T17:31:00Z,2.43,99.00
