# event_ticker=KXATPCHALLENGERMATCH-26JUN02FORSEL
# final_score=6-0 7-6(4)
# score_resolution=6-0 7-6
# match_winner=Francesco Forti
# fav_player=Francesco Forti
# dog_player=Jelle Sels
# kalshi_date=2026-06-02
timestamp,Francesco Forti,Jelle Sels
2026-06-02T15:17:00Z,92.00,8.66
2026-06-02T15:18:00Z,92.00,9.00
2026-06-02T15:19:00Z,92.37,9.54
2026-06-02T15:20:00Z,94.42,4.44
2026-06-02T15:21:00Z,95.10,4.25
2026-06-02T15:22:00Z,94.58,5.96
2026-06-02T15:23:00Z,91.34,8.85
2026-06-02T15:24:00Z,93.63,8.00
2026-06-02T15:25:00Z,91.65,10.44
2026-06-02T15:26:00Z,87.09,10.33
2026-06-02T15:27:00Z,88.51,12.11
2026-06-02T15:28:00Z,91.00,9.03
2026-06-02T15:29:00Z,92.00,9.00
2026-06-02T15:30:00Z,93.15,7.10
2026-06-02T15:31:00Z,91.59,9.00
2026-06-02T15:32:00Z,90.88,11.90
2026-06-02T15:33:00Z,90.38,10.81
2026-06-02T15:34:00Z,91.44,9.99
2026-06-02T15:35:00Z,90.00,10.00
2026-06-02T15:36:00Z,91.00,10.00
2026-06-02T15:37:00Z,91.18,9.09
2026-06-02T15:38:00Z,92.81,9.71
2026-06-02T15:39:00Z,93.39,6.80
2026-06-02T15:40:00Z,90.16,11.71
2026-06-02T15:41:00Z,90.62,11.07
2026-06-02T15:42:00Z,91.72,9.69
2026-06-02T15:43:00Z,93.90,7.82
2026-06-02T15:44:00Z,92.44,8.82
2026-06-02T15:45:00Z,89.17,10.99
2026-06-02T15:46:00Z,88.18,12.19
2026-06-02T15:47:00Z,93.85,8.88
2026-06-02T15:48:00Z,92.76,10.17
2026-06-02T15:49:00Z,88.25,13.12
2026-06-02T15:50:00Z,83.25,18.01
2026-06-02T15:51:00Z,87.03,14.00
2026-06-02T15:52:00Z,91.11,8.97
2026-06-02T15:53:00Z,96.75,2.88
2026-06-02T15:54:00Z,98.30,1.66
2026-06-02T15:55:00Z,99.00,1.66
2026-06-02T15:56:00Z,99.00,1.66
2026-06-02T15:57:00Z,99.00,1.00
2026-06-02T15:58:00Z,99.00,1.00
2026-06-02T15:59:00Z,99.00,1.00
2026-06-02T16:00:00Z,99.00,1.00
2026-06-02T16:01:00Z,99.00,1.00
2026-06-02T16:02:00Z,99.00,1.00
2026-06-02T16:03:00Z,99.00,1.00
