# event_ticker=KXATPMATCH-26APR05RUBBOR
# final_score=6-4 1-6 6-1
# score_resolution=4-6 6-1 1-6
# match_winner=Andrey Rublev
# fav_player=Nuno Borges
# dog_player=Andrey Rublev
# kalshi_date=2026-04-05
timestamp,Nuno Borges,Andrey Rublev
2026-04-06T02:08:00Z,24.98,77.00
2026-04-06T02:09:00Z,24.98,77.00
2026-04-06T02:12:00Z,24.98,77.00
2026-04-06T02:17:00Z,24.98,77.00
2026-04-06T02:19:00Z,24.98,77.00
2026-04-06T02:22:00Z,24.98,77.00
2026-04-06T02:24:00Z,24.98,77.00
2026-04-06T02:26:00Z,24.00,77.00
2026-04-06T02:28:00Z,24.00,77.00
2026-04-06T02:29:00Z,24.00,77.00
2026-04-06T02:31:00Z,24.00,77.00
2026-04-06T02:32:00Z,24.00,77.00
2026-04-06T02:34:00Z,24.00,77.00
2026-04-06T02:38:00Z,24.00,77.00
2026-04-06T02:39:00Z,24.00,76.86
2026-04-06T02:40:00Z,24.00,77.00
2026-04-06T02:41:00Z,24.00,77.00
2026-04-06T02:42:00Z,24.00,77.00
2026-04-06T02:44:00Z,24.00,77.00
2026-04-06T02:45:00Z,24.00,77.00
2026-04-06T02:46:00Z,24.00,77.00
2026-04-06T02:48:00Z,24.00,77.00
2026-04-06T02:50:00Z,24.00,77.00
2026-04-06T02:51:00Z,24.00,77.00
2026-04-06T02:52:00Z,24.00,77.00
2026-04-06T02:55:00Z,24.00,77.00
2026-04-06T02:56:00Z,24.00,77.00
2026-04-06T02:57:00Z,24.00,77.00
2026-04-06T03:01:00Z,24.00,77.00
2026-04-06T03:02:00Z,24.00,77.00
2026-04-06T03:04:00Z,24.00,77.00
2026-04-06T03:13:00Z,24.00,77.00
2026-04-06T03:15:00Z,24.00,77.00
2026-04-06T03:16:00Z,24.00,77.00
2026-04-06T03:20:00Z,24.00,77.00
2026-04-06T03:22:00Z,24.00,77.00
2026-04-06T03:23:00Z,24.00,77.00
2026-04-06T03:24:00Z,24.00,77.00
2026-04-06T03:27:00Z,24.00,77.00
2026-04-06T03:29:00Z,24.00,77.00
2026-04-06T03:32:00Z,24.00,77.00
2026-04-06T03:37:00Z,24.00,77.00
2026-04-06T03:38:00Z,24.00,77.00
2026-04-06T03:40:00Z,24.00,77.00
2026-04-06T03:42:00Z,24.00,77.00
2026-04-06T03:43:00Z,24.00,77.00
2026-04-06T03:45:00Z,24.00,77.00
2026-04-06T03:47:00Z,24.00,77.00
2026-04-06T03:49:00Z,24.00,77.71
2026-04-06T03:53:00Z,24.00,78.00
2026-04-06T03:55:00Z,24.00,76.10
2026-04-06T03:59:00Z,23.00,76.10
2026-04-06T04:00:00Z,23.00,78.00
2026-04-06T04:01:00Z,24.00,77.00
2026-04-06T04:02:00Z,24.00,77.00
2026-04-06T04:04:00Z,24.00,77.00
2026-04-06T04:06:00Z,25.00,77.00
2026-04-06T04:11:00Z,25.00,76.00
2026-04-06T04:12:00Z,25.00,77.00
2026-04-06T04:13:00Z,25.00,77.00
2026-04-06T04:15:00Z,24.00,77.00
2026-04-06T04:18:00Z,24.00,77.00
2026-04-06T04:20:00Z,24.00,77.00
2026-04-06T04:24:00Z,24.00,77.00
2026-04-06T04:26:00Z,24.00,77.00
2026-04-06T04:30:00Z,24.00,77.00
2026-04-06T04:34:00Z,24.00,77.00
2026-04-06T04:35:00Z,24.00,77.00
2026-04-06T04:37:00Z,24.00,77.00
2026-04-06T04:38:00Z,24.00,76.00
2026-04-06T04:39:00Z,24.00,77.00
2026-04-06T04:40:00Z,24.00,77.95
2026-04-06T04:41:00Z,24.00,76.00
2026-04-06T04:42:00Z,24.00,76.00
2026-04-06T04:43:00Z,24.00,77.00
2026-04-06T04:44:00Z,24.00,78.00
2026-04-06T04:45:00Z,24.00,78.00
2026-04-06T04:46:00Z,24.00,78.00
2026-04-06T04:48:00Z,23.00,78.00
2026-04-06T04:49:00Z,23.00,78.00
2026-04-06T04:50:00Z,23.00,79.00
2026-04-06T04:51:00Z,23.00,79.00
2026-04-06T04:52:00Z,23.00,79.00
2026-04-06T04:53:00Z,22.06,79.00
2026-04-06T04:54:00Z,23.00,79.00
2026-04-06T04:55:00Z,23.00,79.00
2026-04-06T04:56:00Z,22.00,79.00
2026-04-06T04:57:00Z,23.00,79.00
2026-04-06T04:58:00Z,23.00,79.00
2026-04-06T04:59:00Z,23.00,79.00
2026-04-06T05:01:00Z,23.00,79.00
2026-04-06T05:02:00Z,23.00,79.00
2026-04-06T05:03:00Z,23.00,79.00
2026-04-06T05:04:00Z,23.00,78.00
2026-04-06T05:05:00Z,23.00,79.00
2026-04-06T05:06:00Z,23.00,79.00
2026-04-06T05:07:00Z,23.00,79.00
2026-04-06T05:08:00Z,23.00,79.00
2026-04-06T05:10:00Z,23.00,78.97
2026-04-06T05:11:00Z,23.00,79.41
2026-04-06T05:12:00Z,23.00,79.00
2026-04-06T05:13:00Z,23.00,79.00
2026-04-06T05:14:00Z,23.00,79.00
2026-04-06T05:16:00Z,23.00,79.00
2026-04-06T05:18:00Z,23.00,78.03
2026-04-06T05:19:00Z,23.00,79.00
2026-04-06T05:20:00Z,23.00,79.00
2026-04-06T05:21:00Z,23.00,79.00
2026-04-06T05:22:00Z,23.00,79.00
2026-04-06T05:23:00Z,23.00,79.00
2026-04-06T05:24:00Z,23.00,79.00
2026-04-06T05:25:00Z,23.00,79.00
2026-04-06T05:26:00Z,23.00,79.00
2026-04-06T05:27:00Z,21.00,79.00
2026-04-06T05:28:00Z,21.00,79.57
2026-04-06T05:29:00Z,21.00,79.00
2026-04-06T05:30:00Z,21.00,79.00
2026-04-06T05:32:00Z,23.00,79.00
2026-04-06T05:33:00Z,23.00,79.00
2026-04-06T05:34:00Z,23.00,79.00
2026-04-06T05:35:00Z,23.00,79.00
2026-04-06T05:36:00Z,23.00,79.00
2026-04-06T05:37:00Z,23.00,79.00
2026-04-06T05:38:00Z,23.00,79.00
2026-04-06T05:40:00Z,23.00,79.00
2026-04-06T05:41:00Z,23.00,79.00
2026-04-06T05:42:00Z,23.00,79.00
2026-04-06T05:43:00Z,23.00,79.00
2026-04-06T05:44:00Z,23.00,79.00
2026-04-06T05:47:00Z,23.00,79.00
2026-04-06T05:48:00Z,23.00,79.00
