# event_ticker=KXATPCHALLENGERMATCH-26APR22OSTGAD
# final_score=6-2 4-6 6-4
# match_winner=Daniil Ostapenkov
# fav_player=Daniil Ostapenkov
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-04-22
timestamp,Daniil Ostapenkov,Buvaysar Gadamauri
2026-04-22T08:14:00Z,59.91,41.94
2026-04-22T08:15:00Z,56.13,50.68
2026-04-22T08:16:00Z,55.15,47.08
2026-04-22T08:17:00Z,54.20,47.25
2026-04-22T08:18:00Z,56.16,47.86
2026-04-22T08:19:00Z,59.48,42.86
2026-04-22T08:20:00Z,58.56,43.84
2026-04-22T08:21:00Z,58.49,43.25
2026-04-22T08:22:00Z,61.52,41.24
2026-04-22T08:23:00Z,60.42,42.85
2026-04-22T08:24:00Z,67.39,33.28
2026-04-22T08:25:00Z,59.99,42.57
2026-04-22T08:26:00Z,55.12,45.54
2026-04-22T08:27:00Z,55.10,45.48
2026-04-22T08:28:00Z,58.26,44.47
2026-04-22T08:29:00Z,60.68,42.11
2026-04-22T08:30:00Z,59.91,42.03
2026-04-22T08:31:00Z,58.66,43.63
2026-04-22T08:32:00Z,57.66,44.82
2026-04-22T08:33:00Z,57.00,45.00
2026-04-22T08:34:00Z,48.16,50.71
2026-04-22T08:35:00Z,34.27,64.09
2026-04-22T08:36:00Z,29.90,69.68
2026-04-22T08:37:00Z,29.35,69.69
2026-04-22T08:38:00Z,30.77,70.49
2026-04-22T08:39:00Z,32.42,68.60
2026-04-22T08:40:00Z,32.74,69.19
2026-04-22T08:41:00Z,38.80,66.85
2026-04-22T08:42:00Z,45.76,60.03
2026-04-22T08:43:00Z,39.11,60.75
2026-04-22T08:44:00Z,28.39,72.02
2026-04-22T08:45:00Z,28.58,71.66
2026-04-22T08:46:00Z,28.56,71.60
2026-04-22T08:47:00Z,21.30,77.28
2026-04-22T08:48:00Z,10.83,86.72
2026-04-22T08:49:00Z,9.21,91.32
2026-04-22T08:50:00Z,10.04,90.54
2026-04-22T08:51:00Z,12.57,87.30
2026-04-22T08:52:00Z,28.01,73.38
2026-04-22T08:53:00Z,31.17,70.60
2026-04-22T08:54:00Z,32.51,68.99
2026-04-22T08:55:00Z,32.90,69.62
2026-04-22T08:56:00Z,35.61,65.35
2026-04-22T08:57:00Z,37.87,63.02
2026-04-22T08:58:00Z,42.32,56.28
2026-04-22T08:59:00Z,43.83,57.81
2026-04-22T09:00:00Z,45.16,53.33
2026-04-22T09:01:00Z,46.35,53.74
2026-04-22T09:02:00Z,48.91,56.82
2026-04-22T09:03:00Z,66.44,30.97
2026-04-22T09:04:00Z,68.27,32.15
2026-04-22T09:05:00Z,62.75,34.35
2026-04-22T09:06:00Z,68.97,31.71
2026-04-22T09:07:00Z,75.67,22.60
2026-04-22T09:08:00Z,74.59,26.25
2026-04-22T09:09:00Z,71.61,28.96
2026-04-22T09:10:00Z,70.71,28.38
2026-04-22T09:11:00Z,72.82,29.34
2026-04-22T09:12:00Z,71.78,25.91
2026-04-22T09:13:00Z,72.01,30.04
2026-04-22T09:14:00Z,61.72,35.24
2026-04-22T09:15:00Z,72.53,31.19
2026-04-22T09:16:00Z,68.76,31.58
2026-04-22T09:17:00Z,71.71,25.83
2026-04-22T09:18:00Z,59.32,39.96
2026-04-22T09:19:00Z,71.96,27.30
2026-04-22T09:20:00Z,72.18,30.50
2026-04-22T09:21:00Z,84.31,16.03
2026-04-22T09:22:00Z,83.98,16.10
2026-04-22T09:23:00Z,84.89,16.70
2026-04-22T09:24:00Z,81.71,19.78
2026-04-22T09:25:00Z,81.34,19.97
2026-04-22T09:26:00Z,85.83,16.19
2026-04-22T09:27:00Z,83.59,21.08
2026-04-22T09:28:00Z,87.88,15.96
2026-04-22T09:29:00Z,83.52,21.22
2026-04-22T09:30:00Z,96.61,7.35
2026-04-22T09:31:00Z,99.00,1.00
2026-04-22T09:32:00Z,99.00,1.00
2026-04-22T09:33:00Z,99.00,1.00
