# event_ticker=KXATPCHALLENGERMATCH-26MAY19ORAJUS
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Guido Ivan Justo
# fav_player=Giovanni Oradini
# dog_player=Guido Ivan Justo
# kalshi_date=2026-05-19
timestamp,Giovanni Oradini,Guido Ivan Justo
2026-05-19T15:34:00Z,11.27,90.12
2026-05-19T15:35:00Z,5.64,96.07
2026-05-19T15:36:00Z,3.00,98.98
2026-05-19T15:37:00Z,3.28,97.98
2026-05-19T15:38:00Z,4.00,96.71
2026-05-19T15:39:00Z,4.03,96.00
2026-05-19T15:40:00Z,3.89,96.18
2026-05-19T15:41:00Z,3.00,98.00
2026-05-19T15:42:00Z,1.11,99.00
2026-05-19T15:43:00Z,1.11,99.00
2026-05-19T15:44:00Z,1.11,99.00
2026-05-19T15:45:00Z,1.11,99.00
