# event_ticker=KXATPMATCH-26MAY20COMMUN
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Jaume Munar
# fav_player=Francisco Comesana
# dog_player=Jaume Munar
# kalshi_date=2026-05-20
timestamp,Francisco Comesana,Jaume Munar
2026-05-20T06:51:00Z,40.00,61.00
2026-05-20T06:53:00Z,40.00,61.00
2026-05-20T06:57:00Z,39.00,62.00
2026-05-20T07:01:00Z,39.00,63.00
2026-05-20T07:02:00Z,39.00,63.00
2026-05-20T07:05:00Z,39.00,63.00
2026-05-20T07:21:00Z,39.00,63.00
2026-05-20T07:23:00Z,39.00,63.00
2026-05-20T07:32:00Z,39.00,62.00
2026-05-20T07:34:00Z,39.00,62.00
2026-05-20T07:48:00Z,39.00,63.00
2026-05-20T07:53:00Z,39.00,63.00
2026-05-20T08:00:00Z,39.00,62.00
2026-05-20T08:13:00Z,39.00,62.00
2026-05-20T08:14:00Z,39.00,63.00
2026-05-20T08:19:00Z,39.00,63.00
2026-05-20T08:28:00Z,39.00,63.00
2026-05-20T08:35:00Z,39.00,63.00
2026-05-20T08:37:00Z,39.00,63.00
2026-05-20T08:55:00Z,39.00,63.00
2026-05-20T08:57:00Z,39.00,61.45
2026-05-20T09:18:00Z,39.00,62.00
2026-05-20T09:21:00Z,39.00,62.00
2026-05-20T09:28:00Z,39.00,62.00
2026-05-20T09:31:00Z,39.00,62.00
2026-05-20T09:33:00Z,39.00,62.00
2026-05-20T09:45:00Z,39.00,62.00
2026-05-20T09:56:00Z,39.00,62.00
2026-05-20T09:57:00Z,39.00,62.00
2026-05-20T10:08:00Z,39.00,62.00
2026-05-20T10:09:00Z,39.00,62.00
2026-05-20T10:16:00Z,39.00,62.00
2026-05-20T10:21:00Z,39.00,62.00
2026-05-20T10:24:00Z,39.00,62.00
2026-05-20T10:26:00Z,39.00,62.00
2026-05-20T10:33:00Z,39.00,62.00
2026-05-20T10:34:00Z,39.00,62.00
2026-05-20T10:35:00Z,39.00,62.00
2026-05-20T10:36:00Z,39.00,62.00
2026-05-20T10:38:00Z,39.00,62.00
2026-05-20T10:48:00Z,39.00,60.00
2026-05-20T10:49:00Z,39.00,60.00
2026-05-20T10:50:00Z,40.46,60.00
2026-05-20T10:54:00Z,40.46,61.00
2026-05-20T10:55:00Z,41.00,61.00
2026-05-20T10:59:00Z,41.00,60.99
2026-05-20T11:00:00Z,40.00,60.96
2026-05-20T11:02:00Z,41.92,60.96
2026-05-20T11:06:00Z,41.92,60.00
2026-05-20T11:07:00Z,41.92,60.00
2026-05-20T11:08:00Z,43.16,58.05
2026-05-20T11:09:00Z,44.32,55.00
2026-05-20T11:10:00Z,39.96,59.83
2026-05-20T11:11:00Z,41.33,59.96
2026-05-20T11:12:00Z,41.83,57.08
2026-05-20T11:13:00Z,43.67,55.00
2026-05-20T11:14:00Z,43.67,55.00
2026-05-20T11:15:00Z,43.67,55.17
2026-05-20T11:16:00Z,45.99,53.99
2026-05-20T11:17:00Z,45.99,57.84
