# event_ticker=KXATPCHALLENGERMATCH-26APR07KIRFAU
# final_score=4-6 7-5 7-6(2)
# score_resolution=4-6 7-5 7-6
# match_winner=Strong Kirchheimer
# fav_player=Strong Kirchheimer
# dog_player=Thomas Faurel
# kalshi_date=2026-04-07
timestamp,Strong Kirchheimer,Thomas Faurel
2026-04-07T18:31:00Z,15.53,83.00
2026-04-07T18:32:00Z,17.57,83.52
2026-04-07T18:33:00Z,14.00,83.52
2026-04-07T18:34:00Z,12.04,87.05
2026-04-07T18:35:00Z,10.74,87.05
2026-04-07T18:36:00Z,10.08,90.00
2026-04-07T18:37:00Z,13.12,86.29
2026-04-07T18:38:00Z,14.69,85.00
2026-04-07T18:39:00Z,15.00,85.00
2026-04-07T18:40:00Z,13.57,86.00
2026-04-07T18:41:00Z,11.86,86.00
2026-04-07T18:42:00Z,12.00,90.00
2026-04-07T18:43:00Z,13.00,89.00
2026-04-07T18:44:00Z,13.82,89.00
2026-04-07T18:45:00Z,16.08,86.00
2026-04-07T18:46:00Z,19.71,79.11
2026-04-07T18:47:00Z,24.83,76.00
2026-04-07T18:48:00Z,22.38,77.17
2026-04-07T18:49:00Z,27.29,76.21
2026-04-07T18:50:00Z,23.89,76.56
2026-04-07T18:51:00Z,14.94,86.80
2026-04-07T18:52:00Z,11.22,89.04
2026-04-07T18:53:00Z,11.97,89.81
2026-04-07T18:54:00Z,10.23,89.91
2026-04-07T18:55:00Z,10.87,90.18
2026-04-07T18:56:00Z,10.45,89.24
2026-04-07T18:57:00Z,8.41,91.00
2026-04-07T18:58:00Z,9.00,92.00
2026-04-07T18:59:00Z,8.79,92.00
2026-04-07T19:00:00Z,9.00,92.00
2026-04-07T19:01:00Z,10.72,89.53
2026-04-07T19:02:00Z,12.00,88.00
2026-04-07T19:03:00Z,11.31,89.00
2026-04-07T19:04:00Z,11.44,91.64
2026-04-07T19:05:00Z,9.63,91.00
2026-04-07T19:06:00Z,9.86,91.99
2026-04-07T19:07:00Z,11.00,88.36
2026-04-07T19:08:00Z,13.24,86.52
2026-04-07T19:09:00Z,13.00,89.69
2026-04-07T19:10:00Z,11.33,89.00
2026-04-07T19:11:00Z,10.00,90.00
2026-04-07T19:12:00Z,12.96,87.18
2026-04-07T19:13:00Z,11.81,88.48
2026-04-07T19:14:00Z,10.58,88.06
2026-04-07T19:15:00Z,11.76,89.00
2026-04-07T19:16:00Z,12.85,87.00
2026-04-07T19:17:00Z,14.41,86.00
2026-04-07T19:18:00Z,14.88,86.00
2026-04-07T19:19:00Z,12.23,86.00
2026-04-07T19:20:00Z,14.09,88.00
2026-04-07T19:21:00Z,20.79,77.65
2026-04-07T19:22:00Z,23.38,77.38
2026-04-07T19:23:00Z,22.70,79.99
2026-04-07T19:24:00Z,18.17,82.08
2026-04-07T19:25:00Z,19.81,81.09
2026-04-07T19:26:00Z,21.56,80.02
2026-04-07T19:27:00Z,19.14,81.26
2026-04-07T19:28:00Z,22.02,77.10
2026-04-07T19:29:00Z,15.33,84.39
2026-04-07T19:30:00Z,13.28,87.00
2026-04-07T19:31:00Z,16.66,86.39
2026-04-07T19:32:00Z,18.10,82.92
2026-04-07T19:33:00Z,15.75,85.04
2026-04-07T19:34:00Z,16.24,84.99
2026-04-07T19:35:00Z,13.77,86.05
2026-04-07T19:36:00Z,11.20,88.08
2026-04-07T19:37:00Z,12.01,89.45
2026-04-07T19:38:00Z,14.65,86.86
2026-04-07T19:39:00Z,16.26,84.00
2026-04-07T19:40:00Z,15.92,85.09
2026-04-07T19:41:00Z,13.89,87.12
2026-04-07T19:42:00Z,14.20,86.16
2026-04-07T19:43:00Z,12.28,87.68
2026-04-07T19:44:00Z,12.51,89.76
2026-04-07T19:45:00Z,11.32,90.57
2026-04-07T19:46:00Z,9.38,91.18
2026-04-07T19:47:00Z,12.31,87.76
2026-04-07T19:48:00Z,13.40,88.06
2026-04-07T19:49:00Z,16.50,83.18
2026-04-07T19:50:00Z,17.82,83.00
2026-04-07T19:51:00Z,15.23,85.58
2026-04-07T19:52:00Z,13.00,87.50
2026-04-07T19:53:00Z,11.26,88.01
2026-04-07T19:54:00Z,11.22,90.11
2026-04-07T19:55:00Z,12.14,88.23
2026-04-07T19:56:00Z,15.71,84.00
2026-04-07T19:57:00Z,16.58,83.35
2026-04-07T19:58:00Z,21.25,77.98
2026-04-07T19:59:00Z,24.37,77.07
2026-04-07T20:00:00Z,27.56,79.79
2026-04-07T20:01:00Z,33.18,65.89
2026-04-07T20:02:00Z,32.71,68.00
2026-04-07T20:03:00Z,32.99,68.00
2026-04-07T20:04:00Z,33.34,67.33
2026-04-07T20:05:00Z,36.36,65.58
2026-04-07T20:06:00Z,40.87,59.52
2026-04-07T20:07:00Z,43.45,56.66
2026-04-07T20:08:00Z,45.01,58.36
2026-04-07T20:09:00Z,40.33,59.34
2026-04-07T20:10:00Z,39.66,61.23
2026-04-07T20:11:00Z,36.73,64.47
2026-04-07T20:12:00Z,36.40,65.19
2026-04-07T20:13:00Z,44.35,56.84
2026-04-07T20:14:00Z,45.74,56.00
2026-04-07T20:15:00Z,52.16,48.33
2026-04-07T20:16:00Z,64.93,39.64
2026-04-07T20:17:00Z,71.56,27.03
2026-04-07T20:18:00Z,74.61,26.48
2026-04-07T20:19:00Z,79.78,20.72
2026-04-07T20:20:00Z,83.37,16.43
2026-04-07T20:21:00Z,83.09,16.91
2026-04-07T20:22:00Z,84.89,15.94
2026-04-07T20:23:00Z,82.31,18.27
2026-04-07T20:24:00Z,79.87,21.66
2026-04-07T20:25:00Z,82.83,17.86
2026-04-07T20:26:00Z,79.59,21.11
2026-04-07T20:27:00Z,69.24,30.48
2026-04-07T20:28:00Z,75.18,25.19
2026-04-07T20:29:00Z,85.50,14.95
2026-04-07T20:30:00Z,90.52,9.80
2026-04-07T20:31:00Z,91.60,8.24
2026-04-07T20:32:00Z,89.54,11.43
2026-04-07T20:33:00Z,86.85,13.72
2026-04-07T20:34:00Z,77.78,22.56
2026-04-07T20:35:00Z,62.07,35.81
2026-04-07T20:36:00Z,50.88,49.46
2026-04-07T20:37:00Z,62.41,41.09
2026-04-07T20:38:00Z,61.18,43.46
2026-04-07T20:39:00Z,40.03,58.14
2026-04-07T20:40:00Z,41.85,59.69
2026-04-07T20:41:00Z,49.07,50.63
2026-04-07T20:42:00Z,50.09,50.83
2026-04-07T20:43:00Z,52.08,50.67
2026-04-07T20:44:00Z,55.65,44.56
2026-04-07T20:45:00Z,51.86,46.23
2026-04-07T20:46:00Z,41.09,58.22
2026-04-07T20:47:00Z,30.39,64.88
2026-04-07T20:48:00Z,22.32,79.40
2026-04-07T20:49:00Z,53.12,46.83
2026-04-07T20:50:00Z,70.02,29.91
2026-04-07T20:51:00Z,89.77,10.16
2026-04-07T20:52:00Z,91.96,9.44
2026-04-07T20:53:00Z,98.04,2.05
2026-04-07T20:54:00Z,99.00,1.00
2026-04-07T20:55:00Z,99.00,1.00
2026-04-07T20:56:00Z,99.00,1.00
2026-04-07T20:57:00Z,99.00,1.00
