# event_ticker=KXATPCHALLENGERMATCH-26JUN03GONMON
# final_score=6-1 6-3
# match_winner=Khololwam Montsi
# fav_player=Khololwam Montsi
# dog_player=Mario Gonzalez Fernandez
# kalshi_date=2026-06-03
timestamp,Mario Gonzalez Fernandez,Khololwam Montsi
2026-06-03T13:16:00Z,26.00,72.41
2026-06-03T13:17:00Z,27.00,72.41
2026-06-03T13:18:00Z,28.71,73.50
2026-06-03T13:19:00Z,25.00,77.80
2026-06-03T13:20:00Z,19.00,81.00
2026-06-03T13:21:00Z,19.00,83.03
2026-06-03T13:22:00Z,17.91,82.02
2026-06-03T13:23:00Z,18.17,79.05
2026-06-03T13:24:00Z,21.49,80.35
2026-06-03T13:25:00Z,19.94,81.03
2026-06-03T13:26:00Z,17.00,83.64
2026-06-03T13:27:00Z,16.87,84.33
2026-06-03T13:28:00Z,13.89,84.71
2026-06-03T13:29:00Z,16.97,85.00
2026-06-03T13:30:00Z,15.00,85.00
2026-06-03T13:31:00Z,13.00,85.73
2026-06-03T13:32:00Z,13.00,87.00
2026-06-03T13:33:00Z,15.70,88.00
2026-06-03T13:34:00Z,16.57,84.84
2026-06-03T13:35:00Z,13.63,86.62
2026-06-03T13:36:00Z,17.75,84.04
2026-06-03T13:37:00Z,19.59,81.27
2026-06-03T13:38:00Z,21.44,81.27
2026-06-03T13:39:00Z,22.98,77.00
2026-06-03T13:40:00Z,22.98,78.22
2026-06-03T13:41:00Z,21.93,80.00
2026-06-03T13:42:00Z,22.62,76.74
2026-06-03T13:43:00Z,25.00,74.00
2026-06-03T13:44:00Z,27.33,74.03
2026-06-03T13:45:00Z,25.21,74.27
2026-06-03T13:46:00Z,22.62,78.00
2026-06-03T13:47:00Z,22.88,78.00
2026-06-03T13:48:00Z,21.00,81.09
2026-06-03T13:49:00Z,22.93,79.45
2026-06-03T13:50:00Z,24.14,77.50
2026-06-03T13:51:00Z,25.73,76.45
2026-06-03T13:52:00Z,25.15,77.03
2026-06-03T13:53:00Z,23.16,77.03
2026-06-03T13:54:00Z,24.58,75.07
2026-06-03T13:55:00Z,23.94,77.91
2026-06-03T13:56:00Z,26.59,74.00
2026-06-03T13:57:00Z,28.00,74.30
2026-06-03T13:58:00Z,26.35,73.16
2026-06-03T13:59:00Z,27.52,72.37
2026-06-03T14:00:00Z,25.00,74.05
2026-06-03T14:01:00Z,24.44,76.00
2026-06-03T14:02:00Z,24.82,76.00
2026-06-03T14:03:00Z,22.21,79.09
2026-06-03T14:04:00Z,25.00,77.00
2026-06-03T14:05:00Z,25.59,77.00
2026-06-03T14:06:00Z,24.76,74.99
2026-06-03T14:07:00Z,20.09,79.27
2026-06-03T14:08:00Z,16.21,85.71
2026-06-03T14:09:00Z,11.65,86.96
2026-06-03T14:10:00Z,13.04,85.06
2026-06-03T14:11:00Z,14.76,85.24
2026-06-03T14:12:00Z,11.15,89.00
2026-06-03T14:13:00Z,9.05,90.73
2026-06-03T14:14:00Z,9.39,92.02
2026-06-03T14:15:00Z,5.00,94.91
2026-06-03T14:16:00Z,2.11,96.70
2026-06-03T14:17:00Z,1.46,98.05
2026-06-03T14:18:00Z,2.00,98.02
2026-06-03T14:19:00Z,2.77,97.08
2026-06-03T14:20:00Z,2.62,97.15
2026-06-03T14:21:00Z,2.94,98.01
2026-06-03T14:22:00Z,4.24,96.98
2026-06-03T14:23:00Z,1.02,98.83
2026-06-03T14:24:00Z,1.00,99.00
