# event_ticker=KXATPCHALLENGERMATCH-26MAY15LATOR
# final_score=6-4 6-2
# match_winner=Juan Manuel La Serna
# fav_player=Juan Manuel La Serna
# dog_player=Juan Bautista Torres
# kalshi_date=2026-05-15
timestamp,Juan Manuel La Serna,Juan Bautista Torres
2026-05-15T14:08:00Z,26.00,73.00
2026-05-15T14:09:00Z,26.00,73.00
2026-05-15T14:10:00Z,26.00,73.00
2026-05-15T14:11:00Z,26.00,76.00
2026-05-15T14:12:00Z,26.00,75.00
2026-05-15T14:13:00Z,29.36,71.10
2026-05-15T14:14:00Z,32.74,69.00
2026-05-15T14:15:00Z,31.00,70.00
2026-05-15T14:16:00Z,29.75,72.00
2026-05-15T14:17:00Z,29.66,72.00
2026-05-15T14:18:00Z,29.02,72.00
2026-05-15T14:19:00Z,27.40,73.54
2026-05-15T14:20:00Z,27.91,72.43
2026-05-15T14:21:00Z,27.00,74.00
2026-05-15T14:22:00Z,31.00,74.00
2026-05-15T14:23:00Z,31.37,74.00
2026-05-15T14:24:00Z,33.00,68.00
2026-05-15T14:25:00Z,32.68,68.00
2026-05-15T14:26:00Z,32.86,68.00
2026-05-15T14:27:00Z,37.41,63.69
2026-05-15T14:28:00Z,44.13,57.02
2026-05-15T14:29:00Z,47.11,51.65
2026-05-15T14:30:00Z,50.02,50.64
2026-05-15T14:31:00Z,47.34,53.90
2026-05-15T14:32:00Z,49.50,53.02
2026-05-15T14:33:00Z,47.48,53.38
2026-05-15T14:34:00Z,42.24,57.82
2026-05-15T14:35:00Z,35.84,64.74
2026-05-15T14:36:00Z,34.73,66.00
2026-05-15T14:37:00Z,34.86,65.09
2026-05-15T14:38:00Z,37.42,63.15
2026-05-15T14:39:00Z,38.79,63.43
2026-05-15T14:40:00Z,44.17,59.32
2026-05-15T14:41:00Z,39.07,61.65
2026-05-15T14:42:00Z,34.90,64.93
2026-05-15T14:43:00Z,34.09,66.29
2026-05-15T14:44:00Z,42.22,60.62
2026-05-15T14:45:00Z,38.20,60.08
2026-05-15T14:46:00Z,34.45,64.13
2026-05-15T14:47:00Z,36.68,64.97
2026-05-15T14:48:00Z,43.91,54.46
2026-05-15T14:49:00Z,47.92,52.54
2026-05-15T14:50:00Z,49.23,51.18
2026-05-15T14:51:00Z,55.80,47.67
2026-05-15T14:52:00Z,55.20,44.99
2026-05-15T14:53:00Z,55.62,45.00
2026-05-15T14:54:00Z,55.74,46.96
2026-05-15T14:55:00Z,52.92,47.25
2026-05-15T14:56:00Z,49.79,49.78
2026-05-15T14:57:00Z,48.11,52.20
2026-05-15T14:58:00Z,44.26,56.41
2026-05-15T14:59:00Z,43.15,61.72
2026-05-15T15:00:00Z,39.76,61.97
2026-05-15T15:01:00Z,37.60,63.67
2026-05-15T15:02:00Z,37.09,63.08
2026-05-15T15:03:00Z,39.59,61.11
2026-05-15T15:04:00Z,41.48,59.39
2026-05-15T15:05:00Z,48.28,52.17
2026-05-15T15:06:00Z,56.31,43.44
2026-05-15T15:07:00Z,59.73,41.53
2026-05-15T15:08:00Z,58.96,42.51
2026-05-15T15:09:00Z,58.52,42.12
2026-05-15T15:10:00Z,58.90,42.44
2026-05-15T15:11:00Z,58.84,42.66
2026-05-15T15:12:00Z,61.76,39.14
2026-05-15T15:13:00Z,64.22,36.58
2026-05-15T15:14:00Z,65.07,36.90
2026-05-15T15:15:00Z,64.87,36.55
2026-05-15T15:16:00Z,61.87,38.96
2026-05-15T15:17:00Z,65.08,36.60
2026-05-15T15:18:00Z,71.46,31.89
2026-05-15T15:19:00Z,68.66,31.39
2026-05-15T15:20:00Z,74.37,28.93
2026-05-15T15:21:00Z,81.21,20.84
2026-05-15T15:22:00Z,83.17,17.66
2026-05-15T15:23:00Z,85.93,14.25
2026-05-15T15:24:00Z,87.25,13.04
2026-05-15T15:25:00Z,87.98,12.16
2026-05-15T15:26:00Z,87.65,12.12
2026-05-15T15:27:00Z,86.25,13.98
2026-05-15T15:28:00Z,85.43,14.99
2026-05-15T15:29:00Z,85.60,16.33
2026-05-15T15:30:00Z,85.34,15.66
2026-05-15T15:31:00Z,85.85,14.35
2026-05-15T15:32:00Z,87.61,12.50
2026-05-15T15:33:00Z,88.06,12.02
2026-05-15T15:34:00Z,89.37,11.15
2026-05-15T15:35:00Z,89.90,10.98
2026-05-15T15:36:00Z,89.98,10.77
2026-05-15T15:37:00Z,89.54,11.31
2026-05-15T15:38:00Z,89.87,12.00
2026-05-15T15:39:00Z,92.48,7.81
2026-05-15T15:40:00Z,91.47,8.63
2026-05-15T15:41:00Z,93.42,6.61
2026-05-15T15:42:00Z,90.64,10.14
2026-05-15T15:43:00Z,88.00,11.75
2026-05-15T15:44:00Z,90.99,10.29
2026-05-15T15:45:00Z,93.65,6.10
2026-05-15T15:46:00Z,94.73,5.44
2026-05-15T15:47:00Z,94.91,5.38
2026-05-15T15:48:00Z,95.91,4.21
2026-05-15T15:49:00Z,97.22,4.38
2026-05-15T15:50:00Z,98.98,1.10
2026-05-15T15:51:00Z,99.00,1.00
2026-05-15T15:52:00Z,99.00,1.00
2026-05-15T15:53:00Z,99.00,1.00
2026-05-15T15:54:00Z,99.00,1.00
2026-05-15T15:55:00Z,99.00,1.00
2026-05-15T15:56:00Z,99.00,1.00
