# event_ticker=KXATPMATCH-26MAR18CAZBAR
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Arthur Cazaux
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Arthur Cazaux
# kalshi_date=2026-03-18
timestamp,Marcelo Tomas Barrios Vera,Arthur Cazaux
2026-03-21T00:01:00Z,45.00,54.22
2026-03-21T00:02:00Z,46.00,57.93
2026-03-21T00:03:00Z,46.20,58.33
2026-03-21T00:04:00Z,41.07,59.66
2026-03-21T00:05:00Z,39.50,61.00
2026-03-21T00:06:00Z,39.50,61.00
2026-03-21T00:07:00Z,41.83,60.78
2026-03-21T00:08:00Z,45.79,57.68
2026-03-21T00:09:00Z,46.93,54.03
2026-03-21T00:10:00Z,45.00,58.91
2026-03-21T00:11:00Z,40.00,62.00
2026-03-21T00:13:00Z,39.82,59.42
2026-03-21T00:14:00Z,44.46,57.16
2026-03-21T00:15:00Z,45.18,54.00
2026-03-21T00:16:00Z,45.18,56.63
2026-03-21T00:17:00Z,42.00,60.00
2026-03-21T00:18:00Z,42.00,59.32
2026-03-21T00:19:00Z,42.00,59.98
2026-03-21T00:20:00Z,39.98,61.00
2026-03-21T00:21:00Z,42.00,60.97
2026-03-21T00:22:00Z,38.78,60.99
2026-03-21T00:23:00Z,42.56,61.97
2026-03-21T00:24:00Z,24.59,72.34
2026-03-21T00:25:00Z,20.00,80.08
2026-03-21T00:26:00Z,19.92,80.81
2026-03-21T00:27:00Z,18.65,80.20
2026-03-21T00:28:00Z,16.66,83.21
2026-03-21T00:29:00Z,15.86,84.00
2026-03-21T00:30:00Z,16.17,82.07
2026-03-21T00:31:00Z,19.49,81.00
2026-03-21T00:32:00Z,19.22,80.97
2026-03-21T00:33:00Z,19.56,80.97
2026-03-21T00:34:00Z,17.69,83.00
2026-03-21T00:35:00Z,17.00,82.01
2026-03-21T00:36:00Z,17.11,82.98
2026-03-21T00:37:00Z,19.40,80.19
2026-03-21T00:38:00Z,21.00,81.07
2026-03-21T00:39:00Z,19.51,80.33
2026-03-21T00:40:00Z,23.84,79.67
2026-03-21T00:41:00Z,22.24,80.57
2026-03-21T00:42:00Z,17.43,82.94
2026-03-21T00:43:00Z,18.00,84.00
2026-03-21T00:44:00Z,17.97,83.00
2026-03-21T00:45:00Z,18.00,83.00
2026-03-21T00:46:00Z,26.33,80.00
2026-03-21T00:47:00Z,18.00,82.69
2026-03-21T00:48:00Z,20.03,81.01
2026-03-21T00:49:00Z,17.06,84.00
2026-03-21T00:50:00Z,18.00,82.99
2026-03-21T00:51:00Z,15.85,85.60
2026-03-21T00:52:00Z,17.98,86.38
2026-03-21T00:53:00Z,20.70,79.25
2026-03-21T00:54:00Z,20.14,79.14
2026-03-21T00:55:00Z,19.00,81.23
2026-03-21T00:56:00Z,18.00,83.00
2026-03-21T00:57:00Z,17.16,83.01
2026-03-21T00:58:00Z,18.00,83.00
2026-03-21T00:59:00Z,8.61,88.20
2026-03-21T01:00:00Z,10.92,89.50
2026-03-21T01:01:00Z,15.00,85.73
2026-03-21T01:02:00Z,16.51,85.92
2026-03-21T01:03:00Z,14.98,85.98
2026-03-21T01:04:00Z,2.16,96.88
2026-03-21T01:05:00Z,1.00,99.00
2026-03-21T01:06:00Z,1.00,99.00
2026-03-21T01:07:00Z,1.00,99.00
