# event_ticker=KXATPMATCH-26FEB22ATMDIM
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Terence Atmane
# fav_player=Grigor Dimitrov
# dog_player=Terence Atmane
# kalshi_date=2026-02-22
timestamp,Grigor Dimitrov,Terence Atmane
2026-02-24T22:32:00Z,71.00,30.00
2026-02-24T22:35:00Z,71.00,31.00
2026-02-24T22:40:00Z,71.00,31.00
2026-02-24T22:41:00Z,69.00,31.00
2026-02-24T22:43:00Z,71.00,31.00
2026-02-24T22:46:00Z,71.00,31.00
2026-02-24T22:57:00Z,71.00,31.00
2026-02-24T22:58:00Z,69.00,31.00
2026-02-24T23:12:00Z,71.00,31.00
2026-02-24T23:14:00Z,71.00,31.00
2026-02-24T23:18:00Z,71.00,31.00
2026-02-24T23:21:00Z,71.00,31.00
2026-02-24T23:26:00Z,71.00,31.00
2026-02-24T23:28:00Z,70.00,31.00
2026-02-24T23:29:00Z,71.00,31.00
2026-02-24T23:30:00Z,71.00,31.00
2026-02-24T23:31:00Z,71.00,31.00
2026-02-24T23:34:00Z,71.00,31.00
2026-02-24T23:35:00Z,71.00,30.54
2026-02-24T23:38:00Z,71.00,30.54
2026-02-24T23:39:00Z,71.00,30.54
2026-02-24T23:40:00Z,71.00,30.54
2026-02-24T23:41:00Z,71.00,30.54
2026-02-24T23:43:00Z,71.00,30.54
2026-02-24T23:44:00Z,71.00,30.54
2026-02-24T23:45:00Z,71.00,30.54
2026-02-24T23:48:00Z,71.00,30.54
2026-02-24T23:49:00Z,71.00,30.54
2026-02-24T23:50:00Z,71.00,31.00
2026-02-24T23:51:00Z,71.00,31.00
2026-02-24T23:53:00Z,71.00,31.00
2026-02-24T23:54:00Z,71.00,30.00
2026-02-24T23:55:00Z,71.00,30.00
2026-02-24T23:58:00Z,71.00,30.00
2026-02-25T00:00:00Z,71.00,30.00
2026-02-25T00:01:00Z,71.00,31.00
2026-02-25T00:02:00Z,71.00,31.00
2026-02-25T00:03:00Z,71.00,31.00
2026-02-25T00:04:00Z,71.00,31.00
2026-02-25T00:05:00Z,71.00,31.00
2026-02-25T00:06:00Z,71.00,31.00
2026-02-25T00:08:00Z,71.00,30.00
2026-02-25T00:09:00Z,71.00,30.74
2026-02-25T00:10:00Z,71.00,30.07
2026-02-25T00:11:00Z,71.00,31.00
2026-02-25T00:12:00Z,71.00,30.38
2026-02-25T00:13:00Z,72.14,28.00
2026-02-25T00:14:00Z,72.46,27.00
2026-02-25T00:15:00Z,73.00,27.00
2026-02-25T00:17:00Z,72.06,27.30
2026-02-25T00:18:00Z,72.06,29.60
2026-02-25T00:19:00Z,71.06,31.00
2026-02-25T00:20:00Z,69.86,29.15
2026-02-25T00:21:00Z,73.00,28.00
2026-02-25T00:22:00Z,73.00,28.00
2026-02-25T00:23:00Z,73.00,28.00
2026-02-25T00:24:00Z,73.00,31.03
2026-02-25T00:25:00Z,74.09,25.26
2026-02-25T00:26:00Z,77.00,31.25
2026-02-25T00:27:00Z,72.93,30.56
2026-02-25T00:28:00Z,71.01,29.08
2026-02-25T00:29:00Z,72.67,32.46
2026-02-25T00:30:00Z,68.10,34.32
2026-02-25T00:31:00Z,65.08,34.72
2026-02-25T00:32:00Z,63.25,38.16
2026-02-25T00:33:00Z,67.97,32.32
2026-02-25T00:34:00Z,72.00,31.15
2026-02-25T00:35:00Z,69.67,33.28
2026-02-25T00:36:00Z,70.00,30.00
2026-02-25T00:37:00Z,70.00,30.00
2026-02-25T00:38:00Z,70.04,30.54
2026-02-25T00:39:00Z,67.96,32.00
2026-02-25T00:40:00Z,66.00,35.23
2026-02-25T00:41:00Z,68.88,35.23
2026-02-25T00:42:00Z,68.88,33.17
2026-02-25T00:43:00Z,66.66,33.84
2026-02-25T00:44:00Z,65.64,36.76
2026-02-25T00:45:00Z,64.20,36.40
2026-02-25T00:46:00Z,62.90,42.51
2026-02-25T00:47:00Z,51.11,47.06
2026-02-25T00:48:00Z,43.38,55.65
2026-02-25T00:49:00Z,42.33,58.11
2026-02-25T00:50:00Z,39.80,60.96
2026-02-25T00:51:00Z,37.17,62.14
2026-02-25T00:52:00Z,35.04,62.15
2026-02-25T00:53:00Z,35.71,67.00
