# event_ticker=KXATPCHALLENGERMATCH-26APR15SUNSAT
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Fajing Sun
# fav_player=Tai Leonard Sach
# dog_player=Fajing Sun
# kalshi_date=2026-04-15
timestamp,Tai Leonard Sach,Fajing Sun
2026-04-15T06:06:00Z,24.00,78.00
2026-04-15T06:07:00Z,24.00,76.00
2026-04-15T06:09:00Z,24.00,78.00
2026-04-15T06:10:00Z,24.00,78.00
2026-04-15T06:11:00Z,21.13,78.00
2026-04-15T06:13:00Z,21.13,78.00
2026-04-15T06:14:00Z,21.00,77.00
2026-04-15T06:15:00Z,21.00,77.00
2026-04-15T06:16:00Z,24.00,77.00
2026-04-15T06:17:00Z,24.00,77.00
2026-04-15T06:19:00Z,24.00,77.00
2026-04-15T06:20:00Z,24.00,77.00
2026-04-15T06:21:00Z,21.00,77.00
2026-04-15T06:27:00Z,24.00,77.00
2026-04-15T06:31:00Z,24.00,77.25
2026-04-15T06:34:00Z,24.00,74.15
2026-04-15T06:36:00Z,24.00,77.00
2026-04-15T06:37:00Z,24.00,77.00
2026-04-15T06:38:00Z,24.00,77.00
2026-04-15T06:42:00Z,24.96,77.55
2026-04-15T06:44:00Z,24.96,77.00
2026-04-15T06:47:00Z,22.00,77.00
2026-04-15T06:57:00Z,22.00,77.00
2026-04-15T07:02:00Z,24.00,72.90
2026-04-15T07:05:00Z,24.00,77.94
2026-04-15T07:06:00Z,23.74,77.94
2026-04-15T07:08:00Z,23.74,76.00
2026-04-15T07:15:00Z,23.74,77.00
2026-04-15T07:17:00Z,23.74,78.00
2026-04-15T07:20:00Z,23.74,78.00
2026-04-15T07:21:00Z,28.08,76.60
2026-04-15T07:22:00Z,25.94,74.67
2026-04-15T07:23:00Z,25.20,78.42
2026-04-15T07:24:00Z,24.00,77.71
2026-04-15T07:25:00Z,27.68,78.11
2026-04-15T07:26:00Z,26.67,78.23
2026-04-15T07:27:00Z,26.29,79.44
2026-04-15T07:28:00Z,22.98,84.81
2026-04-15T07:29:00Z,25.52,76.93
2026-04-15T07:30:00Z,27.78,75.48
2026-04-15T07:31:00Z,29.67,72.58
2026-04-15T07:32:00Z,32.98,67.72
2026-04-15T07:33:00Z,38.17,73.35
2026-04-15T07:34:00Z,41.21,60.80
2026-04-15T07:35:00Z,36.71,65.40
2026-04-15T07:36:00Z,30.96,69.58
2026-04-15T07:37:00Z,36.91,66.01
2026-04-15T07:38:00Z,35.16,68.53
2026-04-15T07:39:00Z,30.38,70.48
2026-04-15T07:40:00Z,29.55,74.55
2026-04-15T07:41:00Z,27.13,75.33
2026-04-15T07:42:00Z,24.40,83.39
2026-04-15T07:43:00Z,20.30,80.08
2026-04-15T07:44:00Z,13.41,88.68
2026-04-15T07:45:00Z,14.78,89.02
2026-04-15T07:46:00Z,13.28,87.99
2026-04-15T07:47:00Z,8.97,90.70
2026-04-15T07:48:00Z,11.39,90.49
2026-04-15T07:49:00Z,11.42,88.93
2026-04-15T07:50:00Z,10.42,91.10
2026-04-15T07:51:00Z,12.98,88.19
2026-04-15T07:52:00Z,12.85,89.50
2026-04-15T07:53:00Z,9.06,91.00
2026-04-15T07:54:00Z,9.60,93.06
2026-04-15T07:55:00Z,8.74,91.26
2026-04-15T07:56:00Z,8.01,91.59
2026-04-15T07:57:00Z,4.92,93.38
2026-04-15T07:58:00Z,6.30,95.46
2026-04-15T07:59:00Z,7.35,96.24
2026-04-15T08:00:00Z,5.04,94.21
2026-04-15T08:01:00Z,4.14,94.53
2026-04-15T08:02:00Z,5.13,95.06
2026-04-15T08:03:00Z,5.58,94.27
2026-04-15T08:04:00Z,5.24,93.24
2026-04-15T08:05:00Z,6.93,94.96
2026-04-15T08:06:00Z,5.57,96.42
2026-04-15T08:07:00Z,4.62,96.31
2026-04-15T08:08:00Z,4.89,97.61
2026-04-15T08:09:00Z,5.15,96.00
2026-04-15T08:10:00Z,2.06,97.43
2026-04-15T08:11:00Z,1.95,98.94
2026-04-15T08:12:00Z,1.62,98.95
2026-04-15T08:13:00Z,3.87,97.52
2026-04-15T08:14:00Z,3.61,97.00
2026-04-15T08:15:00Z,3.69,97.98
2026-04-15T08:16:00Z,4.44,97.00
2026-04-15T08:17:00Z,2.08,96.98
2026-04-15T08:18:00Z,2.23,97.28
2026-04-15T08:19:00Z,1.07,96.97
2026-04-15T08:20:00Z,1.02,98.85
2026-04-15T08:21:00Z,1.93,98.85
2026-04-15T08:22:00Z,2.07,98.00
2026-04-15T08:23:00Z,1.31,99.00
2026-04-15T08:24:00Z,2.00,99.00
2026-04-15T08:25:00Z,1.00,98.00
2026-04-15T08:26:00Z,1.00,98.89
2026-04-15T08:27:00Z,1.34,98.95
2026-04-15T08:29:00Z,1.34,99.00
2026-04-15T08:31:00Z,1.00,99.00
