# event_ticker=KXATPCHALLENGERMATCH-26APR13GRABIN
# final_score=6-4 6-2
# match_winner=Alexander Binda
# fav_player=Alexandr Binda
# dog_player=Alastair Gray
# kalshi_date=2026-04-13
timestamp,Alexandr Binda,Alastair Gray
2026-04-14T03:10:00Z,73.02,27.56
2026-04-14T03:11:00Z,75.41,26.93
2026-04-14T03:12:00Z,76.01,24.53
2026-04-14T03:13:00Z,79.95,17.40
2026-04-14T03:14:00Z,83.55,16.14
2026-04-14T03:15:00Z,86.36,12.53
2026-04-14T03:16:00Z,90.88,8.97
2026-04-14T03:17:00Z,97.06,4.31
2026-04-14T03:18:00Z,98.34,1.14
2026-04-14T03:19:00Z,97.64,2.96
2026-04-14T03:20:00Z,97.42,2.63
2026-04-14T03:21:00Z,98.12,2.32
2026-04-14T03:22:00Z,97.62,1.41
2026-04-14T03:23:00Z,96.23,4.71
2026-04-14T03:24:00Z,96.51,4.11
2026-04-14T03:25:00Z,94.84,5.32
2026-04-14T03:26:00Z,96.78,3.97
2026-04-14T03:27:00Z,96.60,5.54
2026-04-14T03:28:00Z,98.09,2.65
2026-04-14T03:29:00Z,98.75,1.05
2026-04-14T03:30:00Z,99.00,1.00
2026-04-14T03:31:00Z,99.00,1.00
2026-04-14T03:32:00Z,99.00,1.00
