# event_ticker=KXATPCHALLENGERMATCH-26MAY01GADPOL
# final_score=6-0 6-1
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Mili Poljicak
# kalshi_date=2026-05-01
timestamp,Buvaysar Gadamauri,Mili Poljicak
2026-05-01T09:29:00Z,92.07,8.75
2026-05-01T09:30:00Z,92.07,9.84
2026-05-01T09:31:00Z,90.94,10.07
2026-05-01T09:32:00Z,89.02,12.18
2026-05-01T09:33:00Z,90.71,8.62
2026-05-01T09:34:00Z,93.66,7.54
2026-05-01T09:35:00Z,93.75,5.00
2026-05-01T09:36:00Z,95.00,6.00
2026-05-01T09:37:00Z,97.49,3.13
2026-05-01T09:38:00Z,98.12,2.05
2026-05-01T09:39:00Z,98.12,2.16
2026-05-01T09:40:00Z,98.00,2.56
2026-05-01T09:41:00Z,99.00,1.04
2026-05-01T09:42:00Z,99.00,1.03
2026-05-01T09:45:00Z,99.00,1.03
2026-05-01T09:46:00Z,99.00,1.03
