# event_ticker=KXATPCHALLENGERMATCH-26MAR31HUESAK
# final_score=6-4 6-3
# match_winner=Conner Huertas del Pino
# fav_player=Connor Huertas Del Pino
# dog_player=Pedro Sakamoto
# kalshi_date=2026-03-31
timestamp,Connor Huertas Del Pino,Pedro Sakamoto
2026-03-31T17:05:00Z,67.80,31.59
2026-03-31T17:06:00Z,77.00,29.08
2026-03-31T17:07:00Z,77.83,22.89
2026-03-31T17:08:00Z,76.00,23.43
2026-03-31T17:09:00Z,84.66,17.62
2026-03-31T17:10:00Z,83.22,18.00
2026-03-31T17:11:00Z,79.74,22.92
2026-03-31T17:12:00Z,75.59,24.69
2026-03-31T17:13:00Z,70.36,30.00
2026-03-31T17:14:00Z,72.84,28.38
2026-03-31T17:15:00Z,75.80,25.85
2026-03-31T17:16:00Z,80.44,20.62
2026-03-31T17:17:00Z,84.85,22.21
2026-03-31T17:18:00Z,85.00,16.00
2026-03-31T17:19:00Z,90.79,14.47
2026-03-31T17:20:00Z,94.38,6.31
2026-03-31T17:21:00Z,95.37,6.00
2026-03-31T17:22:00Z,95.82,4.67
2026-03-31T17:23:00Z,96.00,4.00
2026-03-31T17:24:00Z,98.03,1.53
2026-03-31T17:25:00Z,98.76,1.00
2026-03-31T17:26:00Z,99.00,1.00
2026-03-31T17:27:00Z,99.00,1.00
2026-03-31T17:28:00Z,99.00,1.00
2026-03-31T17:29:00Z,99.00,1.00
2026-03-31T17:30:00Z,99.00,1.00
2026-03-31T17:31:00Z,99.00,1.00
2026-03-31T17:32:00Z,99.00,1.00
2026-03-31T17:33:00Z,98.77,1.58
2026-03-31T17:34:00Z,97.25,3.98
2026-03-31T17:35:00Z,94.52,3.51
2026-03-31T17:36:00Z,92.78,7.54
2026-03-31T17:37:00Z,92.18,8.37
2026-03-31T17:38:00Z,96.87,3.69
2026-03-31T17:39:00Z,97.71,3.38
2026-03-31T17:40:00Z,99.00,1.21
2026-03-31T17:41:00Z,99.00,1.21
2026-03-31T17:42:00Z,99.00,1.21
