# event_ticker=KXATPCHALLENGERMATCH-26APR15CORBUE
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Gonzalo Bueno
# fav_player=Federico Coria
# dog_player=Gonzalo Bueno
# kalshi_date=2026-04-15
timestamp,Federico Coria,Gonzalo Bueno
2026-04-16T01:54:00Z,36.58,64.44
2026-04-16T01:55:00Z,31.89,68.58
2026-04-16T01:56:00Z,32.99,68.80
2026-04-16T01:57:00Z,37.41,61.89
2026-04-16T01:58:00Z,40.16,60.47
2026-04-16T01:59:00Z,41.56,58.96
2026-04-16T02:00:00Z,44.04,55.93
2026-04-16T02:01:00Z,40.06,61.11
2026-04-16T02:02:00Z,43.66,58.80
2026-04-16T02:03:00Z,41.22,61.00
2026-04-16T02:04:00Z,39.64,62.32
2026-04-16T02:05:00Z,35.00,64.01
2026-04-16T02:06:00Z,35.23,64.99
2026-04-16T02:07:00Z,40.08,63.38
2026-04-16T02:08:00Z,34.79,67.85
2026-04-16T02:09:00Z,36.03,65.70
2026-04-16T02:10:00Z,42.88,59.16
2026-04-16T02:11:00Z,41.57,58.71
2026-04-16T02:12:00Z,40.99,59.47
2026-04-16T02:13:00Z,37.77,63.35
2026-04-16T02:14:00Z,36.00,63.77
2026-04-16T02:15:00Z,32.49,67.65
2026-04-16T02:16:00Z,24.71,76.48
2026-04-16T02:17:00Z,18.20,81.63
2026-04-16T02:18:00Z,20.06,80.32
2026-04-16T02:19:00Z,19.76,80.98
2026-04-16T02:20:00Z,21.57,80.88
2026-04-16T02:21:00Z,19.01,80.99
2026-04-16T02:22:00Z,17.43,84.05
2026-04-16T02:23:00Z,11.66,88.54
2026-04-16T02:24:00Z,7.77,92.65
2026-04-16T02:25:00Z,7.95,92.82
2026-04-16T02:26:00Z,8.66,92.03
2026-04-16T02:27:00Z,5.48,95.30
2026-04-16T02:28:00Z,4.40,95.97
2026-04-16T02:29:00Z,3.53,96.88
2026-04-16T02:30:00Z,4.72,96.14
2026-04-16T02:31:00Z,5.38,95.48
2026-04-16T02:32:00Z,5.91,94.83
2026-04-16T02:33:00Z,5.10,95.01
2026-04-16T02:34:00Z,5.67,94.71
2026-04-16T02:35:00Z,4.15,95.98
2026-04-16T02:36:00Z,3.50,96.86
2026-04-16T02:37:00Z,2.24,97.61
2026-04-16T02:38:00Z,3.08,97.77
2026-04-16T02:39:00Z,3.23,96.23
2026-04-16T02:40:00Z,3.15,96.98
2026-04-16T02:41:00Z,1.08,98.47
2026-04-16T02:42:00Z,1.00,99.00
2026-04-16T02:43:00Z,1.00,99.00
2026-04-16T02:44:00Z,1.00,99.00
2026-04-16T02:45:00Z,1.00,99.00
2026-04-16T02:46:00Z,1.00,99.00
2026-04-16T02:47:00Z,1.00,99.00
2026-04-16T02:48:00Z,1.00,99.00
2026-04-16T02:49:00Z,1.00,99.00
2026-04-16T02:50:00Z,1.00,99.00
2026-04-16T02:51:00Z,1.00,99.00
2026-04-16T02:52:00Z,1.00,99.00
