# event_ticker=KXATPCHALLENGERMATCH-26APR20GADCUE
# final_score=7-6(6) 7-6(2)
# score_resolution=6-7 6-7
# match_winner=Buvaysar Gadamauri
# fav_player=Sean Cuenin
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-04-20
timestamp,Buvaysar Gadamauri,Sean Cuenin
2026-04-20T11:39:00Z,49.08,52.78
2026-04-20T11:40:00Z,49.79,52.78
2026-04-20T11:41:00Z,66.82,38.36
2026-04-20T11:42:00Z,63.98,37.20
2026-04-20T11:43:00Z,58.30,40.81
2026-04-20T11:44:00Z,51.19,46.30
2026-04-20T11:45:00Z,38.32,61.02
2026-04-20T11:46:00Z,40.85,61.02
2026-04-20T11:47:00Z,45.67,58.95
2026-04-20T11:48:00Z,57.19,47.85
2026-04-20T11:49:00Z,70.48,33.03
2026-04-20T11:50:00Z,66.12,27.09
2026-04-20T11:51:00Z,65.98,39.49
2026-04-20T11:52:00Z,68.48,39.49
2026-04-20T11:53:00Z,65.57,40.57
2026-04-20T11:54:00Z,65.57,38.00
2026-04-20T11:55:00Z,67.51,35.00
2026-04-20T11:56:00Z,64.59,33.42
2026-04-20T11:57:00Z,63.12,38.98
2026-04-20T11:58:00Z,63.12,37.13
2026-04-20T12:00:00Z,58.89,39.00
2026-04-20T12:01:00Z,58.51,46.04
2026-04-20T12:03:00Z,52.00,49.86
2026-04-20T12:04:00Z,53.00,51.00
2026-04-20T12:05:00Z,53.24,43.71
2026-04-20T12:06:00Z,66.72,37.00
2026-04-20T12:07:00Z,70.89,31.29
2026-04-20T12:08:00Z,62.67,42.95
2026-04-20T12:09:00Z,62.67,44.00
2026-04-20T12:10:00Z,60.23,44.00
2026-04-20T12:11:00Z,60.51,45.16
2026-04-20T12:12:00Z,61.20,40.00
2026-04-20T12:13:00Z,64.95,39.00
2026-04-20T12:14:00Z,70.06,35.11
2026-04-20T12:15:00Z,68.04,33.79
2026-04-20T12:16:00Z,70.68,34.08
2026-04-20T12:17:00Z,67.75,29.71
2026-04-20T12:18:00Z,68.30,35.85
2026-04-20T12:19:00Z,75.96,22.64
2026-04-20T12:20:00Z,74.40,31.21
2026-04-20T12:21:00Z,74.00,28.50
2026-04-20T12:22:00Z,78.91,21.92
2026-04-20T12:23:00Z,78.85,23.00
2026-04-20T12:24:00Z,72.52,30.11
2026-04-20T12:25:00Z,70.00,34.72
2026-04-20T12:26:00Z,75.44,25.21
2026-04-20T12:27:00Z,79.00,24.56
2026-04-20T12:28:00Z,74.99,24.03
2026-04-20T12:29:00Z,75.95,24.29
2026-04-20T12:30:00Z,78.75,25.85
2026-04-20T12:31:00Z,71.96,30.45
2026-04-20T12:32:00Z,79.18,23.01
2026-04-20T12:33:00Z,73.96,29.97
2026-04-20T12:34:00Z,77.54,23.56
2026-04-20T12:35:00Z,81.70,21.65
2026-04-20T12:36:00Z,80.85,23.91
2026-04-20T12:37:00Z,84.44,22.44
2026-04-20T12:38:00Z,74.30,27.13
2026-04-20T12:39:00Z,72.43,28.54
2026-04-20T12:40:00Z,75.61,29.11
2026-04-20T12:41:00Z,75.97,26.70
2026-04-20T12:42:00Z,77.21,21.77
2026-04-20T12:43:00Z,77.01,25.19
2026-04-20T12:44:00Z,79.50,23.51
2026-04-20T12:45:00Z,82.42,16.06
2026-04-20T12:46:00Z,89.25,11.12
2026-04-20T12:47:00Z,92.86,6.95
2026-04-20T12:48:00Z,93.14,15.64
2026-04-20T12:49:00Z,81.95,30.34
2026-04-20T12:50:00Z,67.53,38.19
2026-04-20T12:51:00Z,65.36,38.62
2026-04-20T12:52:00Z,69.50,26.06
2026-04-20T12:53:00Z,85.36,16.73
2026-04-20T12:54:00Z,97.70,4.45
2026-04-20T12:55:00Z,98.20,2.26
2026-04-20T12:56:00Z,99.00,1.12
2026-04-20T12:57:00Z,99.00,1.05
2026-04-20T12:58:00Z,99.00,1.05
2026-04-20T12:59:00Z,99.00,1.05
2026-04-20T13:00:00Z,99.00,1.05
2026-04-20T13:01:00Z,99.00,1.05
2026-04-20T13:03:00Z,99.00,1.05
