# event_ticker=KXATPCHALLENGERMATCH-26APR29GASBLA
# final_score=3-6 6-3 6-0
# match_winner=Darwin Blanch
# fav_player=Darwin Blanch
# dog_player=Hugo Gaston
# kalshi_date=2026-04-29
timestamp,Hugo Gaston,Darwin Blanch
2026-04-29T08:08:00Z,62.00,39.99
2026-04-29T08:09:00Z,62.00,39.00
2026-04-29T08:10:00Z,63.00,39.00
2026-04-29T08:11:00Z,58.10,44.38
2026-04-29T08:12:00Z,49.17,49.56
2026-04-29T08:13:00Z,47.06,56.00
2026-04-29T08:14:00Z,45.05,56.65
2026-04-29T08:15:00Z,50.68,49.85
2026-04-29T08:16:00Z,56.80,41.54
2026-04-29T08:17:00Z,63.62,36.02
2026-04-29T08:18:00Z,63.00,35.00
2026-04-29T08:19:00Z,65.99,35.00
2026-04-29T08:20:00Z,68.58,35.39
2026-04-29T08:21:00Z,68.96,31.46
2026-04-29T08:22:00Z,73.00,27.37
2026-04-29T08:23:00Z,74.61,26.27
2026-04-29T08:24:00Z,74.59,27.02
2026-04-29T08:25:00Z,76.39,23.05
2026-04-29T08:26:00Z,78.91,19.84
2026-04-29T08:27:00Z,79.68,21.00
2026-04-29T08:28:00Z,80.00,21.00
2026-04-29T08:29:00Z,77.23,22.39
2026-04-29T08:30:00Z,78.16,21.24
2026-04-29T08:31:00Z,81.99,19.00
2026-04-29T08:32:00Z,80.00,19.05
2026-04-29T08:33:00Z,80.73,20.82
2026-04-29T08:34:00Z,82.84,18.42
2026-04-29T08:35:00Z,80.38,18.21
2026-04-29T08:36:00Z,83.99,16.10
2026-04-29T08:37:00Z,82.77,16.10
2026-04-29T08:38:00Z,82.77,20.23
2026-04-29T08:39:00Z,80.00,20.37
2026-04-29T08:40:00Z,77.03,22.77
2026-04-29T08:41:00Z,77.03,24.44
2026-04-29T08:42:00Z,77.72,22.42
2026-04-29T08:43:00Z,76.23,23.74
2026-04-29T08:44:00Z,74.04,25.69
2026-04-29T08:45:00Z,75.09,23.04
2026-04-29T08:46:00Z,80.69,19.73
2026-04-29T08:47:00Z,80.88,20.98
2026-04-29T08:48:00Z,81.00,20.98
2026-04-29T08:49:00Z,81.00,16.99
2026-04-29T08:50:00Z,87.15,13.39
2026-04-29T08:51:00Z,89.86,11.23
2026-04-29T08:52:00Z,93.00,9.49
2026-04-29T08:53:00Z,90.50,9.00
2026-04-29T08:54:00Z,88.83,11.46
2026-04-29T08:55:00Z,82.03,18.68
2026-04-29T08:56:00Z,77.36,22.00
2026-04-29T08:57:00Z,75.89,22.00
2026-04-29T08:58:00Z,71.52,26.74
2026-04-29T08:59:00Z,69.98,30.05
2026-04-29T09:00:00Z,76.53,22.40
2026-04-29T09:01:00Z,80.83,18.30
2026-04-29T09:02:00Z,82.49,21.60
2026-04-29T09:03:00Z,74.99,25.50
2026-04-29T09:04:00Z,74.00,28.00
2026-04-29T09:05:00Z,74.98,26.98
2026-04-29T09:06:00Z,78.20,21.57
2026-04-29T09:07:00Z,77.58,24.46
2026-04-29T09:08:00Z,77.05,23.24
2026-04-29T09:09:00Z,75.01,23.80
2026-04-29T09:10:00Z,74.00,26.02
2026-04-29T09:11:00Z,72.88,28.12
2026-04-29T09:12:00Z,68.57,33.20
2026-04-29T09:13:00Z,62.75,37.89
2026-04-29T09:14:00Z,54.74,43.46
2026-04-29T09:15:00Z,54.01,46.23
2026-04-29T09:16:00Z,55.00,44.88
2026-04-29T09:17:00Z,55.08,45.75
2026-04-29T09:18:00Z,55.00,45.00
2026-04-29T09:19:00Z,55.00,46.22
2026-04-29T09:20:00Z,55.00,44.73
2026-04-29T09:21:00Z,50.74,46.75
2026-04-29T09:22:00Z,55.22,44.33
2026-04-29T09:23:00Z,41.86,61.75
2026-04-29T09:24:00Z,29.26,69.15
2026-04-29T09:25:00Z,26.07,74.30
2026-04-29T09:26:00Z,21.44,80.75
2026-04-29T09:27:00Z,21.36,80.25
2026-04-29T09:28:00Z,24.60,74.57
2026-04-29T09:29:00Z,22.26,78.23
2026-04-29T09:30:00Z,20.65,79.52
2026-04-29T09:31:00Z,22.71,76.52
2026-04-29T09:32:00Z,9.14,92.67
2026-04-29T09:33:00Z,6.78,92.28
2026-04-29T09:34:00Z,8.08,93.42
2026-04-29T09:35:00Z,11.57,90.97
2026-04-29T09:36:00Z,9.05,89.95
2026-04-29T09:37:00Z,4.36,93.52
2026-04-29T09:38:00Z,2.23,97.61
2026-04-29T09:39:00Z,1.30,99.00
2026-04-29T09:40:00Z,1.99,99.00
2026-04-29T09:41:00Z,1.96,98.99
2026-04-29T09:42:00Z,1.96,99.00
2026-04-29T09:43:00Z,1.00,99.00
2026-04-29T09:44:00Z,1.00,99.00
2026-04-29T09:45:00Z,1.00,99.00
2026-04-29T09:46:00Z,1.00,99.00
2026-04-29T09:47:00Z,1.00,99.00
