# event_ticker=KXATPMATCH-25JUL24EVAMOU
# final_score=6-2 7-6(4)
# score_resolution=6-2 7-6
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Daniel Evans
# kalshi_date=2025-07-24
timestamp,Corentin Moutet,Daniel Evans
2025-07-24T17:58:00Z,91.00,6.34
2025-07-24T17:59:00Z,91.00,7.00
2025-07-24T18:00:00Z,91.00,6.53
2025-07-24T18:02:00Z,96.00,5.00
2025-07-24T18:03:00Z,96.00,5.11
2025-07-24T18:05:00Z,96.00,3.00
2025-07-24T18:06:00Z,98.00,3.00
2025-07-24T18:07:00Z,98.76,2.00
2025-07-24T18:09:00Z,98.95,2.00
2025-07-24T18:10:00Z,98.95,2.50
2025-07-24T18:11:00Z,98.95,3.17
2025-07-24T18:12:00Z,98.00,3.00
2025-07-24T18:13:00Z,98.00,4.87
2025-07-24T18:14:00Z,98.00,3.24
2025-07-24T18:15:00Z,99.00,3.24
2025-07-24T18:16:00Z,99.00,1.56
2025-07-24T18:17:00Z,99.00,1.56
2025-07-24T18:20:00Z,98.00,1.56
2025-07-24T18:21:00Z,98.00,2.00
2025-07-24T18:22:00Z,99.00,2.87
2025-07-24T18:23:00Z,98.38,3.30
2025-07-24T18:24:00Z,98.38,3.00
2025-07-24T18:25:00Z,98.00,3.00
2025-07-24T18:27:00Z,90.44,9.88
2025-07-24T18:28:00Z,87.47,10.47
2025-07-24T18:29:00Z,86.93,21.17
2025-07-24T18:30:00Z,77.00,24.14
2025-07-24T18:31:00Z,82.00,18.00
2025-07-24T18:32:00Z,82.00,18.61
2025-07-24T18:33:00Z,88.00,14.77
2025-07-24T18:34:00Z,88.00,14.00
2025-07-24T18:35:00Z,78.06,14.90
2025-07-24T18:36:00Z,85.00,15.00
2025-07-24T18:37:00Z,76.56,22.68
2025-07-24T18:38:00Z,76.00,28.02
2025-07-24T18:39:00Z,93.12,18.62
2025-07-24T18:40:00Z,88.00,14.89
2025-07-24T18:41:00Z,88.51,8.00
2025-07-24T18:42:00Z,82.59,17.65
2025-07-24T18:43:00Z,87.27,15.33
2025-07-24T18:44:00Z,93.65,7.00
2025-07-24T18:45:00Z,98.89,2.91
2025-07-24T18:46:00Z,99.00,2.91
