# event_ticker=KXATPCHALLENGERMATCH-26MAR31DAMSHE
# final_score=3-6 6-3 6-1
# score_resolution=6-3 3-6 1-6
# match_winner=Miguel Damas
# fav_player=Abdullah Shelbayh
# dog_player=Miguel Damas
# kalshi_date=2026-03-31
timestamp,Abdullah Shelbayh,Miguel Damas
2026-04-01T13:14:00Z,49.24,52.60
2026-04-01T13:15:00Z,54.47,47.29
2026-04-01T13:16:00Z,61.93,40.69
2026-04-01T13:17:00Z,64.74,32.17
2026-04-01T13:18:00Z,64.00,35.52
2026-04-01T13:19:00Z,57.16,42.52
2026-04-01T13:20:00Z,57.81,44.38
2026-04-01T13:21:00Z,52.48,54.42
2026-04-01T13:22:00Z,41.06,58.82
2026-04-01T13:23:00Z,43.92,60.08
2026-04-01T13:24:00Z,50.20,50.20
2026-04-01T13:25:00Z,55.44,48.82
2026-04-01T13:26:00Z,57.24,45.01
2026-04-01T13:27:00Z,63.94,38.14
2026-04-01T13:28:00Z,70.50,32.00
2026-04-01T13:29:00Z,74.09,28.50
2026-04-01T13:30:00Z,74.30,27.96
2026-04-01T13:31:00Z,72.34,28.53
2026-04-01T13:32:00Z,72.06,30.41
2026-04-01T13:33:00Z,73.94,27.12
2026-04-01T13:34:00Z,70.37,35.06
2026-04-01T13:35:00Z,73.32,29.55
2026-04-01T13:36:00Z,77.63,25.60
2026-04-01T13:37:00Z,78.96,23.83
2026-04-01T13:38:00Z,77.54,25.02
2026-04-01T13:39:00Z,77.24,24.78
2026-04-01T13:40:00Z,83.98,19.55
2026-04-01T13:41:00Z,79.77,25.38
2026-04-01T13:42:00Z,83.30,20.34
2026-04-01T13:43:00Z,83.37,20.02
2026-04-01T13:44:00Z,80.67,20.76
2026-04-01T13:45:00Z,81.34,19.72
2026-04-01T13:46:00Z,84.32,15.02
2026-04-01T13:47:00Z,89.57,14.06
2026-04-01T13:48:00Z,86.30,13.84
2026-04-01T13:49:00Z,79.52,21.15
2026-04-01T13:50:00Z,77.92,25.31
2026-04-01T13:51:00Z,76.45,23.56
2026-04-01T13:52:00Z,72.29,29.64
2026-04-01T13:53:00Z,70.48,30.24
2026-04-01T13:54:00Z,67.88,33.23
2026-04-01T13:55:00Z,60.85,40.33
2026-04-01T13:56:00Z,62.84,37.50
2026-04-01T13:57:00Z,69.41,34.42
2026-04-01T13:58:00Z,57.90,41.62
2026-04-01T13:59:00Z,55.28,48.85
2026-04-01T14:00:00Z,50.70,52.66
2026-04-01T14:01:00Z,54.85,47.43
2026-04-01T14:02:00Z,63.87,40.41
2026-04-01T14:03:00Z,67.96,34.11
2026-04-01T14:04:00Z,62.63,35.84
2026-04-01T14:05:00Z,53.18,48.66
2026-04-01T14:06:00Z,51.42,50.94
2026-04-01T14:07:00Z,47.19,51.45
2026-04-01T14:08:00Z,41.82,60.52
2026-04-01T14:09:00Z,38.11,61.57
2026-04-01T14:10:00Z,38.01,65.02
2026-04-01T14:11:00Z,32.60,67.12
2026-04-01T14:12:00Z,33.95,62.88
2026-04-01T14:13:00Z,33.98,65.30
2026-04-01T14:14:00Z,34.81,65.34
2026-04-01T14:15:00Z,34.56,64.58
2026-04-01T14:16:00Z,34.71,66.86
2026-04-01T14:17:00Z,31.91,64.98
2026-04-01T14:18:00Z,33.87,67.35
2026-04-01T14:19:00Z,31.04,69.30
2026-04-01T14:20:00Z,29.30,69.94
2026-04-01T14:21:00Z,28.62,72.15
2026-04-01T14:22:00Z,21.06,78.62
2026-04-01T14:23:00Z,14.26,85.27
2026-04-01T14:24:00Z,9.15,88.53
2026-04-01T14:25:00Z,9.38,89.59
2026-04-01T14:26:00Z,7.37,92.61
2026-04-01T14:27:00Z,7.82,91.72
2026-04-01T14:28:00Z,6.53,93.13
2026-04-01T14:29:00Z,5.93,93.87
2026-04-01T14:30:00Z,6.35,94.16
2026-04-01T14:31:00Z,5.36,94.29
2026-04-01T14:32:00Z,7.49,93.49
2026-04-01T14:33:00Z,7.37,92.98
2026-04-01T14:34:00Z,8.74,91.81
2026-04-01T14:35:00Z,8.97,91.42
2026-04-01T14:36:00Z,9.12,91.73
2026-04-01T14:37:00Z,12.09,86.73
2026-04-01T14:38:00Z,11.50,91.11
2026-04-01T14:39:00Z,10.70,89.41
2026-04-01T14:40:00Z,6.24,94.32
2026-04-01T14:41:00Z,5.95,94.62
2026-04-01T14:42:00Z,5.36,95.60
2026-04-01T14:43:00Z,4.26,96.86
2026-04-01T14:44:00Z,3.78,95.68
2026-04-01T14:45:00Z,5.80,94.49
2026-04-01T14:46:00Z,5.68,96.05
2026-04-01T14:47:00Z,3.67,97.61
2026-04-01T14:48:00Z,1.37,98.62
2026-04-01T14:49:00Z,1.32,99.00
2026-04-01T14:50:00Z,1.00,99.00
2026-04-01T14:51:00Z,1.00,99.00
2026-04-01T14:52:00Z,1.00,99.00
2026-04-01T14:53:00Z,1.00,99.00
2026-04-01T14:54:00Z,1.00,99.00
