# event_ticker=KXATPCHALLENGERMATCH-26MAY26COMBUE
# final_score=7-6(2) 6-3
# score_resolution=7-6 6-3
# match_winner=Tommaso Compagnucci
# fav_player=Tommaso Compagnucci
# dog_player=Gonzalo Bueno
# kalshi_date=2026-05-26
timestamp,Tommaso Compagnucci,Gonzalo Bueno
2026-05-26T12:04:00Z,81.52,19.92
2026-05-26T12:05:00Z,79.58,21.37
2026-05-26T12:06:00Z,84.00,15.56
2026-05-26T12:07:00Z,88.10,15.56
2026-05-26T12:08:00Z,90.02,10.00
2026-05-26T12:09:00Z,93.20,9.11
2026-05-26T12:10:00Z,95.08,5.11
2026-05-26T12:11:00Z,92.28,10.78
2026-05-26T12:12:00Z,89.72,10.84
2026-05-26T12:13:00Z,90.27,10.43
2026-05-26T12:14:00Z,90.94,9.61
2026-05-26T12:15:00Z,88.47,13.70
2026-05-26T12:16:00Z,88.28,13.70
2026-05-26T12:17:00Z,91.38,7.22
2026-05-26T12:18:00Z,94.00,7.00
2026-05-26T12:19:00Z,94.00,7.00
2026-05-26T12:20:00Z,93.36,8.07
2026-05-26T12:21:00Z,96.23,3.91
2026-05-26T12:22:00Z,98.00,4.78
2026-05-26T12:23:00Z,96.00,5.28
2026-05-26T12:24:00Z,93.00,7.61
2026-05-26T12:25:00Z,94.92,5.00
2026-05-26T12:26:00Z,94.87,5.13
2026-05-26T12:27:00Z,95.89,5.88
2026-05-26T12:28:00Z,96.13,3.77
2026-05-26T12:29:00Z,99.00,1.06
2026-05-26T12:30:00Z,97.98,2.83
2026-05-26T12:31:00Z,97.40,3.07
2026-05-26T12:32:00Z,96.74,4.03
2026-05-26T12:33:00Z,96.00,4.03
2026-05-26T12:34:00Z,94.80,5.24
2026-05-26T12:35:00Z,93.86,7.09
2026-05-26T12:36:00Z,95.69,4.00
2026-05-26T12:37:00Z,97.54,4.95
2026-05-26T12:38:00Z,97.92,2.27
2026-05-26T12:39:00Z,96.82,3.25
2026-05-26T12:40:00Z,98.85,1.08
2026-05-26T12:44:00Z,99.00,1.08
2026-05-26T12:46:00Z,99.00,1.08
