# event_ticker=KXATPCHALLENGERMATCH-26MAY20CANCAR
# final_score=7-6(5) 2-6 6-4
# score_resolution=7-6 2-6 6-4
# match_winner=Carlo Alberto Caniato
# fav_player=Carlo Alberto Caniato
# dog_player=Lorenzo Carboni
# kalshi_date=2026-05-20
timestamp,Carlo Alberto Caniato,Lorenzo Carboni
2026-05-20T15:26:00Z,66.53,38.54
2026-05-20T15:27:00Z,65.33,38.54
2026-05-20T15:28:00Z,65.00,34.38
2026-05-20T15:29:00Z,65.00,37.00
2026-05-20T15:30:00Z,60.02,41.83
2026-05-20T15:31:00Z,63.48,36.89
2026-05-20T15:32:00Z,62.61,39.00
2026-05-20T15:33:00Z,60.64,39.00
2026-05-20T15:34:00Z,68.85,27.00
2026-05-20T15:35:00Z,74.83,26.21
2026-05-20T15:36:00Z,73.32,27.63
2026-05-20T15:37:00Z,73.00,28.17
2026-05-20T15:38:00Z,70.18,28.00
2026-05-20T15:39:00Z,76.50,23.50
2026-05-20T15:40:00Z,77.00,27.59
2026-05-20T15:41:00Z,78.47,17.97
2026-05-20T15:42:00Z,78.47,20.65
2026-05-20T15:43:00Z,80.44,20.65
2026-05-20T15:44:00Z,82.00,21.89
2026-05-20T15:45:00Z,85.00,26.00
2026-05-20T15:47:00Z,76.58,23.00
2026-05-20T15:48:00Z,73.83,25.96
2026-05-20T15:49:00Z,70.61,29.66
2026-05-20T15:50:00Z,68.00,29.66
2026-05-20T15:51:00Z,61.00,36.04
2026-05-20T15:52:00Z,63.53,36.04
2026-05-20T15:53:00Z,69.90,36.04
2026-05-20T15:54:00Z,72.76,29.00
2026-05-20T15:55:00Z,72.76,26.00
2026-05-20T15:56:00Z,74.00,29.78
2026-05-20T15:57:00Z,70.00,32.06
2026-05-20T15:58:00Z,64.95,35.00
2026-05-20T15:59:00Z,61.80,39.00
2026-05-20T16:00:00Z,58.00,42.17
2026-05-20T16:01:00Z,57.12,43.04
2026-05-20T16:02:00Z,57.00,45.00
2026-05-20T16:03:00Z,55.00,45.00
2026-05-20T16:04:00Z,55.00,47.13
2026-05-20T16:05:00Z,55.00,43.32
2026-05-20T16:06:00Z,60.94,42.00
2026-05-20T16:07:00Z,54.00,45.73
2026-05-20T16:08:00Z,54.00,45.73
2026-05-20T16:09:00Z,54.00,48.03
2026-05-20T16:10:00Z,52.00,50.37
2026-05-20T16:11:00Z,47.93,52.28
2026-05-20T16:12:00Z,52.00,47.03
2026-05-20T16:13:00Z,52.00,47.03
2026-05-20T16:14:00Z,50.00,50.36
2026-05-20T16:15:00Z,47.61,52.08
2026-05-20T16:16:00Z,46.00,52.08
2026-05-20T16:17:00Z,47.00,54.86
2026-05-20T16:18:00Z,48.27,55.00
2026-05-20T16:19:00Z,46.66,54.90
2026-05-20T16:20:00Z,44.02,55.43
2026-05-20T16:21:00Z,45.02,58.35
2026-05-20T16:22:00Z,38.03,62.00
2026-05-20T16:23:00Z,35.88,63.75
2026-05-20T16:24:00Z,32.17,68.74
2026-05-20T16:25:00Z,28.20,72.46
2026-05-20T16:26:00Z,27.27,73.28
2026-05-20T16:27:00Z,29.74,73.00
2026-05-20T16:28:00Z,36.64,60.00
2026-05-20T16:29:00Z,44.88,57.70
2026-05-20T16:30:00Z,57.08,45.41
2026-05-20T16:31:00Z,70.39,29.33
2026-05-20T16:32:00Z,71.96,28.54
2026-05-20T16:33:00Z,74.68,25.11
2026-05-20T16:34:00Z,81.93,20.11
2026-05-20T16:35:00Z,81.82,19.99
2026-05-20T16:36:00Z,80.62,20.27
2026-05-20T16:37:00Z,77.00,19.00
2026-05-20T16:38:00Z,81.74,18.87
2026-05-20T16:39:00Z,81.99,19.17
2026-05-20T16:40:00Z,82.02,19.74
2026-05-20T16:41:00Z,79.18,20.86
2026-05-20T16:42:00Z,79.01,22.00
2026-05-20T16:43:00Z,83.05,18.53
2026-05-20T16:44:00Z,83.03,16.34
2026-05-20T16:45:00Z,81.01,21.02
2026-05-20T16:46:00Z,82.51,17.00
2026-05-20T16:47:00Z,85.93,23.81
2026-05-20T16:48:00Z,80.78,17.06
2026-05-20T16:49:00Z,86.00,15.00
2026-05-20T16:50:00Z,86.00,16.85
2026-05-20T16:51:00Z,83.03,16.56
2026-05-20T16:52:00Z,82.57,19.42
2026-05-20T16:53:00Z,69.31,26.76
2026-05-20T16:54:00Z,60.29,39.15
2026-05-20T16:55:00Z,63.89,42.50
2026-05-20T16:56:00Z,73.58,28.69
2026-05-20T16:57:00Z,69.63,32.50
2026-05-20T16:58:00Z,84.59,16.89
2026-05-20T16:59:00Z,90.35,9.99
2026-05-20T17:00:00Z,89.11,11.48
2026-05-20T17:01:00Z,88.49,12.78
2026-05-20T17:02:00Z,89.09,10.97
2026-05-20T17:03:00Z,88.88,12.99
2026-05-20T17:04:00Z,94.56,6.24
2026-05-20T17:05:00Z,98.82,1.49
2026-05-20T17:06:00Z,99.00,1.49
