# event_ticker=KXATPMATCH-25SEP20SVRZHA
# final_score=6-4 6-3
# match_winner=Dalibor Svrcina
# fav_player=Dalibor Svrcina
# dog_player=Zhizhen Zhang
# kalshi_date=2025-09-20
timestamp,Dalibor Svrcina,Zhizhen Zhang
2025-09-20T12:58:00Z,43.09,64.00
2025-09-20T12:59:00Z,44.07,65.23
2025-09-20T13:00:00Z,46.45,53.54
2025-09-20T13:01:00Z,64.00,61.87
2025-09-20T13:02:00Z,66.00,40.40
2025-09-20T13:03:00Z,64.78,50.12
2025-09-20T13:04:00Z,52.72,40.71
2025-09-20T13:05:00Z,59.00,50.56
2025-09-20T13:06:00Z,56.00,39.48
2025-09-20T13:07:00Z,47.77,55.01
2025-09-20T13:08:00Z,47.77,56.00
2025-09-20T13:10:00Z,46.18,56.00
2025-09-20T13:11:00Z,61.00,52.00
2025-09-20T13:12:00Z,64.19,29.14
2025-09-20T13:13:00Z,65.99,36.34
2025-09-20T13:14:00Z,68.25,41.47
2025-09-20T13:15:00Z,72.90,25.43
2025-09-20T13:16:00Z,73.60,24.02
2025-09-20T13:17:00Z,74.19,30.46
2025-09-20T13:18:00Z,72.56,29.28
2025-09-20T13:19:00Z,71.27,33.15
2025-09-20T13:20:00Z,68.23,34.90
2025-09-20T13:21:00Z,68.00,36.38
2025-09-20T13:22:00Z,67.74,34.72
2025-09-20T13:23:00Z,68.32,27.54
2025-09-20T13:24:00Z,69.11,32.39
2025-09-20T13:25:00Z,71.03,35.30
2025-09-20T13:26:00Z,72.30,33.36
2025-09-20T13:27:00Z,73.77,29.50
2025-09-20T13:28:00Z,71.00,29.69
2025-09-20T13:29:00Z,72.50,26.26
2025-09-20T13:30:00Z,78.43,24.56
2025-09-20T13:31:00Z,79.36,23.00
2025-09-20T13:32:00Z,85.23,13.87
2025-09-20T13:33:00Z,88.51,11.95
2025-09-20T13:34:00Z,88.72,13.72
2025-09-20T13:35:00Z,89.72,11.00
2025-09-20T13:36:00Z,90.52,11.05
2025-09-20T13:37:00Z,93.46,8.72
2025-09-20T13:38:00Z,95.37,3.97
2025-09-20T13:39:00Z,98.00,3.00
2025-09-20T13:40:00Z,97.54,2.61
2025-09-20T13:41:00Z,95.40,6.08
2025-09-20T13:42:00Z,94.36,7.50
2025-09-20T13:43:00Z,97.03,4.06
2025-09-20T13:44:00Z,91.50,6.72
2025-09-20T13:45:00Z,96.00,7.00
2025-09-20T13:46:00Z,94.00,6.92
2025-09-20T13:47:00Z,94.00,7.00
2025-09-20T13:48:00Z,95.00,7.00
2025-09-20T13:49:00Z,92.91,9.13
2025-09-20T13:50:00Z,93.15,9.04
2025-09-20T13:51:00Z,91.01,11.01
2025-09-20T13:52:00Z,92.00,10.17
2025-09-20T13:53:00Z,88.62,12.99
2025-09-20T13:54:00Z,90.76,8.01
2025-09-20T13:55:00Z,91.92,5.37
2025-09-20T13:56:00Z,93.01,9.71
2025-09-20T13:57:00Z,93.97,10.19
2025-09-20T13:58:00Z,91.36,9.01
2025-09-20T13:59:00Z,92.00,9.53
2025-09-20T14:00:00Z,87.62,10.30
2025-09-20T14:01:00Z,93.74,11.69
2025-09-20T14:02:00Z,94.64,6.19
2025-09-20T14:03:00Z,96.34,5.57
2025-09-20T14:04:00Z,95.04,4.37
2025-09-20T14:05:00Z,96.54,4.84
2025-09-20T14:06:00Z,98.29,4.32
2025-09-20T14:07:00Z,99.00,1.73
2025-09-20T14:08:00Z,99.00,1.73
2025-09-20T14:10:00Z,99.00,1.73
2025-09-20T14:11:00Z,99.00,1.73
