# event_ticker=KXATPCHALLENGERMATCH-26MAY14FERALE
# final_score=3-6 7-5 6-3
# score_resolution=6-3 5-7 3-6
# match_winner=Arthur Fery
# fav_player=Yannick Theodor Alexandrescou
# dog_player=Arthur Fery
# kalshi_date=2026-05-14
timestamp,Arthur Fery,Yannick Theodor Alexandrescou
2026-05-14T14:50:00Z,54.89,46.86
2026-05-14T14:51:00Z,58.28,45.80
2026-05-14T14:52:00Z,53.06,45.92
2026-05-14T14:53:00Z,61.62,38.82
2026-05-14T14:54:00Z,61.01,39.01
2026-05-14T14:55:00Z,69.81,28.90
2026-05-14T14:56:00Z,72.96,27.94
2026-05-14T14:57:00Z,86.95,19.97
2026-05-14T14:58:00Z,82.03,18.94
2026-05-14T14:59:00Z,81.28,18.98
2026-05-14T15:00:00Z,77.73,21.42
2026-05-14T15:01:00Z,77.29,31.09
2026-05-14T15:02:00Z,78.13,23.97
2026-05-14T15:03:00Z,78.72,24.43
2026-05-14T15:04:00Z,77.65,22.96
2026-05-14T15:05:00Z,77.24,24.31
2026-05-14T15:06:00Z,76.19,24.37
2026-05-14T15:07:00Z,79.50,20.27
2026-05-14T15:08:00Z,83.00,17.49
2026-05-14T15:09:00Z,82.80,17.24
2026-05-14T15:10:00Z,84.97,16.78
2026-05-14T15:11:00Z,82.04,18.34
2026-05-14T15:12:00Z,83.85,17.05
2026-05-14T15:13:00Z,83.19,18.14
2026-05-14T15:14:00Z,81.89,19.00
2026-05-14T15:15:00Z,86.70,12.49
2026-05-14T15:16:00Z,87.89,14.81
2026-05-14T15:17:00Z,82.04,16.23
2026-05-14T15:18:00Z,81.51,17.94
2026-05-14T15:19:00Z,85.87,13.25
2026-05-14T15:20:00Z,81.45,21.98
2026-05-14T15:21:00Z,75.86,24.73
2026-05-14T15:22:00Z,63.63,40.59
2026-05-14T15:23:00Z,50.00,51.05
2026-05-14T15:24:00Z,49.04,51.13
2026-05-14T15:25:00Z,48.92,51.11
2026-05-14T15:26:00Z,44.24,54.65
2026-05-14T15:27:00Z,46.75,56.37
2026-05-14T15:28:00Z,56.70,47.06
2026-05-14T15:29:00Z,66.50,35.31
2026-05-14T15:30:00Z,73.29,26.91
2026-05-14T15:31:00Z,78.75,23.68
2026-05-14T15:32:00Z,79.95,20.14
2026-05-14T15:33:00Z,79.79,20.88
2026-05-14T15:34:00Z,84.20,17.25
2026-05-14T15:35:00Z,84.51,17.14
2026-05-14T15:36:00Z,84.43,15.91
2026-05-14T15:37:00Z,84.10,14.63
2026-05-14T15:38:00Z,86.88,19.34
2026-05-14T15:39:00Z,75.67,24.93
2026-05-14T15:40:00Z,73.47,33.11
2026-05-14T15:41:00Z,66.70,35.82
2026-05-14T15:42:00Z,68.23,33.86
2026-05-14T15:43:00Z,62.57,38.12
2026-05-14T15:44:00Z,67.18,30.40
2026-05-14T15:45:00Z,76.72,24.12
2026-05-14T15:46:00Z,76.95,23.74
2026-05-14T15:47:00Z,76.09,25.58
2026-05-14T15:48:00Z,88.22,12.04
2026-05-14T15:49:00Z,96.00,4.22
2026-05-14T15:50:00Z,98.49,1.11
2026-05-14T15:51:00Z,99.00,1.00
2026-05-14T15:52:00Z,99.00,1.00
