# event_ticker=KXATPCHALLENGERMATCH-26JUN02FEAHIJ
# final_score=6-1 7-6(3)
# score_resolution=1-6 6-7
# match_winner=Rinky Hijikata
# fav_player=Jacob Fearnley
# dog_player=Rinky Hijikata
# kalshi_date=2026-06-02
timestamp,Jacob Fearnley,Rinky Hijikata
2026-06-02T13:57:00Z,30.05,71.81
2026-06-02T13:58:00Z,26.02,78.34
2026-06-02T13:59:00Z,26.18,73.95
2026-06-02T14:00:00Z,23.82,75.89
2026-06-02T14:01:00Z,35.41,62.48
2026-06-02T14:02:00Z,42.16,69.65
2026-06-02T14:03:00Z,29.00,72.00
2026-06-02T14:04:00Z,28.11,72.46
2026-06-02T14:05:00Z,12.66,89.66
2026-06-02T14:06:00Z,2.44,97.98
2026-06-02T14:07:00Z,2.44,99.00
