# event_ticker=KXATPCHALLENGERMATCH-26MAR17TOBFIC
# final_score=6-2 2-6 7-6(5)
# score_resolution=2-6 6-2 6-7
# match_winner=Miguel Tobon
# fav_player=Juan Pablo Ficovich
# dog_player=Miguel Tobon
# kalshi_date=2026-03-17
timestamp,Juan Pablo Ficovich,Miguel Tobon
2026-03-17T18:16:00Z,25.72,76.75
2026-03-17T18:17:00Z,20.48,78.12
2026-03-17T18:18:00Z,21.00,80.00
2026-03-17T18:19:00Z,22.92,80.00
2026-03-17T18:20:00Z,25.72,75.68
2026-03-17T18:21:00Z,27.08,74.79
2026-03-17T18:22:00Z,26.79,74.86
2026-03-17T18:23:00Z,31.37,68.99
2026-03-17T18:24:00Z,38.30,63.30
2026-03-17T18:25:00Z,44.33,55.60
2026-03-17T18:26:00Z,46.65,54.26
2026-03-17T18:27:00Z,49.97,54.26
2026-03-17T18:28:00Z,53.44,46.80
2026-03-17T18:29:00Z,52.42,47.68
2026-03-17T18:30:00Z,57.00,42.40
2026-03-17T18:31:00Z,57.97,44.92
2026-03-17T18:32:00Z,53.47,47.52
2026-03-17T18:33:00Z,55.75,45.62
2026-03-17T18:34:00Z,62.39,38.01
2026-03-17T18:35:00Z,62.73,36.06
2026-03-17T18:36:00Z,64.83,36.12
2026-03-17T18:37:00Z,64.27,35.24
2026-03-17T18:38:00Z,62.54,37.00
2026-03-17T18:39:00Z,62.71,37.77
2026-03-17T18:40:00Z,62.41,38.87
2026-03-17T18:41:00Z,62.63,39.00
2026-03-17T18:42:00Z,58.68,42.78
2026-03-17T18:43:00Z,56.60,43.43
2026-03-17T18:44:00Z,55.66,47.13
2026-03-17T18:45:00Z,56.35,44.29
2026-03-17T18:46:00Z,59.54,41.65
2026-03-17T18:47:00Z,60.78,43.43
2026-03-17T18:48:00Z,52.99,48.83
2026-03-17T18:49:00Z,51.93,48.83
2026-03-17T18:50:00Z,55.57,43.96
2026-03-17T18:51:00Z,56.32,45.15
2026-03-17T18:52:00Z,58.00,43.26
2026-03-17T18:53:00Z,53.51,47.98
2026-03-17T18:54:00Z,51.22,48.38
2026-03-17T18:55:00Z,58.11,44.32
2026-03-17T18:56:00Z,51.06,48.14
2026-03-17T18:57:00Z,50.72,52.77
2026-03-17T18:58:00Z,48.16,54.59
2026-03-17T18:59:00Z,52.60,49.00
2026-03-17T19:00:00Z,53.45,47.92
2026-03-17T19:01:00Z,47.21,48.13
2026-03-17T19:02:00Z,47.14,53.13
2026-03-17T19:03:00Z,46.00,53.50
2026-03-17T19:04:00Z,46.88,50.18
2026-03-17T19:05:00Z,50.87,49.24
2026-03-17T19:06:00Z,50.33,51.69
2026-03-17T19:07:00Z,44.49,57.23
2026-03-17T19:08:00Z,41.42,57.82
2026-03-17T19:09:00Z,42.33,58.00
2026-03-17T19:10:00Z,46.90,53.85
2026-03-17T19:11:00Z,42.97,58.72
2026-03-17T19:12:00Z,50.01,52.46
2026-03-17T19:13:00Z,51.16,50.39
2026-03-17T19:14:00Z,49.85,48.67
2026-03-17T19:15:00Z,45.20,55.60
2026-03-17T19:16:00Z,42.41,56.05
2026-03-17T19:17:00Z,38.80,62.13
2026-03-17T19:18:00Z,43.25,59.35
2026-03-17T19:19:00Z,50.66,51.08
2026-03-17T19:20:00Z,37.90,60.97
2026-03-17T19:21:00Z,30.66,75.27
2026-03-17T19:22:00Z,39.18,61.14
2026-03-17T19:23:00Z,23.53,76.08
2026-03-17T19:24:00Z,26.12,75.09
2026-03-17T19:25:00Z,25.51,73.42
2026-03-17T19:26:00Z,16.85,83.77
2026-03-17T19:27:00Z,1.58,96.96
2026-03-17T19:28:00Z,1.58,99.00
2026-03-17T19:29:00Z,1.58,99.00
2026-03-17T19:30:00Z,1.58,99.00
2026-03-17T19:31:00Z,1.58,99.00
2026-03-17T19:32:00Z,1.58,99.00
