# event_ticker=KXATPCHALLENGERMATCH-26MAY19IANMAR
# final_score=6-4 2-6 6-4
# score_resolution=4-6 6-2 4-6
# match_winner=Juan Cruz Martin Manzano
# fav_player=Federico Iannaccone
# dog_player=Juan Cruz Martin Manzano
# kalshi_date=2026-05-19
timestamp,Federico Iannaccone,Juan Cruz Martin Manzano
2026-05-19T10:07:00Z,70.47,30.00
2026-05-19T10:08:00Z,72.28,30.00
2026-05-19T10:09:00Z,68.80,28.00
2026-05-19T10:10:00Z,61.00,36.83
2026-05-19T10:11:00Z,61.00,42.01
2026-05-19T10:12:00Z,49.98,52.39
2026-05-19T10:13:00Z,42.68,61.07
2026-05-19T10:14:00Z,33.00,69.58
2026-05-19T10:15:00Z,47.46,59.56
2026-05-19T10:16:00Z,36.00,63.43
2026-05-19T10:17:00Z,36.00,62.00
2026-05-19T10:19:00Z,39.71,62.00
2026-05-19T10:20:00Z,39.71,59.86
2026-05-19T10:21:00Z,30.00,75.31
2026-05-19T10:22:00Z,32.50,66.85
2026-05-19T10:23:00Z,21.35,78.36
2026-05-19T10:24:00Z,17.00,83.72
2026-05-19T10:25:00Z,7.27,92.71
2026-05-19T10:26:00Z,8.14,95.37
2026-05-19T10:27:00Z,8.18,90.45
2026-05-19T10:28:00Z,17.85,85.65
2026-05-19T10:29:00Z,16.94,95.06
2026-05-19T10:30:00Z,16.94,88.40
2026-05-19T10:31:00Z,17.00,82.00
2026-05-19T10:32:00Z,24.00,77.97
2026-05-19T10:33:00Z,15.42,84.22
2026-05-19T10:34:00Z,14.60,85.74
2026-05-19T10:35:00Z,15.66,84.31
2026-05-19T10:36:00Z,15.00,84.49
2026-05-19T10:37:00Z,4.95,94.70
2026-05-19T10:38:00Z,4.00,97.23
2026-05-19T10:39:00Z,4.01,95.82
2026-05-19T10:40:00Z,3.98,92.00
2026-05-19T10:42:00Z,3.98,99.00
2026-05-19T10:43:00Z,7.88,93.32
2026-05-19T10:44:00Z,7.00,90.86
2026-05-19T10:45:00Z,7.00,89.52
2026-05-19T10:46:00Z,7.00,88.70
2026-05-19T10:47:00Z,27.00,80.39
2026-05-19T10:48:00Z,23.84,79.18
2026-05-19T10:49:00Z,23.84,83.62
2026-05-19T10:50:00Z,25.39,84.61
2026-05-19T10:51:00Z,9.84,93.32
2026-05-19T10:52:00Z,1.12,98.25
2026-05-19T10:54:00Z,1.12,99.00
2026-05-19T10:56:00Z,1.12,99.00
2026-05-19T11:02:00Z,1.12,99.00
