# event_ticker=KXATPMATCH-25JUL20CAZBUS
# final_score=6-3 3-6 7-5
# match_winner=Arthur Cazaux
# fav_player=Arthur Cazaux
# dog_player=Ignacio Buse
# kalshi_date=2025-07-20
timestamp,Arthur Cazaux,Ignacio Buse
2025-07-22T12:13:00Z,48.00,55.85
2025-07-22T12:14:00Z,49.00,55.19
2025-07-22T12:15:00Z,57.44,55.19
2025-07-22T12:16:00Z,55.00,55.19
2025-07-22T12:17:00Z,57.00,43.00
2025-07-22T12:18:00Z,57.00,45.99
2025-07-22T12:19:00Z,60.99,45.99
2025-07-22T12:20:00Z,59.00,45.99
2025-07-22T12:21:00Z,72.88,35.00
2025-07-22T12:22:00Z,75.41,28.00
2025-07-22T12:23:00Z,71.11,30.00
2025-07-22T12:24:00Z,82.23,30.00
2025-07-22T12:25:00Z,75.68,30.00
2025-07-22T12:26:00Z,76.00,30.00
2025-07-22T12:27:00Z,76.17,25.00
2025-07-22T12:28:00Z,74.04,27.00
2025-07-22T12:29:00Z,74.00,26.03
2025-07-22T12:30:00Z,75.00,24.91
2025-07-22T12:31:00Z,76.32,22.75
2025-07-22T12:32:00Z,77.47,22.18
2025-07-22T12:33:00Z,77.60,22.18
2025-07-22T12:34:00Z,77.07,24.16
2025-07-22T12:35:00Z,75.20,25.00
2025-07-22T12:36:00Z,74.00,27.00
2025-07-22T12:37:00Z,72.00,29.10
2025-07-22T12:38:00Z,74.84,29.10
2025-07-22T12:39:00Z,74.00,29.10
2025-07-22T12:40:00Z,76.00,29.10
2025-07-22T12:42:00Z,68.00,31.17
2025-07-22T12:43:00Z,68.11,31.00
2025-07-22T12:44:00Z,60.61,40.47
2025-07-22T12:45:00Z,56.00,46.98
2025-07-22T12:46:00Z,53.00,46.98
2025-07-22T12:47:00Z,53.41,47.45
2025-07-22T12:48:00Z,53.41,47.00
2025-07-22T12:49:00Z,54.62,45.00
2025-07-22T12:50:00Z,54.62,44.00
2025-07-22T12:52:00Z,58.00,42.00
2025-07-22T12:53:00Z,58.00,42.00
2025-07-22T12:54:00Z,59.00,46.04
2025-07-22T12:56:00Z,57.18,46.04
2025-07-22T12:57:00Z,57.00,45.08
2025-07-22T12:58:00Z,51.00,48.72
2025-07-22T12:59:00Z,50.27,49.00
2025-07-22T13:00:00Z,53.91,49.18
2025-07-22T13:01:00Z,53.91,52.34
2025-07-22T13:02:00Z,53.00,52.34
2025-07-22T13:03:00Z,51.69,52.34
2025-07-22T13:05:00Z,51.69,52.00
2025-07-22T13:07:00Z,50.00,52.00
2025-07-22T13:08:00Z,48.00,54.00
2025-07-22T13:09:00Z,45.05,56.99
2025-07-22T13:10:00Z,45.05,51.00
2025-07-22T13:12:00Z,47.00,56.00
2025-07-22T13:13:00Z,44.90,55.00
2025-07-22T13:14:00Z,45.18,55.00
2025-07-22T13:15:00Z,45.70,55.00
2025-07-22T13:16:00Z,45.00,56.41
2025-07-22T13:17:00Z,45.94,52.57
2025-07-22T13:18:00Z,46.84,51.25
2025-07-22T13:19:00Z,47.15,53.08
2025-07-22T13:20:00Z,50.00,52.00
2025-07-22T13:21:00Z,49.04,52.00
2025-07-22T13:22:00Z,46.62,52.00
2025-07-22T13:23:00Z,46.62,54.09
2025-07-22T13:24:00Z,53.00,52.97
2025-07-22T13:25:00Z,52.61,50.00
2025-07-22T13:26:00Z,51.92,54.38
2025-07-22T13:27:00Z,39.06,58.37
2025-07-22T13:28:00Z,41.47,59.40
2025-07-22T13:29:00Z,40.10,56.45
2025-07-22T13:31:00Z,50.33,56.45
2025-07-22T13:32:00Z,50.87,49.00
2025-07-22T13:33:00Z,45.83,49.00
2025-07-22T13:34:00Z,42.00,60.00
2025-07-22T13:35:00Z,47.84,60.00
2025-07-22T13:36:00Z,49.64,51.00
2025-07-22T13:38:00Z,50.68,51.00
2025-07-22T13:39:00Z,47.00,51.00
2025-07-22T13:40:00Z,47.00,53.00
2025-07-22T13:41:00Z,43.73,52.13
2025-07-22T13:42:00Z,33.99,65.09
2025-07-22T13:43:00Z,29.88,67.76
2025-07-22T13:44:00Z,38.58,64.64
2025-07-22T13:45:00Z,46.90,51.55
2025-07-22T13:46:00Z,44.66,57.08
2025-07-22T13:47:00Z,52.52,57.08
2025-07-22T13:48:00Z,53.00,46.86
2025-07-22T13:49:00Z,53.74,49.96
2025-07-22T13:50:00Z,46.82,55.00
2025-07-22T13:51:00Z,45.45,55.70
2025-07-22T13:52:00Z,54.99,46.17
2025-07-22T13:53:00Z,54.24,45.00
2025-07-22T13:54:00Z,57.81,45.07
2025-07-22T13:55:00Z,60.32,45.07
2025-07-22T13:56:00Z,68.36,39.21
2025-07-22T13:57:00Z,60.07,41.09
2025-07-22T13:58:00Z,53.28,42.86
2025-07-22T13:59:00Z,47.75,53.06
2025-07-22T14:00:00Z,41.29,60.61
2025-07-22T14:01:00Z,51.02,54.12
2025-07-22T14:02:00Z,57.24,47.26
2025-07-22T14:03:00Z,54.55,46.01
2025-07-22T14:04:00Z,57.84,43.00
2025-07-22T14:05:00Z,63.52,40.79
2025-07-22T14:06:00Z,56.17,46.17
2025-07-22T14:07:00Z,64.91,37.05
2025-07-22T14:08:00Z,83.54,19.39
2025-07-22T14:09:00Z,98.58,1.00
2025-07-22T14:10:00Z,99.00,1.00
2025-07-22T14:11:00Z,99.00,1.00
