# event_ticker=KXATPCHALLENGERMATCH-26APR14FORBEL
# final_score=6-3 7-5
# match_winner=Jonas Forejtek
# fav_player=Jonas Forejtek
# dog_player=Mattia Bellucci
# kalshi_date=2026-04-14
timestamp,Jonas Forejtek,Mattia Bellucci
2026-04-14T10:35:00Z,47.00,53.11
2026-04-14T10:36:00Z,52.67,49.62
2026-04-14T10:37:00Z,50.45,50.31
2026-04-14T10:38:00Z,50.45,40.40
2026-04-14T10:39:00Z,50.45,43.21
2026-04-14T10:40:00Z,49.00,53.00
2026-04-14T10:41:00Z,51.85,45.63
2026-04-14T10:42:00Z,59.35,40.53
2026-04-14T10:43:00Z,60.47,40.53
2026-04-14T10:44:00Z,60.47,37.00
2026-04-14T10:45:00Z,60.47,40.68
2026-04-14T10:46:00Z,60.97,38.75
2026-04-14T10:47:00Z,62.00,42.00
2026-04-14T10:48:00Z,56.31,42.94
2026-04-14T10:49:00Z,62.28,42.94
2026-04-14T10:50:00Z,65.00,38.25
2026-04-14T10:51:00Z,66.00,36.66
2026-04-14T10:52:00Z,64.00,37.52
2026-04-14T10:53:00Z,62.00,38.12
2026-04-14T10:54:00Z,60.46,38.45
2026-04-14T10:55:00Z,59.62,41.39
2026-04-14T10:56:00Z,57.73,43.15
2026-04-14T10:57:00Z,59.57,39.12
2026-04-14T10:58:00Z,62.97,38.00
2026-04-14T10:59:00Z,64.49,38.00
2026-04-14T11:00:00Z,68.71,36.46
2026-04-14T11:01:00Z,64.00,34.91
2026-04-14T11:02:00Z,58.57,40.67
2026-04-14T11:03:00Z,60.00,41.34
2026-04-14T11:04:00Z,62.00,40.13
2026-04-14T11:05:00Z,64.34,33.12
2026-04-14T11:06:00Z,65.00,35.12
2026-04-14T11:07:00Z,64.00,36.40
2026-04-14T11:08:00Z,65.07,36.20
2026-04-14T11:09:00Z,67.12,34.94
2026-04-14T11:10:00Z,63.00,37.83
2026-04-14T11:11:00Z,63.98,37.27
2026-04-14T11:12:00Z,60.52,38.78
2026-04-14T11:13:00Z,64.00,40.34
2026-04-14T11:14:00Z,62.09,36.85
2026-04-14T11:15:00Z,60.83,46.19
2026-04-14T11:16:00Z,59.25,40.70
2026-04-14T11:17:00Z,63.30,36.12
2026-04-14T11:18:00Z,62.00,40.94
2026-04-14T11:19:00Z,58.05,42.99
2026-04-14T11:20:00Z,59.51,41.80
2026-04-14T11:21:00Z,61.09,41.00
2026-04-14T11:22:00Z,64.48,36.74
2026-04-14T11:23:00Z,62.67,39.11
2026-04-14T11:24:00Z,59.19,40.20
2026-04-14T11:25:00Z,58.20,42.16
2026-04-14T11:26:00Z,58.00,42.53
2026-04-14T11:27:00Z,58.09,42.30
2026-04-14T11:28:00Z,58.13,43.43
2026-04-14T11:29:00Z,56.19,43.17
2026-04-14T11:30:00Z,57.39,47.26
2026-04-14T11:31:00Z,61.20,38.36
2026-04-14T11:32:00Z,66.31,34.50
2026-04-14T11:33:00Z,70.36,31.20
2026-04-14T11:34:00Z,66.77,35.37
2026-04-14T11:35:00Z,72.68,26.14
2026-04-14T11:36:00Z,67.29,29.40
2026-04-14T11:37:00Z,76.59,27.39
2026-04-14T11:38:00Z,73.69,27.22
2026-04-14T11:39:00Z,84.73,9.74
2026-04-14T11:40:00Z,94.15,7.22
2026-04-14T11:41:00Z,95.59,5.27
2026-04-14T11:42:00Z,98.14,2.30
2026-04-14T11:43:00Z,93.76,6.95
2026-04-14T11:44:00Z,98.39,4.25
2026-04-14T11:45:00Z,99.00,4.25
2026-04-14T11:46:00Z,99.00,4.25
