# event_ticker=KXATPMATCH-26FEB16BORWON
# final_score=7-6(5) 4-6 6-3
# score_resolution=7-6 4-6 6-3
# match_winner=Coleman Wong
# fav_player=Coleman Wong
# dog_player=Nuno Borges
# kalshi_date=2026-02-16
timestamp,Coleman Wong,Nuno Borges
2026-02-16T15:44:00Z,46.00,57.00
2026-02-16T15:45:00Z,45.00,57.00
2026-02-16T15:46:00Z,45.00,57.00
2026-02-16T15:47:00Z,45.00,57.00
2026-02-16T15:49:00Z,45.67,57.00
2026-02-16T15:51:00Z,46.00,57.00
2026-02-16T15:52:00Z,46.00,57.00
2026-02-16T15:53:00Z,46.00,57.00
2026-02-16T15:55:00Z,46.00,57.00
2026-02-16T15:56:00Z,46.00,57.00
2026-02-16T15:57:00Z,46.00,57.00
2026-02-16T15:59:00Z,46.00,57.00
2026-02-16T16:00:00Z,46.00,57.00
2026-02-16T16:02:00Z,46.00,57.00
2026-02-16T16:03:00Z,46.00,57.00
2026-02-16T16:05:00Z,46.00,57.00
2026-02-16T16:06:00Z,45.00,57.00
2026-02-16T16:07:00Z,45.00,57.00
2026-02-16T16:08:00Z,45.00,57.00
2026-02-16T16:09:00Z,45.00,57.00
2026-02-16T16:11:00Z,45.00,57.00
2026-02-16T16:14:00Z,44.00,57.00
2026-02-16T16:15:00Z,44.00,57.00
2026-02-16T16:16:00Z,45.00,57.00
2026-02-16T16:17:00Z,45.00,57.00
2026-02-16T16:18:00Z,45.00,57.00
2026-02-16T16:19:00Z,45.00,57.00
2026-02-16T16:21:00Z,45.00,57.00
2026-02-16T16:22:00Z,45.00,57.00
2026-02-16T16:23:00Z,45.00,56.76
2026-02-16T16:24:00Z,45.00,57.00
2026-02-16T16:25:00Z,45.00,57.00
2026-02-16T16:26:00Z,45.00,57.00
2026-02-16T16:28:00Z,46.14,57.00
2026-02-16T16:29:00Z,46.27,56.87
2026-02-16T16:30:00Z,47.00,56.71
2026-02-16T16:31:00Z,47.00,57.00
2026-02-16T16:32:00Z,47.00,57.00
2026-02-16T16:33:00Z,46.00,57.00
2026-02-16T16:34:00Z,46.00,56.00
2026-02-16T16:35:00Z,46.00,54.32
2026-02-16T16:36:00Z,47.00,56.00
2026-02-16T16:37:00Z,47.00,56.00
2026-02-16T16:38:00Z,47.00,56.00
2026-02-16T16:39:00Z,47.00,54.00
2026-02-16T16:40:00Z,47.00,54.00
2026-02-16T16:41:00Z,47.00,54.00
2026-02-16T16:42:00Z,47.00,54.00
2026-02-16T16:43:00Z,47.00,55.00
2026-02-16T16:44:00Z,47.00,55.00
2026-02-16T16:45:00Z,47.00,55.00
2026-02-16T16:46:00Z,47.00,55.00
2026-02-16T16:47:00Z,44.50,55.52
2026-02-16T16:48:00Z,44.00,56.00
