# event_ticker=KXATPMATCH-25JUL29BORBAG
# final_score=5-7 7-6(3) 6-2
# score_resolution=7-5 6-7 2-6
# match_winner=Nuno Borges
# fav_player=Facundo Bagnis
# dog_player=Nuno Borges
# kalshi_date=2025-07-29
timestamp,Facundo Bagnis,Nuno Borges
2025-07-29T20:21:00Z,18.00,83.00
2025-07-29T20:27:00Z,18.00,83.00
2025-07-29T20:29:00Z,18.00,83.00
2025-07-29T20:33:00Z,18.00,83.00
2025-07-29T20:34:00Z,18.75,83.00
2025-07-29T20:40:00Z,18.75,82.00
2025-07-29T20:46:00Z,19.00,82.00
2025-07-29T20:59:00Z,18.70,82.00
2025-07-29T21:00:00Z,18.70,82.00
2025-07-29T21:01:00Z,18.92,82.00
2025-07-29T21:02:00Z,19.00,82.00
2025-07-29T21:03:00Z,19.00,82.00
2025-07-29T21:05:00Z,19.00,82.00
2025-07-29T21:11:00Z,21.00,82.00
2025-07-29T21:14:00Z,19.00,82.00
2025-07-29T21:20:00Z,20.00,82.00
2025-07-29T21:22:00Z,17.00,83.00
2025-07-29T21:24:00Z,17.00,83.00
2025-07-29T21:25:00Z,17.00,83.00
2025-07-29T21:26:00Z,17.00,84.00
2025-07-29T21:28:00Z,17.00,84.00
2025-07-29T21:29:00Z,17.00,83.00
2025-07-29T21:30:00Z,17.00,84.00
2025-07-29T21:31:00Z,18.00,84.00
2025-07-29T21:32:00Z,18.00,84.00
2025-07-29T21:34:00Z,19.19,84.00
2025-07-29T21:35:00Z,15.87,84.00
2025-07-29T21:36:00Z,17.00,86.08
2025-07-29T21:38:00Z,12.17,86.08
2025-07-29T21:41:00Z,17.98,86.08
2025-07-29T21:42:00Z,17.01,86.08
2025-07-29T21:43:00Z,17.00,86.08
2025-07-29T21:44:00Z,19.21,86.08
2025-07-29T21:46:00Z,18.00,86.08
2025-07-29T21:48:00Z,17.00,86.08
2025-07-29T21:49:00Z,20.00,86.08
2025-07-29T21:50:00Z,21.11,86.08
2025-07-29T21:51:00Z,21.00,79.97
2025-07-29T21:52:00Z,26.98,79.97
2025-07-29T21:53:00Z,30.00,79.97
2025-07-29T21:54:00Z,20.90,79.97
2025-07-29T21:55:00Z,20.90,85.00
2025-07-29T21:56:00Z,22.00,85.00
2025-07-29T21:57:00Z,26.00,83.00
2025-07-29T21:58:00Z,28.78,83.00
2025-07-29T21:59:00Z,27.20,79.00
2025-07-29T22:00:00Z,22.00,79.00
2025-07-29T22:01:00Z,21.00,79.00
2025-07-29T22:02:00Z,24.66,79.00
2025-07-29T22:03:00Z,25.12,79.00
2025-07-29T22:04:00Z,25.53,79.00
2025-07-29T22:05:00Z,34.30,66.49
2025-07-29T22:06:00Z,24.79,66.49
2025-07-29T22:07:00Z,26.00,78.17
2025-07-29T22:08:00Z,22.80,78.17
2025-07-29T22:09:00Z,22.95,78.17
2025-07-29T22:12:00Z,24.19,78.17
2025-07-29T22:13:00Z,28.55,78.17
2025-07-29T22:14:00Z,27.00,74.00
2025-07-29T22:15:00Z,29.00,76.00
2025-07-29T22:16:00Z,31.38,69.97
2025-07-29T22:17:00Z,47.88,55.00
2025-07-29T22:18:00Z,47.27,50.00
2025-07-29T22:19:00Z,50.06,50.00
2025-07-29T22:20:00Z,56.51,50.00
2025-07-29T22:21:00Z,53.90,44.00
2025-07-29T22:22:00Z,53.90,47.00
2025-07-29T22:23:00Z,54.56,46.76
2025-07-29T22:24:00Z,53.00,46.34
2025-07-29T22:25:00Z,54.61,46.34
2025-07-29T22:26:00Z,49.25,51.00
2025-07-29T22:27:00Z,49.25,50.00
2025-07-29T22:28:00Z,54.00,53.00
2025-07-29T22:29:00Z,54.99,47.00
2025-07-29T22:30:00Z,51.81,56.00
2025-07-29T22:31:00Z,47.36,57.85
2025-07-29T22:32:00Z,53.00,57.85
2025-07-29T22:33:00Z,52.00,49.00
2025-07-29T22:34:00Z,48.93,49.00
2025-07-29T22:35:00Z,52.48,49.00
2025-07-29T22:36:00Z,50.00,49.00
2025-07-29T22:37:00Z,49.00,49.00
2025-07-29T22:38:00Z,49.00,49.00
2025-07-29T22:39:00Z,45.49,52.00
2025-07-29T22:40:00Z,45.77,57.97
2025-07-29T22:41:00Z,30.00,57.97
2025-07-29T22:42:00Z,48.00,53.31
2025-07-29T22:43:00Z,50.00,50.75
2025-07-29T22:44:00Z,45.00,50.75
2025-07-29T22:46:00Z,47.33,50.75
2025-07-29T22:47:00Z,46.44,58.00
2025-07-29T22:48:00Z,46.44,57.54
2025-07-29T22:49:00Z,51.11,49.00
2025-07-29T22:50:00Z,44.97,53.07
2025-07-29T22:51:00Z,47.00,56.00
2025-07-29T22:52:00Z,50.00,57.50
2025-07-29T22:53:00Z,52.00,57.50
2025-07-29T22:54:00Z,47.00,55.00
2025-07-29T22:56:00Z,45.80,55.00
2025-07-29T22:57:00Z,49.00,55.00
2025-07-29T22:58:00Z,54.97,47.00
2025-07-29T22:59:00Z,54.97,44.54
2025-07-29T23:00:00Z,65.28,37.53
2025-07-29T23:01:00Z,68.07,31.00
2025-07-29T23:02:00Z,61.21,39.00
2025-07-29T23:03:00Z,65.51,37.58
2025-07-29T23:04:00Z,67.62,35.53
