# event_ticker=KXATPCHALLENGERMATCH-26MAY13DELBUR
# final_score=6-3 4-6 6-4
# match_winner=Roman Andres Burruchaga
# fav_player=Roman Andres Burruchaga
# dog_player=Pierre Delage
# kalshi_date=2026-05-13
timestamp,Pierre Delage,Roman Andres Burruchaga
2026-05-13T13:09:00Z,19.65,81.99
2026-05-13T13:10:00Z,15.53,85.00
2026-05-13T13:11:00Z,13.14,86.50
2026-05-13T13:12:00Z,13.27,87.00
2026-05-13T13:13:00Z,15.00,86.00
2026-05-13T13:14:00Z,17.89,83.04
2026-05-13T13:15:00Z,16.68,85.00
2026-05-13T13:16:00Z,13.00,87.60
2026-05-13T13:17:00Z,13.16,87.00
2026-05-13T13:18:00Z,16.68,87.00
2026-05-13T13:20:00Z,17.00,84.00
2026-05-13T13:21:00Z,17.01,83.68
2026-05-13T13:22:00Z,16.28,84.66
2026-05-13T13:23:00Z,15.59,85.05
2026-05-13T13:24:00Z,14.00,87.00
2026-05-13T13:25:00Z,14.47,84.64
2026-05-13T13:26:00Z,14.67,88.00
2026-05-13T13:27:00Z,9.02,91.98
2026-05-13T13:28:00Z,7.00,93.00
2026-05-13T13:29:00Z,8.68,92.00
2026-05-13T13:30:00Z,9.61,90.00
2026-05-13T13:31:00Z,9.20,90.00
2026-05-13T13:32:00Z,5.86,93.93
2026-05-13T13:33:00Z,6.21,94.00
2026-05-13T13:34:00Z,5.90,94.00
2026-05-13T13:35:00Z,5.37,95.00
2026-05-13T13:36:00Z,6.17,94.00
2026-05-13T13:37:00Z,6.00,94.00
2026-05-13T13:38:00Z,4.98,95.05
2026-05-13T13:39:00Z,6.97,93.54
2026-05-13T13:40:00Z,7.45,93.76
2026-05-13T13:41:00Z,6.00,94.00
2026-05-13T13:42:00Z,6.24,94.00
2026-05-13T13:43:00Z,5.41,94.68
2026-05-13T13:44:00Z,5.87,95.32
2026-05-13T13:45:00Z,4.05,96.20
2026-05-13T13:46:00Z,4.00,96.03
2026-05-13T13:47:00Z,4.00,96.00
2026-05-13T13:48:00Z,3.92,96.59
2026-05-13T13:49:00Z,3.20,96.84
2026-05-13T13:50:00Z,4.00,96.97
2026-05-13T13:51:00Z,5.21,95.97
2026-05-13T13:52:00Z,7.68,92.98
2026-05-13T13:53:00Z,10.38,91.00
2026-05-13T13:54:00Z,12.94,88.39
2026-05-13T13:55:00Z,11.18,89.16
2026-05-13T13:56:00Z,13.77,87.71
2026-05-13T13:57:00Z,12.14,90.03
2026-05-13T13:58:00Z,8.40,92.43
2026-05-13T13:59:00Z,10.56,90.00
2026-05-13T14:00:00Z,12.87,88.00
2026-05-13T14:01:00Z,15.02,86.00
2026-05-13T14:02:00Z,15.77,85.01
2026-05-13T14:03:00Z,13.81,87.42
2026-05-13T14:04:00Z,14.00,86.08
2026-05-13T14:05:00Z,15.70,85.14
2026-05-13T14:06:00Z,14.17,87.00
2026-05-13T14:07:00Z,13.47,86.88
2026-05-13T14:08:00Z,14.07,86.41
2026-05-13T14:09:00Z,13.81,86.77
2026-05-13T14:10:00Z,17.54,83.22
2026-05-13T14:11:00Z,17.82,83.00
2026-05-13T14:12:00Z,16.98,84.00
2026-05-13T14:13:00Z,15.34,84.53
2026-05-13T14:14:00Z,15.01,85.00
2026-05-13T14:15:00Z,16.65,83.48
2026-05-13T14:16:00Z,18.92,81.04
2026-05-13T14:17:00Z,19.17,82.83
2026-05-13T14:18:00Z,17.31,83.68
2026-05-13T14:19:00Z,19.61,83.35
2026-05-13T14:20:00Z,21.79,78.60
2026-05-13T14:21:00Z,20.92,79.97
2026-05-13T14:22:00Z,20.01,80.00
2026-05-13T14:23:00Z,19.90,80.93
2026-05-13T14:24:00Z,19.71,80.75
2026-05-13T14:25:00Z,22.15,80.23
2026-05-13T14:26:00Z,19.90,82.70
2026-05-13T14:27:00Z,16.24,83.28
2026-05-13T14:28:00Z,17.33,84.99
2026-05-13T14:29:00Z,15.42,82.64
2026-05-13T14:30:00Z,24.21,74.92
2026-05-13T14:31:00Z,25.09,75.56
2026-05-13T14:32:00Z,24.25,76.62
2026-05-13T14:33:00Z,24.45,77.00
2026-05-13T14:34:00Z,23.40,76.97
2026-05-13T14:35:00Z,30.45,73.94
2026-05-13T14:36:00Z,26.27,76.80
2026-05-13T14:37:00Z,30.03,70.50
2026-05-13T14:38:00Z,25.84,79.02
2026-05-13T14:39:00Z,20.31,80.99
2026-05-13T14:40:00Z,21.91,79.93
2026-05-13T14:41:00Z,24.23,76.42
2026-05-13T14:42:00Z,27.47,73.84
2026-05-13T14:43:00Z,32.24,68.23
2026-05-13T14:44:00Z,39.20,62.47
2026-05-13T14:45:00Z,32.02,69.10
2026-05-13T14:46:00Z,45.62,51.97
2026-05-13T14:47:00Z,51.99,47.99
2026-05-13T14:48:00Z,53.24,47.08
2026-05-13T14:49:00Z,59.28,39.80
2026-05-13T14:50:00Z,56.26,43.77
2026-05-13T14:51:00Z,55.31,45.99
2026-05-13T14:52:00Z,46.45,50.62
2026-05-13T14:53:00Z,45.50,52.04
2026-05-13T14:54:00Z,53.67,46.78
2026-05-13T14:55:00Z,39.46,63.03
2026-05-13T14:56:00Z,27.79,73.32
2026-05-13T14:57:00Z,30.10,71.09
2026-05-13T14:58:00Z,33.95,66.97
2026-05-13T14:59:00Z,36.34,68.87
2026-05-13T15:00:00Z,34.41,66.02
2026-05-13T15:01:00Z,35.83,66.89
2026-05-13T15:02:00Z,26.32,74.20
2026-05-13T15:03:00Z,28.04,75.59
2026-05-13T15:04:00Z,23.81,72.18
2026-05-13T15:05:00Z,21.47,78.99
2026-05-13T15:06:00Z,19.22,78.58
2026-05-13T15:07:00Z,18.36,81.48
2026-05-13T15:08:00Z,10.35,90.18
2026-05-13T15:09:00Z,6.73,94.11
2026-05-13T15:10:00Z,12.82,90.04
2026-05-13T15:11:00Z,12.95,86.54
2026-05-13T15:12:00Z,15.24,84.47
2026-05-13T15:13:00Z,22.84,77.55
2026-05-13T15:14:00Z,24.50,78.39
2026-05-13T15:15:00Z,31.16,69.84
2026-05-13T15:16:00Z,40.62,56.35
2026-05-13T15:17:00Z,45.79,54.03
2026-05-13T15:18:00Z,30.70,68.44
2026-05-13T15:19:00Z,23.15,76.14
2026-05-13T15:20:00Z,23.33,77.00
2026-05-13T15:21:00Z,19.42,79.28
2026-05-13T15:22:00Z,16.95,82.97
2026-05-13T15:23:00Z,12.37,86.76
2026-05-13T15:24:00Z,15.29,88.03
2026-05-13T15:25:00Z,1.57,98.49
2026-05-13T15:26:00Z,1.57,99.00
2026-05-13T15:27:00Z,1.57,99.00
