# event_ticker=KXATPCHALLENGERMATCH-26APR02VARDIA
# final_score=6-3 7-6(4)
# score_resolution=3-6 6-7
# match_winner=Facundo Diaz Acosta
# fav_player=Juan Pablo Varillas
# dog_player=Facundo Diaz Acosta
# kalshi_date=2026-04-02
timestamp,Juan Pablo Varillas,Facundo Diaz Acosta
2026-04-02T15:11:00Z,18.84,82.99
2026-04-02T15:12:00Z,17.68,84.61
2026-04-02T15:13:00Z,20.07,82.33
2026-04-02T15:14:00Z,16.31,84.08
2026-04-02T15:15:00Z,13.33,87.63
2026-04-02T15:16:00Z,11.10,89.72
2026-04-02T15:17:00Z,13.10,87.17
2026-04-02T15:18:00Z,11.93,88.53
2026-04-02T15:19:00Z,10.21,90.65
2026-04-02T15:20:00Z,13.62,86.21
2026-04-02T15:21:00Z,15.66,86.00
2026-04-02T15:22:00Z,16.00,85.83
2026-04-02T15:23:00Z,16.00,85.95
2026-04-02T15:24:00Z,15.10,85.94
2026-04-02T15:25:00Z,16.00,84.64
2026-04-02T15:26:00Z,15.93,84.20
2026-04-02T15:27:00Z,16.00,85.16
2026-04-02T15:28:00Z,16.74,85.87
2026-04-02T15:29:00Z,15.69,85.60
2026-04-02T15:30:00Z,13.93,88.57
2026-04-02T15:31:00Z,16.34,85.74
2026-04-02T15:32:00Z,13.21,86.52
2026-04-02T15:33:00Z,15.41,84.68
2026-04-02T15:34:00Z,16.39,83.32
2026-04-02T15:35:00Z,16.99,83.90
2026-04-02T15:36:00Z,16.52,84.05
2026-04-02T15:37:00Z,14.86,85.97
2026-04-02T15:38:00Z,13.87,87.00
2026-04-02T15:39:00Z,13.27,87.00
2026-04-02T15:40:00Z,13.23,86.35
2026-04-02T15:41:00Z,14.00,86.99
2026-04-02T15:42:00Z,13.55,87.43
2026-04-02T15:43:00Z,15.21,85.32
2026-04-02T15:44:00Z,15.43,85.19
2026-04-02T15:45:00Z,17.69,83.00
2026-04-02T15:46:00Z,17.99,83.00
2026-04-02T15:47:00Z,17.05,83.00
2026-04-02T15:48:00Z,14.80,85.96
2026-04-02T15:49:00Z,12.93,88.07
2026-04-02T15:50:00Z,14.22,86.00
2026-04-02T15:51:00Z,16.79,84.52
2026-04-02T15:52:00Z,16.05,84.14
2026-04-02T15:53:00Z,15.65,82.23
2026-04-02T15:54:00Z,15.38,82.93
2026-04-02T15:55:00Z,16.10,83.93
2026-04-02T15:56:00Z,18.99,80.97
2026-04-02T15:57:00Z,19.30,81.00
2026-04-02T15:58:00Z,15.73,81.61
2026-04-02T15:59:00Z,15.64,84.71
2026-04-02T16:00:00Z,16.35,84.00
2026-04-02T16:01:00Z,14.68,85.53
2026-04-02T16:02:00Z,16.48,84.30
2026-04-02T16:03:00Z,19.32,80.54
2026-04-02T16:04:00Z,19.76,80.62
2026-04-02T16:05:00Z,20.47,79.64
2026-04-02T16:06:00Z,20.55,79.11
2026-04-02T16:07:00Z,18.78,82.79
2026-04-02T16:08:00Z,14.97,84.92
2026-04-02T16:09:00Z,13.65,86.48
2026-04-02T16:10:00Z,16.15,84.22
2026-04-02T16:11:00Z,15.36,86.27
2026-04-02T16:12:00Z,12.23,89.92
2026-04-02T16:13:00Z,4.38,93.81
2026-04-02T16:14:00Z,7.85,92.14
2026-04-02T16:15:00Z,5.33,95.85
2026-04-02T16:16:00Z,2.21,97.58
2026-04-02T16:17:00Z,3.61,96.44
2026-04-02T16:18:00Z,6.75,94.41
2026-04-02T16:19:00Z,2.07,98.85
2026-04-02T16:20:00Z,2.07,99.00
2026-04-02T16:21:00Z,2.07,99.00
2026-04-02T16:22:00Z,2.07,99.00
