# event_ticker=KXATPCHALLENGERMATCH-26APR07KASVAN
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Luca Van Assche
# fav_player=Maks Kasnikowski
# dog_player=Luca Van Assche
# kalshi_date=2026-04-07
timestamp,Maks Kasnikowski,Luca Van Assche
2026-04-07T08:24:00Z,26.94,74.00
2026-04-07T08:25:00Z,19.50,79.54
2026-04-07T08:26:00Z,17.24,83.87
2026-04-07T08:27:00Z,17.00,83.87
2026-04-07T08:28:00Z,16.03,85.00
2026-04-07T08:29:00Z,19.83,82.01
2026-04-07T08:30:00Z,21.09,83.34
2026-04-07T08:31:00Z,17.04,83.69
2026-04-07T08:32:00Z,15.20,86.00
2026-04-07T08:33:00Z,11.19,87.88
2026-04-07T08:34:00Z,9.72,89.00
2026-04-07T08:35:00Z,8.39,91.16
2026-04-07T08:36:00Z,8.00,92.55
2026-04-07T08:37:00Z,9.00,92.55
2026-04-07T08:38:00Z,7.98,92.80
2026-04-07T08:39:00Z,7.00,93.00
2026-04-07T08:40:00Z,7.00,94.00
2026-04-07T08:41:00Z,8.62,92.00
2026-04-07T08:42:00Z,8.62,93.00
2026-04-07T08:43:00Z,8.62,93.00
2026-04-07T08:44:00Z,7.00,94.00
2026-04-07T08:45:00Z,6.33,93.00
2026-04-07T08:46:00Z,6.00,94.00
2026-04-07T08:47:00Z,7.92,94.00
2026-04-07T08:48:00Z,8.37,92.77
2026-04-07T08:49:00Z,9.00,92.00
2026-04-07T08:50:00Z,9.00,92.00
2026-04-07T08:51:00Z,11.62,91.75
2026-04-07T08:52:00Z,11.62,91.68
2026-04-07T08:53:00Z,7.00,92.75
2026-04-07T08:54:00Z,8.37,93.00
2026-04-07T08:55:00Z,9.00,93.00
2026-04-07T08:56:00Z,7.00,93.00
2026-04-07T08:57:00Z,9.00,93.00
2026-04-07T08:58:00Z,9.00,93.00
2026-04-07T08:59:00Z,9.00,92.00
2026-04-07T09:00:00Z,9.00,92.00
2026-04-07T09:01:00Z,7.00,93.00
2026-04-07T09:02:00Z,8.40,93.00
2026-04-07T09:03:00Z,12.00,88.37
2026-04-07T09:04:00Z,12.00,89.00
2026-04-07T09:05:00Z,13.00,89.00
2026-04-07T09:07:00Z,11.91,88.50
2026-04-07T09:08:00Z,10.51,89.68
2026-04-07T09:09:00Z,7.89,88.00
2026-04-07T09:10:00Z,9.00,90.73
2026-04-07T09:11:00Z,10.19,90.00
2026-04-07T09:12:00Z,12.05,88.43
2026-04-07T09:13:00Z,10.00,90.00
2026-04-07T09:14:00Z,11.02,89.00
2026-04-07T09:15:00Z,12.71,88.27
2026-04-07T09:16:00Z,14.27,87.68
2026-04-07T09:17:00Z,15.00,86.00
2026-04-07T09:18:00Z,15.00,86.00
2026-04-07T09:19:00Z,14.29,86.78
2026-04-07T09:20:00Z,14.43,86.44
2026-04-07T09:21:00Z,14.76,87.74
2026-04-07T09:22:00Z,16.95,84.99
2026-04-07T09:23:00Z,17.71,83.14
2026-04-07T09:24:00Z,13.00,86.31
2026-04-07T09:25:00Z,15.47,87.04
2026-04-07T09:26:00Z,16.38,83.04
2026-04-07T09:27:00Z,17.72,83.04
2026-04-07T09:28:00Z,19.00,83.00
2026-04-07T09:29:00Z,18.86,82.00
2026-04-07T09:30:00Z,20.48,80.00
2026-04-07T09:31:00Z,19.34,84.00
2026-04-07T09:32:00Z,22.67,83.40
2026-04-07T09:33:00Z,22.97,77.14
2026-04-07T09:34:00Z,17.92,83.71
2026-04-07T09:35:00Z,16.89,85.80
2026-04-07T09:36:00Z,12.64,88.77
2026-04-07T09:37:00Z,15.03,86.04
2026-04-07T09:38:00Z,12.67,89.18
2026-04-07T09:39:00Z,8.63,94.10
2026-04-07T09:40:00Z,5.88,94.89
2026-04-07T09:41:00Z,4.45,95.00
2026-04-07T09:42:00Z,5.88,95.01
2026-04-07T09:43:00Z,8.46,93.60
2026-04-07T09:44:00Z,10.24,90.62
2026-04-07T09:45:00Z,14.62,85.87
2026-04-07T09:46:00Z,15.87,86.08
2026-04-07T09:47:00Z,21.25,80.49
2026-04-07T09:48:00Z,22.09,79.91
2026-04-07T09:49:00Z,16.33,83.15
2026-04-07T09:50:00Z,14.96,88.45
2026-04-07T09:51:00Z,9.66,92.98
2026-04-07T09:52:00Z,6.35,95.75
2026-04-07T09:53:00Z,3.99,96.02
2026-04-07T09:54:00Z,4.43,96.38
2026-04-07T09:55:00Z,2.25,97.00
2026-04-07T09:56:00Z,1.01,98.38
2026-04-07T09:57:00Z,1.00,99.00
2026-04-07T09:58:00Z,1.05,99.00
2026-04-07T09:59:00Z,1.05,99.00
2026-04-07T10:01:00Z,1.05,99.00
