# event_ticker=KXATPCHALLENGERMATCH-26JUN03TOMMAT
# final_score=7-6(4) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Hayato Matsuoka
# fav_player=Bernard Tomic
# dog_player=Hayato Matsuoka
# kalshi_date=2026-06-03
timestamp,Bernard Tomic,Hayato Matsuoka
2026-06-03T20:24:00Z,26.57,75.00
2026-06-03T20:25:00Z,27.79,74.12
2026-06-03T20:26:00Z,29.01,73.12
2026-06-03T20:27:00Z,30.49,74.00
2026-06-03T20:28:00Z,28.58,73.00
2026-06-03T20:29:00Z,28.69,73.95
2026-06-03T20:30:00Z,29.00,74.02
2026-06-03T20:31:00Z,28.89,74.43
2026-06-03T20:32:00Z,28.86,74.98
2026-06-03T20:33:00Z,31.99,72.74
2026-06-03T20:34:00Z,30.76,71.13
2026-06-03T20:35:00Z,27.78,72.29
2026-06-03T20:36:00Z,28.02,72.63
2026-06-03T20:37:00Z,26.46,75.81
2026-06-03T20:38:00Z,21.43,77.63
2026-06-03T20:39:00Z,17.61,83.36
2026-06-03T20:40:00Z,11.89,90.11
2026-06-03T20:41:00Z,13.48,89.29
2026-06-03T20:42:00Z,11.84,89.84
2026-06-03T20:43:00Z,17.45,87.31
2026-06-03T20:44:00Z,26.83,75.86
2026-06-03T20:45:00Z,40.89,71.39
2026-06-03T20:46:00Z,26.41,74.28
2026-06-03T20:47:00Z,32.69,66.52
2026-06-03T20:48:00Z,36.62,68.50
2026-06-03T20:49:00Z,35.17,66.35
2026-06-03T20:50:00Z,29.96,70.85
2026-06-03T20:51:00Z,30.82,67.07
2026-06-03T20:52:00Z,35.31,67.25
2026-06-03T20:53:00Z,31.13,70.55
2026-06-03T20:54:00Z,30.30,70.45
2026-06-03T20:55:00Z,24.53,79.33
2026-06-03T20:56:00Z,27.42,74.27
2026-06-03T20:57:00Z,16.01,80.86
2026-06-03T20:58:00Z,9.04,90.81
2026-06-03T20:59:00Z,5.77,94.73
2026-06-03T21:00:00Z,4.02,97.01
2026-06-03T21:01:00Z,3.46,96.60
2026-06-03T21:02:00Z,4.72,96.81
2026-06-03T21:03:00Z,6.45,94.08
2026-06-03T21:04:00Z,8.40,95.23
2026-06-03T21:05:00Z,16.50,84.64
2026-06-03T21:06:00Z,26.43,70.47
2026-06-03T21:07:00Z,20.23,79.60
2026-06-03T21:08:00Z,26.08,77.82
2026-06-03T21:09:00Z,33.28,66.77
2026-06-03T21:10:00Z,30.72,68.33
2026-06-03T21:11:00Z,25.49,71.84
2026-06-03T21:12:00Z,31.48,68.44
2026-06-03T21:13:00Z,24.87,72.31
2026-06-03T21:14:00Z,33.50,70.14
2026-06-03T21:15:00Z,39.00,64.94
2026-06-03T21:16:00Z,44.25,60.04
2026-06-03T21:17:00Z,51.03,52.01
2026-06-03T21:18:00Z,51.69,50.36
2026-06-03T21:19:00Z,38.96,65.98
2026-06-03T21:20:00Z,32.79,72.78
2026-06-03T21:21:00Z,20.56,81.20
2026-06-03T21:22:00Z,13.85,91.64
2026-06-03T21:23:00Z,1.00,99.00
2026-06-03T21:24:00Z,1.00,99.00
2026-06-03T21:25:00Z,1.00,99.00
2026-06-03T21:26:00Z,1.00,99.00
2026-06-03T21:27:00Z,1.00,99.00
