# event_ticker=KXATPCHALLENGERMATCH-26JUN02MIKMAR
# final_score=7-6(5) 7-5
# score_resolution=6-7 5-7
# match_winner=Luka Mikrut
# fav_player=Alex Marti Pujolras
# dog_player=Luka Mikrut
# kalshi_date=2026-06-02
timestamp,Luka Mikrut,Alex Marti Pujolras
2026-06-02T13:23:00Z,89.91,9.22
2026-06-02T13:24:00Z,91.75,8.31
2026-06-02T13:25:00Z,93.42,7.08
2026-06-02T13:26:00Z,93.78,7.58
2026-06-02T13:27:00Z,92.07,7.57
2026-06-02T13:28:00Z,91.46,9.00
2026-06-02T13:29:00Z,92.00,9.00
2026-06-02T13:30:00Z,92.00,8.22
2026-06-02T13:31:00Z,91.17,13.78
2026-06-02T13:32:00Z,87.39,13.76
2026-06-02T13:33:00Z,85.02,15.63
2026-06-02T13:34:00Z,81.60,19.58
2026-06-02T13:35:00Z,77.14,22.95
2026-06-02T13:36:00Z,79.00,22.51
2026-06-02T13:37:00Z,77.43,22.58
2026-06-02T13:38:00Z,78.00,22.80
2026-06-02T13:39:00Z,74.15,26.46
2026-06-02T13:40:00Z,65.81,33.13
2026-06-02T13:41:00Z,73.42,36.30
2026-06-02T13:42:00Z,73.29,27.69
2026-06-02T13:43:00Z,77.55,23.61
2026-06-02T13:44:00Z,81.12,17.81
2026-06-02T13:45:00Z,82.92,20.46
2026-06-02T13:46:00Z,76.80,23.97
2026-06-02T13:47:00Z,77.00,23.97
2026-06-02T13:48:00Z,78.85,21.51
2026-06-02T13:49:00Z,80.54,20.00
2026-06-02T13:50:00Z,81.70,19.00
2026-06-02T13:51:00Z,87.34,12.01
2026-06-02T13:52:00Z,92.64,8.99
2026-06-02T13:53:00Z,95.17,4.84
2026-06-02T13:54:00Z,95.00,6.85
2026-06-02T13:55:00Z,89.48,10.46
2026-06-02T13:56:00Z,83.80,18.12
2026-06-02T13:57:00Z,78.82,21.07
2026-06-02T13:58:00Z,75.69,25.88
2026-06-02T13:59:00Z,82.72,16.91
2026-06-02T14:00:00Z,81.74,17.79
2026-06-02T14:01:00Z,84.96,16.29
2026-06-02T14:02:00Z,94.72,6.44
2026-06-02T14:03:00Z,94.15,6.00
2026-06-02T14:04:00Z,96.83,3.34
2026-06-02T14:05:00Z,94.43,3.17
2026-06-02T14:06:00Z,97.07,7.34
2026-06-02T14:07:00Z,97.77,2.20
2026-06-02T14:09:00Z,99.00,2.20
2026-06-02T14:10:00Z,99.00,2.20
2026-06-02T14:11:00Z,99.00,2.20
