# event_ticker=KXATPCHALLENGERMATCH-26APR07STRNED
# final_score=6-3 6-7(1) 6-2
# score_resolution=3-6 7-6 2-6
# match_winner=Dominic Stricker
# fav_player=Andrej Nedic
# dog_player=Dominic Stricker
# kalshi_date=2026-04-07
timestamp,Andrej Nedic,Dominic Stricker
2026-04-07T13:35:00Z,18.00,85.00
2026-04-07T13:36:00Z,18.00,87.77
2026-04-07T13:37:00Z,18.00,89.00
2026-04-07T13:39:00Z,11.00,89.00
2026-04-07T13:40:00Z,10.00,92.00
2026-04-07T13:41:00Z,10.00,92.00
2026-04-07T13:42:00Z,10.00,90.00
2026-04-07T13:43:00Z,10.00,88.00
2026-04-07T13:44:00Z,10.24,92.00
2026-04-07T13:45:00Z,11.00,92.00
2026-04-07T13:47:00Z,8.69,92.00
2026-04-07T13:48:00Z,11.00,89.00
2026-04-07T13:49:00Z,12.00,89.00
2026-04-07T13:50:00Z,5.86,92.00
2026-04-07T13:51:00Z,10.00,92.00
2026-04-07T13:52:00Z,9.68,90.20
2026-04-07T13:53:00Z,11.00,90.20
2026-04-07T13:54:00Z,11.00,89.83
2026-04-07T13:56:00Z,12.00,90.00
2026-04-07T13:57:00Z,13.00,88.00
2026-04-07T13:58:00Z,10.95,88.00
2026-04-07T13:59:00Z,11.00,90.00
2026-04-07T14:00:00Z,12.00,87.91
2026-04-07T14:01:00Z,14.40,87.02
2026-04-07T14:02:00Z,14.00,86.93
2026-04-07T14:03:00Z,13.40,85.43
2026-04-07T14:05:00Z,13.40,89.00
2026-04-07T14:06:00Z,12.00,87.77
2026-04-07T14:07:00Z,14.83,86.00
2026-04-07T14:08:00Z,15.04,85.49
2026-04-07T14:09:00Z,14.88,86.16
2026-04-07T14:10:00Z,14.88,88.29
2026-04-07T14:11:00Z,14.88,90.00
2026-04-07T14:12:00Z,12.51,88.52
2026-04-07T14:13:00Z,13.50,88.89
2026-04-07T14:14:00Z,16.41,85.00
2026-04-07T14:15:00Z,17.48,84.19
2026-04-07T14:16:00Z,14.98,84.82
2026-04-07T14:17:00Z,13.76,88.50
2026-04-07T14:18:00Z,13.00,88.30
2026-04-07T14:19:00Z,14.17,84.00
2026-04-07T14:20:00Z,17.00,86.16
2026-04-07T14:21:00Z,14.56,83.79
2026-04-07T14:22:00Z,29.99,68.02
2026-04-07T14:23:00Z,37.80,61.75
2026-04-07T14:24:00Z,41.16,58.23
2026-04-07T14:25:00Z,42.00,57.27
2026-04-07T14:26:00Z,42.00,58.87
2026-04-07T14:27:00Z,42.00,59.00
2026-04-07T14:28:00Z,37.37,65.64
2026-04-07T14:29:00Z,29.85,69.73
2026-04-07T14:30:00Z,34.72,64.66
2026-04-07T14:31:00Z,26.17,76.38
2026-04-07T14:32:00Z,18.04,83.78
2026-04-07T14:33:00Z,13.65,86.68
2026-04-07T14:34:00Z,16.23,84.52
2026-04-07T14:35:00Z,13.83,85.91
2026-04-07T14:36:00Z,14.11,86.04
2026-04-07T14:37:00Z,16.46,84.00
2026-04-07T14:38:00Z,21.40,80.16
2026-04-07T14:39:00Z,17.66,80.46
2026-04-07T14:40:00Z,18.05,86.76
2026-04-07T14:41:00Z,9.00,89.63
2026-04-07T14:42:00Z,7.81,89.73
2026-04-07T14:43:00Z,15.27,85.91
2026-04-07T14:44:00Z,13.65,85.30
2026-04-07T14:45:00Z,15.14,85.10
2026-04-07T14:46:00Z,15.00,84.59
2026-04-07T14:47:00Z,13.71,85.91
2026-04-07T14:48:00Z,19.30,82.85
2026-04-07T14:49:00Z,12.01,87.57
2026-04-07T14:50:00Z,7.99,92.61
2026-04-07T14:51:00Z,4.03,96.94
2026-04-07T14:52:00Z,4.55,96.96
2026-04-07T14:53:00Z,2.19,97.17
2026-04-07T14:54:00Z,1.54,98.96
2026-04-07T14:55:00Z,1.04,99.00
2026-04-07T14:56:00Z,1.00,99.00
2026-04-07T14:57:00Z,1.00,99.00
