# event_ticker=KXATPCHALLENGERMATCH-26MAR04REIPRA
# final_score=3-6 6-3 6-4
# score_resolution=6-3 3-6 4-6
# match_winner=Juan Carlos Prado Angelo
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-04
timestamp,Joao Lucas Reis Da Silva,Juan Carlos Prado Angelo
2026-03-04T15:37:00Z,60.60,41.95
2026-03-04T15:38:00Z,60.47,41.54
2026-03-04T15:39:00Z,61.00,41.54
2026-03-04T15:40:00Z,62.23,38.10
2026-03-04T15:41:00Z,61.00,41.00
2026-03-04T15:42:00Z,61.00,41.00
2026-03-04T15:43:00Z,61.00,41.00
2026-03-04T15:44:00Z,61.00,41.00
2026-03-04T15:45:00Z,62.00,41.00
2026-03-04T15:46:00Z,62.00,41.00
2026-03-04T15:47:00Z,62.00,41.00
2026-03-04T15:48:00Z,61.94,41.00
2026-03-04T15:49:00Z,61.46,39.74
2026-03-04T15:50:00Z,63.10,39.00
2026-03-04T15:51:00Z,57.35,45.85
2026-03-04T15:52:00Z,60.85,43.71
2026-03-04T15:53:00Z,65.39,35.97
2026-03-04T15:54:00Z,64.75,36.54
2026-03-04T15:55:00Z,68.00,33.31
2026-03-04T15:56:00Z,61.61,36.41
2026-03-04T15:57:00Z,63.00,38.85
2026-03-04T15:58:00Z,62.79,39.76
2026-03-04T15:59:00Z,64.63,35.76
2026-03-04T16:00:00Z,64.94,35.92
2026-03-04T16:01:00Z,64.90,35.43
2026-03-04T16:02:00Z,63.14,39.00
2026-03-04T16:03:00Z,65.62,35.56
2026-03-04T16:04:00Z,63.03,35.80
2026-03-04T16:05:00Z,60.07,40.19
2026-03-04T16:06:00Z,54.48,43.80
2026-03-04T16:07:00Z,58.40,43.43
2026-03-04T16:08:00Z,55.73,46.30
2026-03-04T16:09:00Z,61.17,44.54
2026-03-04T16:10:00Z,60.50,41.28
2026-03-04T16:11:00Z,60.18,39.20
2026-03-04T16:12:00Z,62.00,38.00
2026-03-04T16:13:00Z,59.20,40.97
2026-03-04T16:14:00Z,61.36,41.94
2026-03-04T16:15:00Z,57.21,43.65
2026-03-04T16:16:00Z,62.49,41.36
2026-03-04T16:17:00Z,57.53,38.69
2026-03-04T16:18:00Z,57.65,44.34
2026-03-04T16:19:00Z,60.95,44.34
2026-03-04T16:20:00Z,62.20,39.00
2026-03-04T16:21:00Z,62.39,38.00
2026-03-04T16:22:00Z,69.92,25.65
2026-03-04T16:23:00Z,78.84,21.02
2026-03-04T16:24:00Z,75.88,23.06
2026-03-04T16:25:00Z,77.95,21.33
2026-03-04T16:26:00Z,80.44,21.28
2026-03-04T16:27:00Z,73.12,29.03
2026-03-04T16:28:00Z,74.92,30.47
2026-03-04T16:29:00Z,76.53,20.94
2026-03-04T16:30:00Z,78.77,19.20
2026-03-04T16:31:00Z,78.30,20.91
2026-03-04T16:32:00Z,79.00,21.00
2026-03-04T16:33:00Z,78.94,21.00
2026-03-04T16:34:00Z,78.95,21.00
2026-03-04T16:35:00Z,79.22,20.56
2026-03-04T16:36:00Z,79.68,21.36
2026-03-04T16:37:00Z,79.64,22.43
2026-03-04T16:38:00Z,78.61,22.26
2026-03-04T16:39:00Z,75.64,25.55
2026-03-04T16:40:00Z,73.31,26.43
2026-03-04T16:41:00Z,72.89,27.90
2026-03-04T16:42:00Z,72.26,27.60
2026-03-04T16:43:00Z,68.41,31.62
2026-03-04T16:44:00Z,65.81,36.87
2026-03-04T16:45:00Z,58.46,42.22
2026-03-04T16:46:00Z,60.89,40.22
2026-03-04T16:47:00Z,64.92,35.20
2026-03-04T16:48:00Z,66.22,36.92
2026-03-04T16:49:00Z,70.29,30.86
2026-03-04T16:50:00Z,74.23,26.76
2026-03-04T16:51:00Z,76.74,23.99
2026-03-04T16:52:00Z,73.92,29.23
2026-03-04T16:53:00Z,65.55,35.62
2026-03-04T16:54:00Z,67.16,35.86
2026-03-04T16:55:00Z,61.49,39.35
2026-03-04T16:56:00Z,62.54,38.25
2026-03-04T16:57:00Z,65.01,37.44
2026-03-04T16:58:00Z,62.52,39.15
2026-03-04T16:59:00Z,55.83,43.00
2026-03-04T17:00:00Z,54.81,46.51
2026-03-04T17:01:00Z,50.96,50.00
2026-03-04T17:02:00Z,52.99,49.35
2026-03-04T17:03:00Z,55.49,45.25
2026-03-04T17:04:00Z,58.53,43.33
2026-03-04T17:05:00Z,53.06,47.82
2026-03-04T17:06:00Z,50.06,50.66
2026-03-04T17:07:00Z,50.04,50.99
2026-03-04T17:08:00Z,51.26,49.50
2026-03-04T17:09:00Z,53.53,48.33
2026-03-04T17:10:00Z,55.49,45.35
2026-03-04T17:11:00Z,58.75,45.24
2026-03-04T17:12:00Z,57.35,43.40
2026-03-04T17:13:00Z,56.58,44.52
2026-03-04T17:14:00Z,50.14,49.41
2026-03-04T17:15:00Z,50.17,49.26
2026-03-04T17:16:00Z,49.85,51.35
2026-03-04T17:17:00Z,49.11,51.75
2026-03-04T17:18:00Z,52.93,49.45
2026-03-04T17:19:00Z,56.51,44.71
2026-03-04T17:20:00Z,58.20,43.07
2026-03-04T17:21:00Z,58.95,41.99
2026-03-04T17:22:00Z,58.65,42.26
2026-03-04T17:23:00Z,60.55,42.78
2026-03-04T17:24:00Z,55.99,45.99
2026-03-04T17:25:00Z,52.36,49.14
2026-03-04T17:26:00Z,57.15,44.44
2026-03-04T17:27:00Z,56.58,44.66
2026-03-04T17:28:00Z,52.23,47.76
2026-03-04T17:29:00Z,32.53,65.79
2026-03-04T17:30:00Z,27.68,71.89
2026-03-04T17:31:00Z,27.80,74.70
2026-03-04T17:32:00Z,20.51,77.87
2026-03-04T17:33:00Z,16.49,82.57
2026-03-04T17:34:00Z,13.72,85.39
2026-03-04T17:35:00Z,11.28,88.50
2026-03-04T17:36:00Z,15.54,85.58
2026-03-04T17:37:00Z,19.37,81.49
2026-03-04T17:38:00Z,21.16,78.93
2026-03-04T17:39:00Z,23.36,73.34
2026-03-04T17:40:00Z,38.66,65.13
2026-03-04T17:41:00Z,41.40,58.25
2026-03-04T17:42:00Z,28.02,66.82
2026-03-04T17:43:00Z,18.76,81.45
2026-03-04T17:44:00Z,14.73,85.61
2026-03-04T17:45:00Z,18.91,82.21
2026-03-04T17:46:00Z,20.17,80.72
2026-03-04T17:47:00Z,20.86,79.54
2026-03-04T17:48:00Z,24.56,72.96
2026-03-04T17:49:00Z,25.48,78.85
2026-03-04T17:50:00Z,13.31,86.29
2026-03-04T17:51:00Z,12.19,86.31
2026-03-04T17:52:00Z,18.99,84.72
2026-03-04T17:53:00Z,11.52,88.98
2026-03-04T17:54:00Z,9.78,89.28
2026-03-04T17:55:00Z,10.10,90.45
2026-03-04T17:56:00Z,11.67,89.74
2026-03-04T17:57:00Z,12.81,87.91
2026-03-04T17:58:00Z,13.07,87.78
2026-03-04T17:59:00Z,15.74,84.97
2026-03-04T18:00:00Z,28.55,71.66
2026-03-04T18:01:00Z,18.01,81.00
2026-03-04T18:02:00Z,6.04,95.96
2026-03-04T18:03:00Z,1.00,99.00
2026-03-04T18:04:00Z,1.00,99.00
2026-03-04T18:05:00Z,1.00,99.00
2026-03-04T18:06:00Z,1.00,99.00
