# event_ticker=KXATPMATCH-26FEB09DIMMIC
# final_score=5-7 6-4 6-4
# match_winner=Alex Michelsen
# fav_player=Alex Michelsen
# dog_player=Grigor Dimitrov
# kalshi_date=2026-02-09
timestamp,Alex Michelsen,Grigor Dimitrov
2026-02-10T19:45:00Z,51.97,51.00
2026-02-10T19:47:00Z,51.90,51.00
2026-02-10T19:48:00Z,52.12,51.00
2026-02-10T19:49:00Z,52.00,51.00
2026-02-10T19:51:00Z,52.00,50.00
2026-02-10T19:52:00Z,52.00,50.15
2026-02-10T19:53:00Z,52.00,50.00
2026-02-10T19:55:00Z,52.00,50.20
2026-02-10T19:56:00Z,51.00,50.20
2026-02-10T19:59:00Z,51.98,50.20
2026-02-10T20:01:00Z,51.98,51.00
2026-02-10T20:02:00Z,51.98,51.00
2026-02-10T20:03:00Z,51.33,51.00
2026-02-10T20:04:00Z,51.93,51.00
2026-02-10T20:05:00Z,51.83,51.00
2026-02-10T20:06:00Z,52.00,51.00
2026-02-10T20:07:00Z,52.00,51.00
2026-02-10T20:08:00Z,52.00,50.00
2026-02-10T20:09:00Z,52.00,50.00
2026-02-10T20:10:00Z,52.04,50.00
2026-02-10T20:11:00Z,49.13,50.08
2026-02-10T20:12:00Z,52.00,50.20
2026-02-10T20:13:00Z,52.00,51.00
2026-02-10T20:14:00Z,52.31,51.00
2026-02-10T20:15:00Z,53.00,50.00
2026-02-10T20:16:00Z,52.93,50.00
2026-02-10T20:17:00Z,52.59,50.00
2026-02-10T20:18:00Z,53.00,50.00
2026-02-10T20:19:00Z,53.00,50.04
2026-02-10T20:20:00Z,53.00,50.00
2026-02-10T20:21:00Z,51.00,50.68
2026-02-10T20:22:00Z,50.46,53.04
2026-02-10T20:23:00Z,46.43,54.51
2026-02-10T20:24:00Z,46.17,55.06
2026-02-10T20:25:00Z,48.92,51.21
2026-02-10T20:26:00Z,51.06,49.77
2026-02-10T20:27:00Z,51.25,48.25
2026-02-10T20:28:00Z,50.09,52.34
2026-02-10T20:29:00Z,48.00,52.74
2026-02-10T20:30:00Z,48.00,53.84
2026-02-10T20:31:00Z,50.00,51.82
2026-02-10T20:32:00Z,49.75,50.73
2026-02-10T20:33:00Z,47.40,56.40
2026-02-10T20:34:00Z,47.34,57.26
2026-02-10T20:35:00Z,45.44,54.34
2026-02-10T20:36:00Z,45.26,53.78
2026-02-10T20:37:00Z,41.93,58.44
2026-02-10T20:38:00Z,42.00,59.00
2026-02-10T20:39:00Z,43.00,59.00
2026-02-10T20:40:00Z,48.26,57.03
2026-02-10T20:41:00Z,47.70,53.66
2026-02-10T20:42:00Z,44.19,57.85
2026-02-10T20:43:00Z,43.74,56.71
2026-02-10T20:44:00Z,43.36,57.04
2026-02-10T20:45:00Z,42.01,58.68
2026-02-10T20:46:00Z,42.00,59.00
2026-02-10T20:47:00Z,39.53,59.68
2026-02-10T20:48:00Z,37.82,65.25
2026-02-10T20:49:00Z,37.08,64.55
2026-02-10T20:50:00Z,36.77,65.77
2026-02-10T20:51:00Z,43.08,58.41
2026-02-10T20:52:00Z,45.38,57.54
2026-02-10T20:53:00Z,50.56,51.76
2026-02-10T20:54:00Z,45.84,55.28
2026-02-10T20:55:00Z,48.40,57.59
2026-02-10T20:56:00Z,44.54,54.95
2026-02-10T20:57:00Z,40.23,63.30
2026-02-10T20:58:00Z,40.14,61.10
2026-02-10T20:59:00Z,40.24,59.46
2026-02-10T21:00:00Z,43.15,58.00
2026-02-10T21:01:00Z,45.05,53.34
2026-02-10T21:02:00Z,48.50,50.52
2026-02-10T21:03:00Z,43.91,56.62
2026-02-10T21:04:00Z,40.81,59.43
2026-02-10T21:05:00Z,41.38,59.68
2026-02-10T21:06:00Z,33.89,62.56
2026-02-10T21:07:00Z,33.64,68.38
2026-02-10T21:08:00Z,22.19,78.56
2026-02-10T21:09:00Z,19.98,81.52
2026-02-10T21:10:00Z,19.88,80.95
2026-02-10T21:11:00Z,18.24,82.74
2026-02-10T21:12:00Z,17.46,83.85
2026-02-10T21:13:00Z,15.32,85.21
2026-02-10T21:14:00Z,18.05,83.89
2026-02-10T21:15:00Z,19.90,82.58
2026-02-10T21:16:00Z,20.29,82.78
2026-02-10T21:17:00Z,18.10,83.04
2026-02-10T21:18:00Z,17.75,84.00
2026-02-10T21:19:00Z,17.02,84.00
2026-02-10T21:20:00Z,17.59,84.92
2026-02-10T21:21:00Z,14.61,86.20
2026-02-10T21:22:00Z,20.00,81.89
2026-02-10T21:23:00Z,19.79,80.31
2026-02-10T21:24:00Z,20.44,80.23
2026-02-10T21:25:00Z,19.10,81.74
2026-02-10T21:26:00Z,17.77,82.54
2026-02-10T21:27:00Z,17.61,83.00
2026-02-10T21:28:00Z,19.72,80.74
2026-02-10T21:29:00Z,21.93,81.01
2026-02-10T21:30:00Z,22.85,78.68
2026-02-10T21:31:00Z,25.10,78.97
2026-02-10T21:32:00Z,27.26,75.96
2026-02-10T21:33:00Z,36.93,65.82
2026-02-10T21:34:00Z,40.62,62.57
2026-02-10T21:35:00Z,43.15,57.94
2026-02-10T21:36:00Z,42.47,59.27
2026-02-10T21:37:00Z,47.65,56.85
2026-02-10T21:38:00Z,48.99,52.98
2026-02-10T21:39:00Z,48.65,52.95
2026-02-10T21:40:00Z,45.98,53.45
2026-02-10T21:41:00Z,48.15,50.82
2026-02-10T21:42:00Z,50.53,52.65
2026-02-10T21:43:00Z,47.23,53.29
2026-02-10T21:44:00Z,46.89,54.74
2026-02-10T21:45:00Z,45.08,56.13
2026-02-10T21:46:00Z,51.62,48.51
2026-02-10T21:47:00Z,54.34,47.95
2026-02-10T21:48:00Z,52.84,50.85
2026-02-10T21:49:00Z,52.53,46.73
2026-02-10T21:50:00Z,52.46,50.22
2026-02-10T21:51:00Z,54.24,49.37
2026-02-10T21:52:00Z,52.08,48.82
2026-02-10T21:53:00Z,53.73,46.58
2026-02-10T21:54:00Z,51.58,53.01
2026-02-10T21:55:00Z,47.32,54.78
2026-02-10T21:56:00Z,45.60,57.82
2026-02-10T21:57:00Z,34.60,68.06
2026-02-10T21:58:00Z,23.68,76.52
2026-02-10T21:59:00Z,30.81,69.84
2026-02-10T22:00:00Z,45.72,54.59
2026-02-10T22:01:00Z,46.57,53.43
2026-02-10T22:02:00Z,50.46,52.53
2026-02-10T22:03:00Z,51.96,51.72
2026-02-10T22:04:00Z,44.10,56.55
2026-02-10T22:05:00Z,43.92,56.97
2026-02-10T22:06:00Z,48.73,54.14
2026-02-10T22:07:00Z,52.68,48.37
2026-02-10T22:08:00Z,60.07,37.66
2026-02-10T22:09:00Z,77.02,19.97
2026-02-10T22:10:00Z,84.00,15.97
2026-02-10T22:11:00Z,84.28,15.85
2026-02-10T22:12:00Z,90.66,9.75
2026-02-10T22:13:00Z,90.96,8.74
2026-02-10T22:14:00Z,88.01,12.61
2026-02-10T22:15:00Z,87.59,13.50
2026-02-10T22:16:00Z,87.57,14.48
2026-02-10T22:17:00Z,82.10,19.11
2026-02-10T22:18:00Z,94.11,11.74
2026-02-10T22:19:00Z,94.71,6.49
2026-02-10T22:20:00Z,93.18,7.11
2026-02-10T22:21:00Z,95.09,4.52
2026-02-10T22:22:00Z,93.45,7.47
2026-02-10T22:23:00Z,94.67,7.25
2026-02-10T22:24:00Z,92.52,8.25
2026-02-10T22:25:00Z,92.36,8.00
2026-02-10T22:26:00Z,97.64,2.28
2026-02-10T22:27:00Z,99.00,1.00
2026-02-10T22:28:00Z,99.00,1.00
2026-02-10T22:29:00Z,99.00,1.00
2026-02-10T22:30:00Z,99.00,1.00
2026-02-10T22:31:00Z,99.00,1.00
2026-02-10T22:32:00Z,99.00,1.00
