# event_ticker=KXATPCHALLENGERMATCH-26FEB24ESTSAN
# final_score=6-4 7-6(0)
# score_resolution=6-4 7-6
# match_winner=Carlos Sanchez Jover
# fav_player=Carlos Sanchez Jover
# dog_player=Juan Estevez
# kalshi_date=2026-02-24
timestamp,Carlos Sanchez Jover,Juan Estevez
2026-02-24T13:47:00Z,64.82,37.00
2026-02-24T13:48:00Z,70.53,37.34
2026-02-24T13:49:00Z,68.83,37.52
2026-02-24T13:50:00Z,56.48,44.33
2026-02-24T13:51:00Z,54.53,52.04
2026-02-24T13:52:00Z,59.02,49.51
2026-02-24T13:53:00Z,51.14,49.35
2026-02-24T13:54:00Z,42.88,49.35
2026-02-24T13:55:00Z,54.66,43.46
2026-02-24T13:56:00Z,54.66,39.68
2026-02-24T13:57:00Z,65.18,38.00
2026-02-24T13:58:00Z,64.73,49.00
2026-02-24T13:59:00Z,62.27,49.00
2026-02-24T14:00:00Z,62.27,55.72
2026-02-24T14:01:00Z,51.40,52.40
2026-02-24T14:02:00Z,60.42,46.64
2026-02-24T14:03:00Z,61.90,39.66
2026-02-24T14:04:00Z,67.71,36.05
2026-02-24T14:05:00Z,67.00,32.22
2026-02-24T14:06:00Z,67.10,39.42
2026-02-24T14:07:00Z,79.84,26.89
2026-02-24T14:08:00Z,84.12,18.22
2026-02-24T14:09:00Z,85.00,19.66
2026-02-24T14:10:00Z,84.40,20.73
2026-02-24T14:11:00Z,82.75,18.21
2026-02-24T14:12:00Z,85.27,15.18
2026-02-24T14:13:00Z,83.32,20.17
2026-02-24T14:14:00Z,85.18,18.25
2026-02-24T14:15:00Z,83.21,19.00
2026-02-24T14:16:00Z,78.27,22.73
2026-02-24T14:17:00Z,84.12,22.68
2026-02-24T14:18:00Z,87.08,17.12
2026-02-24T14:19:00Z,87.76,18.73
2026-02-24T14:20:00Z,83.86,17.13
2026-02-24T14:21:00Z,91.26,9.51
2026-02-24T14:22:00Z,94.08,3.67
2026-02-24T14:23:00Z,95.45,7.09
2026-02-24T14:24:00Z,95.41,4.00
2026-02-24T14:25:00Z,96.54,4.87
2026-02-24T14:26:00Z,94.87,6.33
2026-02-24T14:27:00Z,95.11,6.57
2026-02-24T14:28:00Z,94.01,7.47
2026-02-24T14:29:00Z,96.30,5.35
2026-02-24T14:30:00Z,96.92,5.36
2026-02-24T14:31:00Z,95.27,6.00
2026-02-24T14:32:00Z,90.63,8.33
2026-02-24T14:33:00Z,94.01,8.55
2026-02-24T14:34:00Z,96.42,7.07
2026-02-24T14:35:00Z,96.56,4.00
2026-02-24T14:36:00Z,97.11,4.83
2026-02-24T14:37:00Z,97.00,6.18
2026-02-24T14:38:00Z,96.09,9.18
2026-02-24T14:39:00Z,97.84,3.40
2026-02-24T14:40:00Z,97.97,3.54
2026-02-24T14:41:00Z,99.00,2.81
2026-02-24T14:42:00Z,96.27,3.77
2026-02-24T14:43:00Z,95.40,7.00
2026-02-24T14:44:00Z,95.40,5.00
2026-02-24T14:45:00Z,97.92,2.18
2026-02-24T14:46:00Z,90.98,10.97
2026-02-24T14:47:00Z,92.72,13.07
2026-02-24T14:48:00Z,88.00,13.68
2026-02-24T14:49:00Z,87.67,17.30
2026-02-24T14:50:00Z,82.89,18.63
2026-02-24T14:51:00Z,87.12,14.20
2026-02-24T14:52:00Z,78.59,22.46
2026-02-24T14:53:00Z,78.59,23.98
2026-02-24T14:54:00Z,80.22,21.70
2026-02-24T14:55:00Z,77.37,26.96
2026-02-24T14:56:00Z,60.16,39.77
2026-02-24T14:57:00Z,60.97,41.33
2026-02-24T14:58:00Z,65.56,30.48
2026-02-24T14:59:00Z,76.94,22.84
2026-02-24T15:00:00Z,78.49,19.80
2026-02-24T15:01:00Z,90.75,12.87
2026-02-24T15:02:00Z,95.99,1.64
2026-02-24T15:03:00Z,99.00,2.06
2026-02-24T15:04:00Z,99.00,1.00
2026-02-24T15:05:00Z,99.00,1.00
2026-02-24T15:06:00Z,99.00,1.00
2026-02-24T15:08:00Z,99.00,1.00
2026-02-24T15:11:00Z,99.00,1.00
