# event_ticker=KXATPCHALLENGERMATCH-26MAR16MIDVIL
# final_score=7-5 6-3
# match_winner=Lautaro Midon
# fav_player=Lautaro Midon
# dog_player=Gonzalo Villanueva
# kalshi_date=2026-03-16
timestamp,Lautaro Midon,Gonzalo Villanueva
2026-03-18T03:00:00Z,64.33,34.73
2026-03-18T03:01:00Z,64.06,40.34
2026-03-18T03:02:00Z,67.60,33.18
2026-03-18T03:03:00Z,69.46,31.88
2026-03-18T03:04:00Z,71.00,30.86
2026-03-18T03:05:00Z,72.46,29.07
2026-03-18T03:06:00Z,70.25,29.73
2026-03-18T03:07:00Z,63.74,39.01
2026-03-18T03:08:00Z,59.66,41.30
2026-03-18T03:09:00Z,63.75,38.63
2026-03-18T03:10:00Z,67.32,32.25
2026-03-18T03:11:00Z,68.14,32.00
2026-03-18T03:12:00Z,68.38,31.94
2026-03-18T03:13:00Z,66.38,33.79
2026-03-18T03:14:00Z,69.65,29.51
2026-03-18T03:15:00Z,61.86,39.22
2026-03-18T03:16:00Z,59.53,42.64
2026-03-18T03:17:00Z,61.50,37.74
2026-03-18T03:18:00Z,66.65,34.05
2026-03-18T03:19:00Z,66.00,33.00
2026-03-18T03:20:00Z,72.73,29.17
2026-03-18T03:21:00Z,75.17,24.22
2026-03-18T03:22:00Z,81.79,19.45
2026-03-18T03:23:00Z,83.05,17.20
2026-03-18T03:24:00Z,82.95,17.97
2026-03-18T03:25:00Z,83.00,18.00
2026-03-18T03:26:00Z,84.25,18.00
2026-03-18T03:27:00Z,82.19,17.69
2026-03-18T03:28:00Z,82.92,19.17
2026-03-18T03:29:00Z,76.13,23.34
2026-03-18T03:30:00Z,72.80,27.88
2026-03-18T03:31:00Z,72.88,29.78
2026-03-18T03:32:00Z,66.30,34.04
2026-03-18T03:33:00Z,69.24,30.02
2026-03-18T03:34:00Z,69.44,30.05
2026-03-18T03:35:00Z,69.30,31.96
2026-03-18T03:36:00Z,72.05,28.92
2026-03-18T03:37:00Z,72.68,28.65
2026-03-18T03:38:00Z,69.04,31.78
2026-03-18T03:39:00Z,67.29,34.79
2026-03-18T03:40:00Z,67.00,33.54
2026-03-18T03:41:00Z,65.08,39.77
2026-03-18T03:42:00Z,59.99,42.70
2026-03-18T03:43:00Z,66.48,36.55
2026-03-18T03:44:00Z,64.76,36.55
2026-03-18T03:45:00Z,66.76,34.87
2026-03-18T03:46:00Z,66.45,33.34
2026-03-18T03:47:00Z,68.00,32.54
2026-03-18T03:48:00Z,68.00,33.52
2026-03-18T03:49:00Z,67.97,31.85
2026-03-18T03:50:00Z,69.47,28.76
2026-03-18T03:51:00Z,80.83,20.64
2026-03-18T03:52:00Z,83.71,17.77
2026-03-18T03:53:00Z,84.04,15.50
2026-03-18T03:54:00Z,84.61,16.54
2026-03-18T03:55:00Z,83.31,16.00
2026-03-18T03:56:00Z,84.29,16.91
2026-03-18T03:57:00Z,83.27,18.25
2026-03-18T03:58:00Z,86.34,14.60
2026-03-18T03:59:00Z,94.35,6.26
2026-03-18T04:00:00Z,97.21,3.39
2026-03-18T04:01:00Z,98.98,1.23
2026-03-18T04:02:00Z,99.00,1.23
2026-03-18T04:03:00Z,99.00,1.23
2026-03-18T04:04:00Z,99.00,1.23
2026-03-18T04:05:00Z,99.00,1.23
2026-03-18T04:06:00Z,99.00,1.23
2026-03-18T04:07:00Z,99.00,1.23
2026-03-18T04:08:00Z,99.00,1.23
2026-03-18T04:11:00Z,99.00,1.23
2026-03-18T04:12:00Z,99.00,1.23
