# event_ticker=KXATPCHALLENGERMATCH-26APR20BARCAD
# final_score=2-6 6-1 6-2
# score_resolution=6-2 1-6 2-6
# match_winner=Gianluca Cadenasso
# fav_player=Alex Barrena
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-04-20
timestamp,Alex Barrena,Gianluca Cadenasso
2026-04-20T15:23:00Z,70.89,30.92
2026-04-20T15:24:00Z,73.79,28.37
2026-04-20T15:25:00Z,75.99,23.00
2026-04-20T15:26:00Z,78.50,22.04
2026-04-20T15:27:00Z,82.92,16.25
2026-04-20T15:28:00Z,80.97,18.57
2026-04-20T15:29:00Z,79.34,20.48
2026-04-20T15:30:00Z,80.99,20.00
2026-04-20T15:31:00Z,80.00,20.05
2026-04-20T15:32:00Z,80.18,20.59
2026-04-20T15:33:00Z,76.83,23.24
2026-04-20T15:34:00Z,80.91,18.80
2026-04-20T15:35:00Z,83.83,15.77
2026-04-20T15:36:00Z,85.07,16.83
2026-04-20T15:37:00Z,79.73,21.28
2026-04-20T15:38:00Z,78.90,23.12
2026-04-20T15:39:00Z,70.88,31.91
2026-04-20T15:40:00Z,66.33,35.67
2026-04-20T15:41:00Z,68.23,31.53
2026-04-20T15:42:00Z,64.92,36.39
2026-04-20T15:43:00Z,59.95,41.34
2026-04-20T15:44:00Z,60.75,40.60
2026-04-20T15:45:00Z,56.26,43.35
2026-04-20T15:46:00Z,54.60,45.19
2026-04-20T15:47:00Z,54.48,44.64
2026-04-20T15:48:00Z,55.59,45.00
2026-04-20T15:49:00Z,55.98,46.12
2026-04-20T15:50:00Z,57.06,44.41
2026-04-20T15:51:00Z,56.94,44.63
2026-04-20T15:52:00Z,59.57,40.00
2026-04-20T15:53:00Z,59.19,38.99
2026-04-20T15:54:00Z,58.76,40.37
2026-04-20T15:55:00Z,56.95,41.91
2026-04-20T15:56:00Z,56.83,44.52
2026-04-20T15:57:00Z,55.00,45.48
2026-04-20T15:58:00Z,56.03,45.41
2026-04-20T15:59:00Z,51.16,47.46
2026-04-20T16:00:00Z,44.47,52.36
2026-04-20T16:01:00Z,43.32,56.19
2026-04-20T16:02:00Z,43.23,55.66
2026-04-20T16:03:00Z,45.04,55.99
2026-04-20T16:04:00Z,44.40,55.55
2026-04-20T16:05:00Z,43.95,56.00
2026-04-20T16:06:00Z,45.48,53.64
2026-04-20T16:07:00Z,44.12,55.89
2026-04-20T16:08:00Z,38.24,58.31
2026-04-20T16:09:00Z,30.11,72.32
2026-04-20T16:10:00Z,24.09,80.60
2026-04-20T16:11:00Z,20.36,81.19
2026-04-20T16:12:00Z,16.94,83.27
2026-04-20T16:13:00Z,17.58,81.00
2026-04-20T16:14:00Z,17.60,82.65
2026-04-20T16:15:00Z,17.25,80.63
2026-04-20T16:16:00Z,20.03,79.44
2026-04-20T16:17:00Z,22.71,77.92
2026-04-20T16:18:00Z,23.25,77.41
2026-04-20T16:19:00Z,17.85,81.40
2026-04-20T16:20:00Z,12.37,86.49
2026-04-20T16:21:00Z,10.65,88.14
2026-04-20T16:22:00Z,10.18,92.06
2026-04-20T16:23:00Z,3.12,97.83
2026-04-20T16:24:00Z,4.28,96.00
2026-04-20T16:25:00Z,3.82,96.06
2026-04-20T16:26:00Z,7.62,92.69
2026-04-20T16:27:00Z,7.91,94.52
2026-04-20T16:28:00Z,11.87,88.18
2026-04-20T16:29:00Z,8.98,91.60
2026-04-20T16:30:00Z,4.91,95.34
2026-04-20T16:31:00Z,2.22,97.30
2026-04-20T16:32:00Z,2.40,98.69
2026-04-20T16:33:00Z,1.17,98.68
2026-04-20T16:34:00Z,1.42,99.00
2026-04-20T16:35:00Z,1.00,99.00
2026-04-20T16:36:00Z,1.00,99.00
2026-04-20T16:37:00Z,1.00,99.00
