# event_ticker=KXATPMATCH-25SEP18HIJUGO
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Rinky Hijikata
# fav_player=Rinky Hijikata
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-09-18
timestamp,Rinky Hijikata,Camilo Ugo Carabelli
2025-09-19T02:49:00Z,66.00,36.00
2025-09-19T02:50:00Z,66.00,36.00
2025-09-19T02:53:00Z,66.00,36.00
2025-09-19T02:55:00Z,66.00,36.00
2025-09-19T02:57:00Z,66.00,36.00
2025-09-19T02:58:00Z,66.00,36.00
2025-09-19T03:01:00Z,66.00,36.00
2025-09-19T03:02:00Z,66.00,36.00
2025-09-19T03:03:00Z,66.00,36.00
2025-09-19T03:06:00Z,66.00,36.00
2025-09-19T03:08:00Z,66.00,36.00
2025-09-19T03:09:00Z,66.00,36.00
2025-09-19T03:10:00Z,66.00,36.00
2025-09-19T03:12:00Z,66.00,36.00
2025-09-19T03:14:00Z,65.00,36.00
2025-09-19T03:15:00Z,66.00,36.00
2025-09-19T03:16:00Z,66.00,36.73
2025-09-19T03:18:00Z,66.00,36.00
2025-09-19T03:19:00Z,66.00,36.00
2025-09-19T03:20:00Z,66.00,36.00
2025-09-19T03:21:00Z,66.00,36.00
2025-09-19T03:22:00Z,66.00,36.00
2025-09-19T03:23:00Z,66.00,36.00
2025-09-19T03:25:00Z,66.00,36.00
2025-09-19T03:27:00Z,66.00,36.87
2025-09-19T03:29:00Z,66.00,36.87
2025-09-19T03:30:00Z,66.00,37.00
2025-09-19T03:31:00Z,66.00,36.57
2025-09-19T03:32:00Z,66.00,37.00
2025-09-19T03:33:00Z,66.00,37.00
2025-09-19T03:34:00Z,66.00,37.00
2025-09-19T03:36:00Z,66.00,37.00
2025-09-19T03:37:00Z,66.00,37.00
2025-09-19T03:38:00Z,66.00,37.00
2025-09-19T03:39:00Z,66.00,36.08
2025-09-19T03:41:00Z,66.00,36.85
2025-09-19T03:42:00Z,64.94,36.00
2025-09-19T03:43:00Z,59.67,40.63
2025-09-19T03:44:00Z,57.67,44.40
2025-09-19T03:45:00Z,57.67,42.12
2025-09-19T03:46:00Z,57.67,38.05
2025-09-19T03:47:00Z,57.67,42.23
2025-09-19T03:48:00Z,65.00,37.24
2025-09-19T03:49:00Z,67.18,34.62
2025-09-19T03:50:00Z,67.00,36.47
2025-09-19T03:51:00Z,65.88,35.45
2025-09-19T03:52:00Z,65.64,38.59
2025-09-19T03:53:00Z,71.92,29.80
2025-09-19T03:54:00Z,72.10,32.63
2025-09-19T03:55:00Z,77.13,22.00
2025-09-19T03:56:00Z,77.40,26.40
2025-09-19T03:57:00Z,69.10,33.11
2025-09-19T03:58:00Z,66.28,36.32
2025-09-19T03:59:00Z,64.44,37.53
2025-09-19T04:00:00Z,61.23,44.11
2025-09-19T04:01:00Z,62.09,42.95
2025-09-19T04:02:00Z,60.17,41.73
2025-09-19T04:03:00Z,63.60,35.84
2025-09-19T04:04:00Z,78.40,22.78
2025-09-19T04:05:00Z,77.00,25.84
2025-09-19T04:06:00Z,80.55,20.13
2025-09-19T04:07:00Z,77.74,22.48
2025-09-19T04:08:00Z,76.98,25.05
2025-09-19T04:09:00Z,80.89,20.67
2025-09-19T04:10:00Z,81.98,20.00
2025-09-19T04:11:00Z,82.12,16.15
2025-09-19T04:12:00Z,84.67,17.38
