# event_ticker=KXATPCHALLENGERMATCH-26MAY12STRALV
# final_score=6-1 5-7 6-2
# score_resolution=1-6 7-5 2-6
# match_winner=Nicolas Alvarez Varona
# fav_player=Jan-Lennard Struff
# dog_player=Nicolas Alvarez Varona
# kalshi_date=2026-05-12
timestamp,Jan-Lennard Struff,Nicolas Alvarez Varona
2026-05-12T09:46:00Z,13.00,84.02
2026-05-12T09:47:00Z,9.00,91.00
2026-05-12T09:48:00Z,14.53,86.95
2026-05-12T09:49:00Z,25.95,75.98
2026-05-12T09:50:00Z,33.04,67.24
2026-05-12T09:51:00Z,26.70,72.42
2026-05-12T09:52:00Z,36.91,64.00
2026-05-12T09:53:00Z,38.24,61.24
2026-05-12T09:54:00Z,43.08,57.00
2026-05-12T09:55:00Z,49.58,51.00
2026-05-12T09:56:00Z,56.20,43.00
2026-05-12T09:57:00Z,58.71,40.00
2026-05-12T09:58:00Z,62.30,40.00
2026-05-12T09:59:00Z,60.03,40.00
2026-05-12T10:00:00Z,60.91,40.00
2026-05-12T10:01:00Z,62.05,37.05
2026-05-12T10:02:00Z,55.94,41.58
2026-05-12T10:03:00Z,52.88,44.41
2026-05-12T10:04:00Z,54.63,44.25
2026-05-12T10:05:00Z,52.26,53.00
2026-05-12T10:06:00Z,39.82,58.55
2026-05-12T10:07:00Z,34.37,66.93
2026-05-12T10:08:00Z,31.15,70.01
2026-05-12T10:09:00Z,25.63,73.74
2026-05-12T10:10:00Z,18.92,81.98
2026-05-12T10:11:00Z,17.87,85.65
2026-05-12T10:12:00Z,9.15,90.29
2026-05-12T10:13:00Z,10.00,91.47
2026-05-12T10:14:00Z,6.00,91.47
2026-05-12T10:15:00Z,5.24,95.20
2026-05-12T10:16:00Z,3.22,96.02
2026-05-12T10:17:00Z,3.35,96.57
2026-05-12T10:18:00Z,4.71,96.57
2026-05-12T10:19:00Z,6.00,96.94
2026-05-12T10:20:00Z,5.56,94.84
2026-05-12T10:21:00Z,6.07,93.89
2026-05-12T10:22:00Z,6.16,93.74
2026-05-12T10:23:00Z,5.97,95.72
2026-05-12T10:24:00Z,10.11,90.14
2026-05-12T10:25:00Z,6.76,92.09
2026-05-12T10:26:00Z,7.93,93.41
2026-05-12T10:27:00Z,4.63,96.99
2026-05-12T10:28:00Z,1.03,99.00
2026-05-12T10:29:00Z,2.23,97.84
2026-05-12T10:30:00Z,3.00,98.00
2026-05-12T10:31:00Z,2.07,98.00
2026-05-12T10:32:00Z,3.00,97.10
2026-05-12T10:33:00Z,1.00,98.99
2026-05-12T10:35:00Z,4.00,99.00
2026-05-12T10:37:00Z,4.00,99.00
2026-05-12T10:39:00Z,1.00,99.00
