# event_ticker=KXATPCHALLENGERMATCH-26APR07FOMBOU
# final_score=6-4 1-6 7-6(3)
# score_resolution=6-4 1-6 7-6
# match_winner=Sergey Fomin
# fav_player=Sergey Fomin
# dog_player=Moerani Bouzige
# kalshi_date=2026-04-07
timestamp,Sergey Fomin,Moerani Bouzige
2026-04-07T08:11:00Z,76.27,25.72
2026-04-07T08:12:00Z,73.62,31.21
2026-04-07T08:13:00Z,76.30,26.26
2026-04-07T08:14:00Z,71.54,33.09
2026-04-07T08:15:00Z,60.44,41.91
2026-04-07T08:16:00Z,55.41,45.84
2026-04-07T08:17:00Z,54.30,45.12
2026-04-07T08:18:00Z,57.70,44.38
2026-04-07T08:19:00Z,61.16,39.19
2026-04-07T08:20:00Z,62.50,39.50
2026-04-07T08:21:00Z,62.18,38.79
2026-04-07T08:22:00Z,52.81,50.21
2026-04-07T08:23:00Z,52.98,49.20
2026-04-07T08:24:00Z,53.45,47.76
2026-04-07T08:25:00Z,52.77,52.12
2026-04-07T08:26:00Z,43.46,57.48
2026-04-07T08:27:00Z,45.09,59.25
2026-04-07T08:28:00Z,44.39,55.80
2026-04-07T08:29:00Z,47.49,53.70
2026-04-07T08:30:00Z,53.59,46.69
2026-04-07T08:31:00Z,56.57,45.15
2026-04-07T08:32:00Z,53.32,47.96
2026-04-07T08:33:00Z,55.74,47.18
2026-04-07T08:34:00Z,52.46,50.93
2026-04-07T08:35:00Z,46.70,55.20
2026-04-07T08:36:00Z,54.11,47.10
2026-04-07T08:37:00Z,55.90,45.02
2026-04-07T08:38:00Z,55.80,45.20
2026-04-07T08:39:00Z,53.17,48.48
2026-04-07T08:40:00Z,48.56,53.20
2026-04-07T08:41:00Z,50.97,48.97
2026-04-07T08:42:00Z,53.62,47.12
2026-04-07T08:43:00Z,57.21,41.04
2026-04-07T08:44:00Z,58.14,45.44
2026-04-07T08:45:00Z,53.50,48.10
2026-04-07T08:46:00Z,52.57,48.43
2026-04-07T08:47:00Z,53.56,45.60
2026-04-07T08:48:00Z,59.81,43.17
2026-04-07T08:49:00Z,58.58,43.38
2026-04-07T08:50:00Z,58.02,41.51
2026-04-07T08:51:00Z,55.57,48.64
2026-04-07T08:52:00Z,57.86,41.23
2026-04-07T08:53:00Z,57.34,41.32
2026-04-07T08:54:00Z,53.57,46.22
2026-04-07T08:55:00Z,58.37,41.60
2026-04-07T08:56:00Z,63.48,37.12
2026-04-07T08:57:00Z,62.28,38.64
2026-04-07T08:58:00Z,53.65,43.11
2026-04-07T08:59:00Z,52.68,47.78
2026-04-07T09:00:00Z,56.73,43.99
2026-04-07T09:01:00Z,60.77,43.97
2026-04-07T09:02:00Z,61.31,39.38
2026-04-07T09:03:00Z,58.19,42.47
2026-04-07T09:04:00Z,42.64,58.69
2026-04-07T09:05:00Z,28.44,68.50
2026-04-07T09:06:00Z,53.43,46.09
2026-04-07T09:07:00Z,72.01,27.59
2026-04-07T09:08:00Z,76.06,21.89
2026-04-07T09:09:00Z,90.52,7.52
2026-04-07T09:10:00Z,98.25,1.82
2026-04-07T09:11:00Z,99.00,1.82
2026-04-07T09:12:00Z,99.00,1.00
2026-04-07T09:13:00Z,99.00,1.00
