# event_ticker=KXATPCHALLENGERMATCH-26APR29ARNARN2
# final_score=6-7(3) 6-4 6-2
# score_resolution=7-6 4-6 2-6
# match_winner=Matteo Arnaldi
# fav_player=Federico Arnaboldi
# dog_player=Matteo Arnaldi
# kalshi_date=2026-04-29
timestamp,Federico Arnaboldi,Matteo Arnaldi
2026-04-29T13:52:00Z,64.92,37.53
2026-04-29T13:53:00Z,67.98,34.00
2026-04-29T13:54:00Z,67.50,33.04
2026-04-29T13:55:00Z,64.24,34.18
2026-04-29T13:56:00Z,66.02,34.66
2026-04-29T13:57:00Z,71.42,28.33
2026-04-29T13:58:00Z,76.26,25.94
2026-04-29T13:59:00Z,77.10,26.73
2026-04-29T14:00:00Z,68.95,30.44
2026-04-29T14:01:00Z,65.86,35.31
2026-04-29T14:02:00Z,58.64,39.51
2026-04-29T14:03:00Z,50.31,48.34
2026-04-29T14:04:00Z,58.97,42.37
2026-04-29T14:05:00Z,65.75,35.36
2026-04-29T14:06:00Z,69.34,30.13
2026-04-29T14:07:00Z,70.58,29.94
2026-04-29T14:08:00Z,68.83,31.01
2026-04-29T14:09:00Z,67.99,32.93
2026-04-29T14:10:00Z,66.08,34.45
2026-04-29T14:11:00Z,67.82,33.51
2026-04-29T14:12:00Z,57.55,39.44
2026-04-29T14:13:00Z,61.72,38.74
2026-04-29T14:14:00Z,66.22,34.49
2026-04-29T14:15:00Z,55.92,42.76
2026-04-29T14:16:00Z,64.40,37.94
2026-04-29T14:17:00Z,69.58,29.61
2026-04-29T14:18:00Z,70.80,30.00
2026-04-29T14:19:00Z,69.64,31.42
2026-04-29T14:20:00Z,68.37,33.15
2026-04-29T14:21:00Z,64.34,36.22
2026-04-29T14:22:00Z,65.43,36.69
2026-04-29T14:23:00Z,61.09,39.91
2026-04-29T14:24:00Z,48.10,51.73
2026-04-29T14:25:00Z,41.35,53.07
2026-04-29T14:26:00Z,40.31,58.54
2026-04-29T14:27:00Z,38.74,59.37
2026-04-29T14:28:00Z,36.70,61.94
2026-04-29T14:29:00Z,34.39,64.64
2026-04-29T14:30:00Z,34.48,64.10
2026-04-29T14:31:00Z,35.20,64.87
2026-04-29T14:32:00Z,35.77,64.91
2026-04-29T14:33:00Z,36.43,63.79
2026-04-29T14:34:00Z,33.94,65.45
2026-04-29T14:35:00Z,30.14,69.85
2026-04-29T14:36:00Z,24.00,75.94
2026-04-29T14:37:00Z,18.10,81.91
2026-04-29T14:38:00Z,25.75,71.56
2026-04-29T14:39:00Z,23.84,75.54
2026-04-29T14:40:00Z,28.73,75.32
2026-04-29T14:41:00Z,20.49,81.78
2026-04-29T14:42:00Z,14.26,85.33
2026-04-29T14:43:00Z,8.36,90.41
2026-04-29T14:44:00Z,4.04,95.42
2026-04-29T14:45:00Z,4.51,95.47
2026-04-29T14:46:00Z,5.87,94.76
2026-04-29T14:47:00Z,3.94,95.56
2026-04-29T14:48:00Z,5.74,93.95
2026-04-29T14:49:00Z,13.70,87.92
2026-04-29T14:50:00Z,12.36,89.10
2026-04-29T14:51:00Z,12.15,88.51
2026-04-29T14:52:00Z,7.09,90.30
2026-04-29T14:53:00Z,3.18,97.44
2026-04-29T14:54:00Z,4.00,96.04
2026-04-29T14:55:00Z,1.89,97.42
2026-04-29T14:56:00Z,1.26,98.90
2026-04-29T14:57:00Z,1.92,98.86
2026-04-29T14:58:00Z,1.98,98.97
2026-04-29T14:59:00Z,1.52,98.36
2026-04-29T15:00:00Z,2.00,98.31
2026-04-29T15:01:00Z,2.71,97.29
2026-04-29T15:02:00Z,3.03,96.90
2026-04-29T15:03:00Z,2.44,98.91
2026-04-29T15:04:00Z,1.71,98.98
2026-04-29T15:05:00Z,1.00,99.00
2026-04-29T15:06:00Z,1.00,99.00
