# event_ticker=KXATPCHALLENGERMATCH-26MAR17PIEMIC
# final_score=6-3 6-0
# score_resolution=3-6 0-6
# match_winner=Daniel Michalski
# fav_player=Samuele Pieri
# dog_player=Daniel Michalski
# kalshi_date=2026-03-17
timestamp,Samuele Pieri,Daniel Michalski
2026-03-17T14:59:00Z,20.62,83.11
2026-03-17T15:00:00Z,20.33,84.73
2026-03-17T15:01:00Z,14.24,86.29
2026-03-17T15:02:00Z,15.00,86.00
2026-03-17T15:03:00Z,17.13,85.00
2026-03-17T15:04:00Z,17.00,84.23
2026-03-17T15:05:00Z,17.00,85.00
2026-03-17T15:06:00Z,15.25,81.38
2026-03-17T15:07:00Z,17.00,84.06
2026-03-17T15:08:00Z,17.91,85.00
2026-03-17T15:09:00Z,15.65,84.32
2026-03-17T15:10:00Z,15.72,85.01
2026-03-17T15:11:00Z,15.22,85.00
2026-03-17T15:12:00Z,14.17,86.01
2026-03-17T15:13:00Z,12.61,87.99
2026-03-17T15:14:00Z,15.00,88.00
2026-03-17T15:15:00Z,10.40,89.65
2026-03-17T15:16:00Z,8.79,91.84
2026-03-17T15:17:00Z,9.32,91.99
2026-03-17T15:18:00Z,9.64,90.98
2026-03-17T15:19:00Z,8.92,92.26
2026-03-17T15:20:00Z,9.64,90.22
2026-03-17T15:21:00Z,9.11,90.89
2026-03-17T15:22:00Z,8.77,93.21
2026-03-17T15:23:00Z,5.45,94.94
2026-03-17T15:24:00Z,5.28,93.78
2026-03-17T15:25:00Z,5.00,95.99
2026-03-17T15:26:00Z,4.26,96.00
2026-03-17T15:27:00Z,4.98,96.86
2026-03-17T15:28:00Z,2.03,97.53
2026-03-17T15:29:00Z,2.12,97.91
2026-03-17T15:30:00Z,2.00,99.00
2026-03-17T15:31:00Z,2.00,98.49
2026-03-17T15:32:00Z,1.73,98.94
2026-03-17T15:33:00Z,2.00,98.33
2026-03-17T15:34:00Z,2.06,98.16
2026-03-17T15:35:00Z,1.52,99.00
2026-03-17T15:36:00Z,2.29,97.82
2026-03-17T15:37:00Z,3.00,97.51
2026-03-17T15:38:00Z,2.00,97.57
2026-03-17T15:39:00Z,4.00,92.18
2026-03-17T15:40:00Z,3.00,98.00
2026-03-17T15:41:00Z,1.96,98.22
2026-03-17T15:42:00Z,1.30,98.99
2026-03-17T15:43:00Z,1.00,99.00
2026-03-17T15:44:00Z,1.00,99.00
2026-03-17T15:45:00Z,1.00,99.00
2026-03-17T15:46:00Z,1.00,99.00
2026-03-17T15:47:00Z,1.00,99.00
2026-03-17T15:48:00Z,1.00,99.00
2026-03-17T15:52:00Z,1.00,99.00
