# event_ticker=KXATPCHALLENGERMATCH-26APR03SANBRA
# final_score=1-6 6-1 6-3
# match_winner=Raul Brancaccio
# fav_player=Raul Brancaccio
# dog_player=Alejo Sanchez Quilez
# kalshi_date=2026-04-03
timestamp,Raul Brancaccio,Alejo Sanchez Quilez
2026-04-03T17:38:00Z,52.52,48.29
2026-04-03T17:39:00Z,70.41,29.99
2026-04-03T17:40:00Z,73.09,27.33
2026-04-03T17:41:00Z,69.02,32.91
2026-04-03T17:42:00Z,90.32,14.04
2026-04-03T17:43:00Z,83.45,18.57
2026-04-03T17:44:00Z,81.85,19.13
2026-04-03T17:45:00Z,90.65,16.63
2026-04-03T17:46:00Z,91.66,10.92
2026-04-03T17:47:00Z,92.19,7.17
2026-04-03T17:48:00Z,98.62,1.84
2026-04-03T17:49:00Z,99.00,1.00
2026-04-03T17:50:00Z,99.00,1.00
2026-04-03T17:51:00Z,99.00,1.00
2026-04-03T17:52:00Z,99.00,1.00
