# event_ticker=KXATPCHALLENGERMATCH-26MAR28GUEGEN
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Tom Gentzsch
# fav_player=Sascha Gueymard Wayenburg
# dog_player=Tom Gentzsch
# kalshi_date=2026-03-28
timestamp,Sascha Gueymard Wayenburg,Tom Gentzsch
2026-03-28T10:55:00Z,52.01,50.83
2026-03-28T10:56:00Z,50.07,50.51
2026-03-28T10:57:00Z,48.95,57.84
2026-03-28T10:58:00Z,42.96,56.55
2026-03-28T10:59:00Z,44.46,59.02
2026-03-28T11:00:00Z,43.31,57.60
2026-03-28T11:01:00Z,48.98,52.78
2026-03-28T11:02:00Z,53.00,47.98
2026-03-28T11:03:00Z,56.65,46.81
2026-03-28T11:04:00Z,57.37,43.68
2026-03-28T11:05:00Z,55.88,46.03
2026-03-28T11:06:00Z,51.23,47.05
2026-03-28T11:07:00Z,54.76,47.27
2026-03-28T11:08:00Z,57.39,44.65
2026-03-28T11:09:00Z,51.10,49.56
2026-03-28T11:10:00Z,50.98,51.00
2026-03-28T11:11:00Z,50.00,55.08
2026-03-28T11:12:00Z,37.21,60.08
2026-03-28T11:13:00Z,29.49,67.99
2026-03-28T11:14:00Z,31.22,68.12
2026-03-28T11:15:00Z,33.65,65.75
2026-03-28T11:16:00Z,27.80,73.02
2026-03-28T11:17:00Z,27.43,72.55
2026-03-28T11:18:00Z,27.96,72.10
2026-03-28T11:19:00Z,26.50,74.25
2026-03-28T11:20:00Z,33.20,65.79
2026-03-28T11:21:00Z,34.86,64.62
2026-03-28T11:22:00Z,30.52,70.98
2026-03-28T11:23:00Z,29.34,72.75
2026-03-28T11:24:00Z,26.70,73.31
2026-03-28T11:25:00Z,24.93,74.95
2026-03-28T11:26:00Z,27.49,74.96
2026-03-28T11:27:00Z,28.62,74.68
2026-03-28T11:28:00Z,27.92,74.92
2026-03-28T11:29:00Z,23.65,75.87
2026-03-28T11:30:00Z,27.78,72.14
2026-03-28T11:31:00Z,30.92,70.16
2026-03-28T11:32:00Z,29.19,72.02
2026-03-28T11:33:00Z,31.89,68.67
2026-03-28T11:34:00Z,26.28,74.89
2026-03-28T11:35:00Z,23.99,76.94
2026-03-28T11:36:00Z,27.07,75.74
2026-03-28T11:37:00Z,26.39,74.41
2026-03-28T11:38:00Z,28.05,72.05
2026-03-28T11:39:00Z,28.96,71.18
2026-03-28T11:40:00Z,34.75,68.00
2026-03-28T11:41:00Z,28.15,70.84
2026-03-28T11:42:00Z,25.66,74.38
2026-03-28T11:43:00Z,24.97,76.56
2026-03-28T11:44:00Z,27.56,72.66
2026-03-28T11:45:00Z,28.19,72.03
2026-03-28T11:46:00Z,28.85,70.64
2026-03-28T11:47:00Z,24.53,74.89
2026-03-28T11:48:00Z,26.02,75.92
2026-03-28T11:49:00Z,23.12,78.00
2026-03-28T11:50:00Z,23.00,78.25
2026-03-28T11:51:00Z,25.65,77.33
2026-03-28T11:52:00Z,23.85,78.11
2026-03-28T11:53:00Z,23.17,78.08
2026-03-28T11:54:00Z,26.47,73.88
2026-03-28T11:55:00Z,25.95,75.95
2026-03-28T11:56:00Z,25.28,77.51
2026-03-28T11:57:00Z,20.06,77.78
2026-03-28T11:58:00Z,20.77,79.33
2026-03-28T11:59:00Z,21.28,80.03
2026-03-28T12:00:00Z,19.15,79.88
2026-03-28T12:01:00Z,10.52,92.80
2026-03-28T12:02:00Z,11.39,92.36
2026-03-28T12:03:00Z,15.24,86.28
2026-03-28T12:04:00Z,15.15,86.25
2026-03-28T12:05:00Z,2.92,98.51
2026-03-28T12:06:00Z,1.00,99.00
