# event_ticker=KXATPCHALLENGERMATCH-26MAR24FERMIC
# final_score=6-4 6-2
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Daniel Michalski
# kalshi_date=2026-03-24
timestamp,Frederico Ferreira Silva,Daniel Michalski
2026-03-24T11:36:00Z,74.33,26.00
2026-03-24T11:37:00Z,76.63,27.00
2026-03-24T11:38:00Z,82.22,19.60
2026-03-24T11:39:00Z,81.59,19.66
2026-03-24T11:40:00Z,76.80,24.00
2026-03-24T11:41:00Z,76.65,21.66
2026-03-24T11:42:00Z,77.93,22.64
2026-03-24T11:43:00Z,76.00,25.00
2026-03-24T11:44:00Z,77.17,27.00
2026-03-24T11:45:00Z,70.17,29.00
2026-03-24T11:46:00Z,77.16,25.97
2026-03-24T11:47:00Z,79.33,23.00
2026-03-24T11:48:00Z,78.95,22.01
2026-03-24T11:49:00Z,81.01,23.37
2026-03-24T11:50:00Z,78.74,22.33
2026-03-24T11:51:00Z,77.08,23.00
2026-03-24T11:52:00Z,83.50,18.71
2026-03-24T11:53:00Z,88.46,10.00
2026-03-24T11:54:00Z,92.00,8.82
2026-03-24T11:55:00Z,89.74,9.61
2026-03-24T11:56:00Z,90.55,12.29
2026-03-24T11:57:00Z,92.95,7.22
2026-03-24T11:58:00Z,94.55,8.08
2026-03-24T11:59:00Z,91.46,10.11
2026-03-24T12:00:00Z,93.59,6.72
2026-03-24T12:01:00Z,95.00,5.99
2026-03-24T12:02:00Z,94.22,5.83
2026-03-24T12:03:00Z,93.87,5.96
2026-03-24T12:04:00Z,96.33,5.07
2026-03-24T12:05:00Z,98.73,1.05
2026-03-24T12:06:00Z,98.95,1.21
2026-03-24T12:07:00Z,99.00,1.00
2026-03-24T12:08:00Z,99.00,1.00
2026-03-24T12:09:00Z,99.00,1.00
2026-03-24T12:10:00Z,99.00,1.00
2026-03-24T12:11:00Z,99.00,1.01
2026-03-24T12:12:00Z,99.00,1.00
2026-03-24T12:13:00Z,99.00,2.00
2026-03-24T12:14:00Z,99.00,1.00
2026-03-24T12:15:00Z,99.00,1.00
2026-03-24T12:16:00Z,99.00,1.00
2026-03-24T12:17:00Z,99.00,1.00
2026-03-24T12:19:00Z,99.00,1.00
2026-03-24T12:20:00Z,99.00,1.00
2026-03-24T12:22:00Z,99.00,1.00
2026-03-24T12:23:00Z,99.00,1.00
