# event_ticker=KXATPCHALLENGERMATCH-26MAY28COPAGA
# final_score=6-2 6-3
# match_winner=Franco Agamenone
# fav_player=Franco Agamenone
# dog_player=Kimmer Coppejans
# kalshi_date=2026-05-28
timestamp,Kimmer Coppejans,Franco Agamenone
2026-05-28T11:22:00Z,33.00,68.00
2026-05-28T11:23:00Z,34.89,66.74
2026-05-28T11:24:00Z,37.59,63.00
2026-05-28T11:25:00Z,41.70,59.00
2026-05-28T11:26:00Z,43.00,59.00
2026-05-28T11:27:00Z,42.74,58.00
2026-05-28T11:28:00Z,39.00,60.04
2026-05-28T11:29:00Z,38.25,61.92
2026-05-28T11:30:00Z,41.41,60.00
2026-05-28T11:31:00Z,38.11,61.17
2026-05-28T11:32:00Z,37.00,62.14
2026-05-28T11:33:00Z,33.43,66.75
2026-05-28T11:35:00Z,34.00,67.00
2026-05-28T11:36:00Z,30.99,69.93
2026-05-28T11:37:00Z,28.00,72.00
2026-05-28T11:38:00Z,27.82,72.00
2026-05-28T11:39:00Z,27.82,73.00
2026-05-28T11:40:00Z,28.00,72.00
2026-05-28T11:41:00Z,28.00,73.00
2026-05-28T11:42:00Z,31.09,73.00
2026-05-28T11:43:00Z,31.16,68.47
2026-05-28T11:44:00Z,28.55,71.53
2026-05-28T11:45:00Z,25.79,74.64
2026-05-28T11:46:00Z,20.98,79.57
2026-05-28T11:47:00Z,18.66,82.29
2026-05-28T11:48:00Z,13.51,86.72
2026-05-28T11:49:00Z,15.01,84.67
2026-05-28T11:50:00Z,19.87,79.06
2026-05-28T11:51:00Z,20.98,79.06
2026-05-28T11:52:00Z,25.73,76.18
2026-05-28T11:53:00Z,28.40,72.44
2026-05-28T11:54:00Z,30.76,69.57
2026-05-28T11:55:00Z,32.57,70.95
2026-05-28T11:56:00Z,33.00,69.00
2026-05-28T11:57:00Z,32.99,68.00
2026-05-28T11:58:00Z,31.00,68.57
2026-05-28T11:59:00Z,33.98,67.09
2026-05-28T12:00:00Z,31.00,69.91
2026-05-28T12:01:00Z,34.57,66.26
2026-05-28T12:02:00Z,42.07,58.81
2026-05-28T12:03:00Z,44.03,59.93
2026-05-28T12:04:00Z,33.01,64.08
2026-05-28T12:05:00Z,34.26,67.03
2026-05-28T12:06:00Z,34.01,67.03
2026-05-28T12:07:00Z,35.67,64.02
2026-05-28T12:08:00Z,37.32,64.02
2026-05-28T12:09:00Z,31.35,67.60
2026-05-28T12:10:00Z,29.67,70.54
2026-05-28T12:11:00Z,26.01,76.00
2026-05-28T12:12:00Z,26.23,73.75
2026-05-28T12:13:00Z,21.85,77.34
2026-05-28T12:14:00Z,18.29,84.76
2026-05-28T12:15:00Z,21.56,81.70
2026-05-28T12:16:00Z,18.04,84.07
2026-05-28T12:17:00Z,19.81,86.05
2026-05-28T12:18:00Z,19.81,86.26
2026-05-28T12:19:00Z,11.56,79.78
2026-05-28T12:20:00Z,15.45,90.48
2026-05-28T12:21:00Z,10.57,89.57
2026-05-28T12:22:00Z,8.70,91.58
2026-05-28T12:23:00Z,8.11,92.27
2026-05-28T12:24:00Z,8.00,92.00
2026-05-28T12:25:00Z,5.00,95.18
2026-05-28T12:26:00Z,6.03,93.82
2026-05-28T12:27:00Z,7.66,95.66
2026-05-28T12:28:00Z,6.17,95.24
2026-05-28T12:29:00Z,1.01,98.95
2026-05-28T12:30:00Z,1.01,99.00
