# event_ticker=KXATPCHALLENGERMATCH-26MAY08SINMAR
# final_score=7-6(5) 1-0 RET
# match_winner=Ivan Marrero Curbelo
# fav_player=Ivan Marrero Curbelo
# dog_player=Karan (IND) Singh
# kalshi_date=2026-05-08
timestamp,Karan (IND) Singh,Ivan Marrero Curbelo
2026-05-08T16:34:00Z,41.77,59.50
2026-05-08T16:35:00Z,39.37,61.16
2026-05-08T16:36:00Z,31.00,67.84
2026-05-08T16:37:00Z,31.00,70.00
2026-05-08T16:39:00Z,31.00,70.99
2026-05-08T16:40:00Z,31.00,70.95
2026-05-08T16:41:00Z,30.86,69.00
2026-05-08T16:42:00Z,30.86,70.00
2026-05-08T16:43:00Z,30.00,71.00
2026-05-08T16:44:00Z,31.00,71.00
2026-05-08T16:45:00Z,32.00,69.00
2026-05-08T16:46:00Z,32.00,69.00
2026-05-08T16:47:00Z,32.80,67.57
2026-05-08T16:48:00Z,39.54,61.43
2026-05-08T16:49:00Z,39.54,62.00
2026-05-08T16:50:00Z,37.00,62.79
2026-05-08T16:51:00Z,43.44,55.66
2026-05-08T16:52:00Z,48.01,49.00
2026-05-08T16:53:00Z,51.68,47.46
2026-05-08T16:54:00Z,54.00,47.00
2026-05-08T16:55:00Z,54.00,47.00
2026-05-08T16:56:00Z,54.00,48.00
2026-05-08T16:57:00Z,47.99,52.00
2026-05-08T16:59:00Z,46.00,54.00
2026-05-08T17:00:00Z,46.00,55.26
2026-05-08T17:01:00Z,37.00,63.00
2026-05-08T17:02:00Z,38.88,63.00
2026-05-08T17:03:00Z,38.88,66.28
2026-05-08T17:04:00Z,38.88,71.00
2026-05-08T17:05:00Z,30.87,69.00
2026-05-08T17:06:00Z,32.00,68.00
2026-05-08T17:07:00Z,29.00,71.44
2026-05-08T17:08:00Z,29.25,70.66
2026-05-08T17:09:00Z,24.17,75.00
2026-05-08T17:10:00Z,24.03,76.00
2026-05-08T17:11:00Z,22.30,78.00
2026-05-08T17:12:00Z,24.90,75.00
2026-05-08T17:13:00Z,24.90,76.00
2026-05-08T17:14:00Z,25.00,76.00
2026-05-08T17:15:00Z,24.13,76.00
2026-05-08T17:16:00Z,29.55,72.00
2026-05-08T17:17:00Z,30.08,69.07
2026-05-08T17:18:00Z,41.48,59.85
2026-05-08T17:19:00Z,48.93,50.95
2026-05-08T17:20:00Z,49.86,50.03
2026-05-08T17:21:00Z,47.22,55.70
2026-05-08T17:22:00Z,45.83,53.50
2026-05-08T17:23:00Z,48.64,50.30
2026-05-08T17:24:00Z,52.00,49.75
2026-05-08T17:25:00Z,53.38,46.18
2026-05-08T17:26:00Z,49.91,48.00
2026-05-08T17:27:00Z,51.00,47.76
2026-05-08T17:28:00Z,50.46,48.22
2026-05-08T17:29:00Z,49.87,49.00
2026-05-08T17:30:00Z,48.05,51.83
2026-05-08T17:31:00Z,48.78,51.32
2026-05-08T17:32:00Z,43.63,56.17
2026-05-08T17:33:00Z,34.13,67.46
2026-05-08T17:34:00Z,30.00,69.22
2026-05-08T17:35:00Z,27.02,70.93
2026-05-08T17:36:00Z,24.33,74.95
2026-05-08T17:37:00Z,24.00,74.95
2026-05-08T17:38:00Z,35.20,66.74
2026-05-08T17:39:00Z,25.59,76.51
2026-05-08T17:40:00Z,21.00,79.20
2026-05-08T17:41:00Z,21.00,79.20
2026-05-08T17:42:00Z,21.01,79.20
2026-05-08T17:44:00Z,22.00,78.00
2026-05-08T17:45:00Z,22.00,78.00
2026-05-08T17:47:00Z,21.00,80.00
2026-05-08T17:48:00Z,21.00,80.00
2026-05-08T17:49:00Z,20.07,80.44
2026-05-08T17:50:00Z,19.71,81.00
2026-05-08T17:51:00Z,17.56,82.81
2026-05-08T17:52:00Z,13.70,84.88
2026-05-08T17:53:00Z,2.98,98.17
2026-05-08T17:54:00Z,1.27,98.09
2026-05-08T17:55:00Z,1.27,98.00
2026-05-08T17:56:00Z,1.00,98.98
