# event_ticker=KXATPCHALLENGERMATCH-26MAR03COUBOU
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Eliakim Coulibaly
# fav_player=Cesar Bouchelaghem
# dog_player=Eliakim Coulibaly
# kalshi_date=2026-03-03
timestamp,Cesar Bouchelaghem,Eliakim Coulibaly
2026-03-03T13:12:00Z,16.59,86.00
2026-03-03T13:13:00Z,17.26,84.81
2026-03-03T13:14:00Z,17.09,84.00
2026-03-03T13:15:00Z,14.11,86.15
2026-03-03T13:16:00Z,15.35,86.00
2026-03-03T13:17:00Z,14.62,86.94
2026-03-03T13:18:00Z,13.81,88.10
2026-03-03T13:19:00Z,11.89,94.15
2026-03-03T13:20:00Z,4.80,95.93
2026-03-03T13:21:00Z,5.62,95.30
2026-03-03T13:22:00Z,3.93,96.38
2026-03-03T13:23:00Z,4.78,96.42
2026-03-03T13:24:00Z,5.59,96.58
2026-03-03T13:25:00Z,6.42,95.31
2026-03-03T13:26:00Z,4.86,96.83
2026-03-03T13:27:00Z,5.00,96.98
2026-03-03T13:28:00Z,4.98,96.12
2026-03-03T13:29:00Z,4.00,97.55
2026-03-03T13:30:00Z,3.36,97.35
2026-03-03T13:31:00Z,5.48,96.00
2026-03-03T13:32:00Z,5.55,96.05
2026-03-03T13:33:00Z,2.09,97.78
2026-03-03T13:34:00Z,4.44,96.29
2026-03-03T13:35:00Z,5.86,95.60
2026-03-03T13:36:00Z,5.33,95.39
2026-03-03T13:37:00Z,4.99,96.67
2026-03-03T13:38:00Z,2.62,97.00
2026-03-03T13:39:00Z,3.17,98.00
2026-03-03T13:40:00Z,4.00,97.79
2026-03-03T13:41:00Z,3.42,97.96
2026-03-03T13:42:00Z,3.21,96.78
2026-03-03T13:43:00Z,2.32,98.89
2026-03-03T13:44:00Z,1.21,98.91
2026-03-03T13:45:00Z,1.00,99.00
2026-03-03T13:46:00Z,1.00,99.00
2026-03-03T13:47:00Z,1.00,99.00
2026-03-03T13:48:00Z,1.00,99.00
2026-03-03T13:49:00Z,1.00,99.00
2026-03-03T13:50:00Z,1.00,99.00
2026-03-03T13:51:00Z,1.00,99.00
