# event_ticker=KXATPMATCH-26MAR23CILZVE
# final_score=6-2 5-7 6-4
# score_resolution=2-6 7-5 4-6
# match_winner=Alexander Zverev
# fav_player=Marin Cilic
# dog_player=Alexander Zverev
# kalshi_date=2026-03-23
timestamp,Marin Cilic,Alexander Zverev
2026-03-23T18:41:00Z,17.00,84.00
2026-03-23T18:42:00Z,17.00,84.00
2026-03-23T18:43:00Z,17.00,84.00
2026-03-23T18:44:00Z,17.00,84.00
2026-03-23T18:45:00Z,17.00,84.00
2026-03-23T18:46:00Z,17.00,84.00
2026-03-23T18:47:00Z,17.00,84.00
2026-03-23T18:48:00Z,17.00,84.00
2026-03-23T18:49:00Z,17.00,84.00
2026-03-23T18:50:00Z,17.00,84.00
2026-03-23T18:51:00Z,17.00,84.00
2026-03-23T18:52:00Z,17.00,84.00
2026-03-23T18:53:00Z,17.00,84.00
2026-03-23T18:54:00Z,17.00,84.00
2026-03-23T18:55:00Z,17.00,83.00
2026-03-23T18:57:00Z,17.00,84.00
2026-03-23T18:58:00Z,17.00,84.00
2026-03-23T18:59:00Z,17.00,84.00
2026-03-23T19:00:00Z,17.00,84.00
2026-03-23T19:01:00Z,17.00,84.00
2026-03-23T19:02:00Z,17.00,84.00
2026-03-23T19:04:00Z,17.00,84.00
2026-03-23T19:05:00Z,17.00,84.00
2026-03-23T19:06:00Z,17.00,84.00
2026-03-23T19:07:00Z,17.00,84.00
2026-03-23T19:08:00Z,17.00,84.00
2026-03-23T19:09:00Z,17.00,84.00
2026-03-23T19:10:00Z,17.00,84.00
2026-03-23T19:12:00Z,17.00,84.00
2026-03-23T19:13:00Z,17.00,84.00
2026-03-23T19:15:00Z,17.00,84.00
2026-03-23T19:17:00Z,17.00,84.00
2026-03-23T19:18:00Z,17.00,84.00
2026-03-23T19:20:00Z,17.00,84.00
2026-03-23T19:21:00Z,17.00,84.00
2026-03-23T19:23:00Z,17.00,84.00
2026-03-23T19:24:00Z,16.00,84.00
2026-03-23T19:25:00Z,16.00,84.00
2026-03-23T19:26:00Z,17.00,84.00
2026-03-23T19:27:00Z,17.00,84.00
2026-03-23T19:28:00Z,17.00,84.00
2026-03-23T19:29:00Z,17.00,84.00
2026-03-23T19:30:00Z,17.00,84.00
2026-03-23T19:31:00Z,17.00,84.00
2026-03-23T19:32:00Z,17.00,83.95
2026-03-23T19:33:00Z,17.00,84.00
2026-03-23T19:35:00Z,17.00,84.00
2026-03-23T19:36:00Z,17.00,84.00
2026-03-23T19:38:00Z,17.00,84.00
2026-03-23T19:39:00Z,17.00,84.00
2026-03-23T19:40:00Z,17.00,83.00
2026-03-23T19:41:00Z,17.00,84.00
2026-03-23T19:42:00Z,17.00,84.00
2026-03-23T19:43:00Z,17.00,84.00
2026-03-23T19:45:00Z,16.00,85.00
2026-03-23T19:46:00Z,16.00,85.00
2026-03-23T19:49:00Z,17.00,85.00
2026-03-23T19:50:00Z,17.00,85.00
2026-03-23T19:52:00Z,16.00,85.00
2026-03-23T19:53:00Z,16.00,85.00
2026-03-23T19:54:00Z,16.00,85.00
2026-03-23T19:57:00Z,16.00,85.00
2026-03-23T19:58:00Z,16.00,85.00
2026-03-23T19:59:00Z,16.00,85.00
2026-03-23T20:00:00Z,15.00,85.00
2026-03-23T20:02:00Z,15.98,85.00
2026-03-23T20:04:00Z,15.00,85.00
2026-03-23T20:05:00Z,15.36,85.00
2026-03-23T20:06:00Z,15.36,85.00
2026-03-23T20:07:00Z,16.00,85.00
2026-03-23T20:09:00Z,16.00,85.00
2026-03-23T20:10:00Z,16.00,85.00
2026-03-23T20:11:00Z,16.00,85.37
2026-03-23T20:12:00Z,16.00,85.99
2026-03-23T20:13:00Z,16.00,85.00
2026-03-23T20:16:00Z,16.00,85.00
2026-03-23T20:18:00Z,16.00,85.00
2026-03-23T20:19:00Z,16.00,84.00
2026-03-23T20:20:00Z,16.00,85.00
2026-03-23T20:21:00Z,15.38,85.15
2026-03-23T20:22:00Z,15.00,85.15
2026-03-23T20:23:00Z,16.00,85.15
2026-03-23T20:24:00Z,16.00,85.00
2026-03-23T20:25:00Z,16.00,85.63
2026-03-23T20:26:00Z,16.00,84.00
2026-03-23T20:27:00Z,16.00,84.00
2026-03-23T20:29:00Z,16.00,85.96
2026-03-23T20:30:00Z,15.00,85.96
2026-03-23T20:31:00Z,15.00,86.00
2026-03-23T20:32:00Z,15.00,86.00
2026-03-23T20:33:00Z,15.43,86.00
2026-03-23T20:34:00Z,14.65,85.00
2026-03-23T20:35:00Z,16.00,85.88
2026-03-23T20:36:00Z,15.64,85.88
2026-03-23T20:40:00Z,15.64,85.87
2026-03-23T20:41:00Z,15.64,85.00
2026-03-23T20:43:00Z,15.64,84.00
2026-03-23T20:44:00Z,15.64,85.00
2026-03-23T20:45:00Z,15.64,84.11
2026-03-23T20:46:00Z,16.00,85.00
2026-03-23T20:47:00Z,16.00,84.98
2026-03-23T20:48:00Z,16.00,86.00
2026-03-23T20:49:00Z,16.00,85.00
2026-03-23T20:50:00Z,16.00,85.63
2026-03-23T20:51:00Z,16.00,86.00
2026-03-23T20:52:00Z,16.00,86.00
