# event_ticker=KXATPMATCH-25OCT02GIRTAB
# final_score=6-4 6-3
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Marcos Giron
# kalshi_date=2025-10-02
timestamp,Alejandro Tabilo,Marcos Giron
2025-10-02T11:01:00Z,95.13,3.73
2025-10-02T11:02:00Z,97.75,2.14
2025-10-02T11:03:00Z,97.00,2.28
2025-10-02T11:04:00Z,97.36,2.28
2025-10-02T11:05:00Z,97.00,3.00
2025-10-02T11:06:00Z,97.00,3.00
2025-10-02T11:07:00Z,96.06,3.00
2025-10-02T11:08:00Z,98.79,2.34
2025-10-02T11:09:00Z,94.20,4.88
2025-10-02T11:10:00Z,88.64,11.71
2025-10-02T11:11:00Z,94.07,7.73
2025-10-02T11:12:00Z,97.85,3.26
2025-10-02T11:13:00Z,99.00,3.26
2025-10-02T11:14:00Z,99.00,3.26
2025-10-02T11:15:00Z,99.00,3.26
2025-10-02T11:16:00Z,99.00,3.26
