# event_ticker=KXATPMATCH-25JUL23DAVMUN
# final_score=6-4 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Jaume Munar
# kalshi_date=2025-07-23
timestamp,Alejandro Davidovich Fokina,Jaume Munar
2025-07-23T23:03:00Z,56.00,47.00
2025-07-23T23:04:00Z,56.00,46.64
2025-07-23T23:05:00Z,55.00,46.64
2025-07-23T23:11:00Z,53.00,44.10
2025-07-23T23:13:00Z,55.88,44.10
2025-07-23T23:17:00Z,75.50,45.97
2025-07-23T23:18:00Z,56.00,47.00
2025-07-23T23:19:00Z,56.00,47.00
2025-07-23T23:21:00Z,56.00,47.00
2025-07-23T23:23:00Z,62.00,42.00
2025-07-23T23:24:00Z,59.96,42.00
2025-07-23T23:27:00Z,59.96,53.44
2025-07-23T23:29:00Z,57.00,46.41
2025-07-23T23:30:00Z,57.83,44.00
2025-07-23T23:31:00Z,56.00,44.00
2025-07-23T23:32:00Z,56.00,47.34
2025-07-23T23:33:00Z,56.00,49.00
2025-07-23T23:34:00Z,54.00,49.00
2025-07-23T23:35:00Z,54.00,45.00
2025-07-23T23:36:00Z,57.05,45.00
2025-07-23T23:39:00Z,55.00,46.00
2025-07-23T23:40:00Z,55.00,47.00
2025-07-23T23:42:00Z,58.00,47.83
2025-07-23T23:43:00Z,57.00,47.83
2025-07-23T23:44:00Z,54.74,50.00
2025-07-23T23:45:00Z,60.00,45.00
2025-07-23T23:46:00Z,61.88,38.56
2025-07-23T23:47:00Z,62.00,38.00
2025-07-23T23:48:00Z,61.00,39.88
2025-07-23T23:49:00Z,53.00,45.00
2025-07-23T23:50:00Z,53.00,50.00
2025-07-23T23:51:00Z,53.00,47.00
2025-07-23T23:52:00Z,52.78,50.00
2025-07-23T23:53:00Z,52.26,56.13
2025-07-23T23:54:00Z,52.26,54.01
2025-07-23T23:55:00Z,51.25,48.97
2025-07-23T23:56:00Z,56.00,42.59
2025-07-23T23:57:00Z,58.00,42.15
2025-07-23T23:58:00Z,62.21,37.95
2025-07-23T23:59:00Z,68.73,24.71
2025-07-24T00:00:00Z,76.55,24.68
2025-07-24T00:01:00Z,75.94,32.18
2025-07-24T00:02:00Z,65.00,35.31
2025-07-24T00:03:00Z,57.00,37.00
2025-07-24T00:05:00Z,64.65,34.00
2025-07-24T00:06:00Z,75.00,21.73
2025-07-24T00:07:00Z,78.79,22.28
2025-07-24T00:08:00Z,80.00,20.00
2025-07-24T00:09:00Z,79.87,22.00
2025-07-24T00:10:00Z,77.00,27.07
2025-07-24T00:11:00Z,77.00,24.91
2025-07-24T00:12:00Z,79.05,20.29
2025-07-24T00:13:00Z,79.05,22.60
2025-07-24T00:14:00Z,84.78,15.88
2025-07-24T00:15:00Z,90.00,9.90
2025-07-24T00:16:00Z,93.30,10.50
2025-07-24T00:17:00Z,91.62,8.00
2025-07-24T00:18:00Z,93.00,8.07
2025-07-24T00:19:00Z,94.89,7.50
2025-07-24T00:20:00Z,95.00,5.67
2025-07-24T00:21:00Z,97.00,5.00
2025-07-24T00:22:00Z,96.56,4.00
2025-07-24T00:23:00Z,98.26,3.00
2025-07-24T00:24:00Z,99.00,2.00
2025-07-24T00:25:00Z,98.00,2.00
2025-07-24T00:26:00Z,97.44,2.00
2025-07-24T00:27:00Z,97.70,3.00
2025-07-24T00:28:00Z,97.82,3.00
2025-07-24T00:30:00Z,97.82,2.00
2025-07-24T00:31:00Z,99.00,1.00
2025-07-24T00:32:00Z,98.00,1.00
2025-07-24T00:33:00Z,98.00,1.50
2025-07-24T00:36:00Z,98.01,2.00
2025-07-24T00:37:00Z,95.55,4.32
2025-07-24T00:38:00Z,94.88,5.86
2025-07-24T00:39:00Z,96.00,5.86
2025-07-24T00:41:00Z,98.63,2.10
2025-07-24T00:42:00Z,98.63,1.00
2025-07-24T00:45:00Z,99.00,1.70
2025-07-24T00:46:00Z,99.00,2.00
2025-07-24T00:47:00Z,99.00,2.00
2025-07-24T00:48:00Z,99.00,1.34
