# event_ticker=KXATPCHALLENGERMATCH-26MAR31SCHNIK
# final_score=3-6 6-3 6-0
# score_resolution=6-3 3-6 0-6
# match_winner=Johan Nikles
# fav_player=Joao Eduardo Schiessl
# dog_player=Johan Nikles
# kalshi_date=2026-03-31
timestamp,Joao Eduardo Schiessl,Johan Nikles
2026-03-31T13:57:00Z,59.00,43.07
2026-03-31T13:58:00Z,57.81,41.83
2026-03-31T13:59:00Z,55.79,50.97
2026-03-31T14:00:00Z,53.11,43.07
2026-03-31T14:01:00Z,53.11,45.00
2026-03-31T14:02:00Z,57.48,44.31
2026-03-31T14:03:00Z,57.48,39.35
2026-03-31T14:04:00Z,57.48,34.05
2026-03-31T14:05:00Z,63.08,35.88
2026-03-31T14:06:00Z,63.08,38.00
2026-03-31T14:07:00Z,68.63,32.18
2026-03-31T14:08:00Z,65.84,37.00
2026-03-31T14:09:00Z,68.03,37.25
2026-03-31T14:10:00Z,65.00,34.67
2026-03-31T14:11:00Z,61.58,40.86
2026-03-31T14:12:00Z,62.80,42.02
2026-03-31T14:13:00Z,62.80,37.00
2026-03-31T14:14:00Z,62.90,39.13
2026-03-31T14:15:00Z,58.30,41.39
2026-03-31T14:16:00Z,50.10,44.71
2026-03-31T14:17:00Z,50.10,49.33
2026-03-31T14:18:00Z,54.00,42.33
2026-03-31T14:19:00Z,52.70,49.93
2026-03-31T14:20:00Z,53.61,50.80
2026-03-31T14:21:00Z,56.41,48.77
2026-03-31T14:22:00Z,61.56,41.00
2026-03-31T14:23:00Z,63.91,36.17
2026-03-31T14:24:00Z,66.18,38.28
2026-03-31T14:25:00Z,61.82,38.28
2026-03-31T14:26:00Z,69.00,33.00
2026-03-31T14:27:00Z,73.59,28.02
2026-03-31T14:28:00Z,77.50,23.00
2026-03-31T14:29:00Z,75.60,24.00
2026-03-31T14:30:00Z,77.99,21.30
2026-03-31T14:31:00Z,73.86,24.61
2026-03-31T14:32:00Z,77.61,23.17
2026-03-31T14:33:00Z,81.00,18.10
2026-03-31T14:34:00Z,81.29,18.11
2026-03-31T14:35:00Z,81.74,19.00
2026-03-31T14:36:00Z,82.84,19.00
2026-03-31T14:37:00Z,80.06,19.80
2026-03-31T14:38:00Z,79.25,19.36
2026-03-31T14:39:00Z,82.00,20.00
2026-03-31T14:40:00Z,82.48,19.86
2026-03-31T14:41:00Z,78.48,20.00
2026-03-31T14:42:00Z,83.63,17.82
2026-03-31T14:43:00Z,79.12,20.36
2026-03-31T14:44:00Z,79.56,20.63
2026-03-31T14:45:00Z,79.77,22.68
2026-03-31T14:46:00Z,78.00,25.36
2026-03-31T14:47:00Z,76.89,26.42
2026-03-31T14:48:00Z,73.75,29.69
2026-03-31T14:49:00Z,66.00,33.44
2026-03-31T14:50:00Z,63.96,35.73
2026-03-31T14:51:00Z,66.00,31.94
2026-03-31T14:52:00Z,67.14,33.66
2026-03-31T14:53:00Z,66.67,35.61
2026-03-31T14:54:00Z,74.87,29.28
2026-03-31T14:55:00Z,77.00,23.83
2026-03-31T14:56:00Z,76.59,21.13
2026-03-31T14:57:00Z,78.00,22.00
2026-03-31T14:58:00Z,80.98,20.30
2026-03-31T14:59:00Z,79.50,24.27
2026-03-31T15:00:00Z,70.35,30.83
2026-03-31T15:01:00Z,65.77,35.46
2026-03-31T15:02:00Z,66.60,31.04
2026-03-31T15:03:00Z,66.00,29.00
2026-03-31T15:04:00Z,64.45,40.17
2026-03-31T15:05:00Z,63.45,33.15
2026-03-31T15:06:00Z,69.34,36.17
2026-03-31T15:07:00Z,58.56,39.61
2026-03-31T15:08:00Z,59.00,42.00
2026-03-31T15:09:00Z,59.00,41.00
2026-03-31T15:10:00Z,59.00,40.09
2026-03-31T15:11:00Z,61.61,39.07
2026-03-31T15:12:00Z,60.03,39.00
2026-03-31T15:13:00Z,62.20,40.10
2026-03-31T15:14:00Z,57.61,44.21
2026-03-31T15:15:00Z,54.73,46.00
2026-03-31T15:16:00Z,55.47,45.00
2026-03-31T15:17:00Z,55.18,46.14
2026-03-31T15:18:00Z,56.00,46.00
2026-03-31T15:19:00Z,55.54,46.34
2026-03-31T15:20:00Z,50.65,48.89
2026-03-31T15:21:00Z,47.35,53.16
2026-03-31T15:22:00Z,47.73,52.86
2026-03-31T15:23:00Z,51.97,48.63
2026-03-31T15:24:00Z,55.43,46.42
2026-03-31T15:25:00Z,58.11,42.42
2026-03-31T15:26:00Z,54.27,47.51
2026-03-31T15:27:00Z,47.94,53.72
2026-03-31T15:28:00Z,46.91,52.25
2026-03-31T15:29:00Z,46.13,54.09
2026-03-31T15:30:00Z,48.98,54.04
2026-03-31T15:31:00Z,47.85,54.69
2026-03-31T15:32:00Z,43.39,58.31
2026-03-31T15:33:00Z,35.54,63.48
2026-03-31T15:34:00Z,21.23,76.58
2026-03-31T15:35:00Z,13.50,86.10
2026-03-31T15:36:00Z,15.22,83.86
2026-03-31T15:37:00Z,14.78,84.55
2026-03-31T15:38:00Z,14.23,85.15
2026-03-31T15:39:00Z,4.55,94.47
2026-03-31T15:40:00Z,5.19,95.31
2026-03-31T15:41:00Z,8.00,93.03
2026-03-31T15:42:00Z,8.76,92.30
2026-03-31T15:43:00Z,12.59,93.14
2026-03-31T15:44:00Z,6.45,93.75
2026-03-31T15:45:00Z,4.28,95.72
2026-03-31T15:46:00Z,3.40,96.10
2026-03-31T15:47:00Z,3.85,96.69
2026-03-31T15:48:00Z,3.64,97.64
2026-03-31T15:49:00Z,4.07,97.35
2026-03-31T15:50:00Z,3.00,98.25
2026-03-31T15:51:00Z,1.03,98.62
2026-03-31T15:52:00Z,1.00,99.00
2026-03-31T15:53:00Z,1.00,99.00
2026-03-31T15:54:00Z,1.00,99.00
2026-03-31T15:55:00Z,1.00,99.00
2026-03-31T15:57:00Z,1.00,99.00
2026-03-31T15:59:00Z,1.00,99.00
2026-03-31T16:00:00Z,1.00,99.00
2026-03-31T16:01:00Z,1.00,99.00
2026-03-31T16:02:00Z,1.00,99.00
2026-03-31T16:03:00Z,1.00,99.00
