# event_ticker=KXATPCHALLENGERMATCH-26FEB17SAKSUR
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Stefanos Sakellaridis
# fav_player=Manish Sureshkumar
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-02-17
timestamp,Manish Sureshkumar,Stefanos Sakellaridis
2026-02-17T08:44:00Z,16.00,86.00
2026-02-17T08:45:00Z,17.21,86.00
2026-02-17T08:46:00Z,20.49,82.16
2026-02-17T08:47:00Z,19.49,82.16
2026-02-17T08:48:00Z,21.65,81.00
2026-02-17T08:49:00Z,15.26,82.67
2026-02-17T08:50:00Z,12.43,88.43
2026-02-17T08:51:00Z,14.11,88.41
2026-02-17T08:52:00Z,14.37,84.88
2026-02-17T08:53:00Z,14.33,85.20
2026-02-17T08:54:00Z,12.35,87.06
2026-02-17T08:55:00Z,10.44,90.47
2026-02-17T08:56:00Z,8.48,92.72
2026-02-17T08:57:00Z,8.89,91.49
2026-02-17T08:58:00Z,6.97,94.00
2026-02-17T08:59:00Z,7.85,93.00
2026-02-17T09:00:00Z,9.14,92.99
2026-02-17T09:01:00Z,9.40,92.12
2026-02-17T09:02:00Z,8.20,92.18
2026-02-17T09:03:00Z,12.60,88.81
2026-02-17T09:04:00Z,12.76,88.45
2026-02-17T09:05:00Z,13.01,88.04
2026-02-17T09:06:00Z,13.48,87.00
2026-02-17T09:07:00Z,14.00,87.00
2026-02-17T09:08:00Z,13.01,87.00
2026-02-17T09:09:00Z,12.00,87.00
2026-02-17T09:10:00Z,13.50,85.91
2026-02-17T09:11:00Z,20.19,80.86
2026-02-17T09:12:00Z,15.42,86.95
2026-02-17T09:13:00Z,13.27,86.50
2026-02-17T09:14:00Z,15.10,86.69
2026-02-17T09:15:00Z,16.00,85.45
2026-02-17T09:16:00Z,15.05,87.90
2026-02-17T09:17:00Z,15.26,85.00
2026-02-17T09:18:00Z,11.38,89.50
2026-02-17T09:19:00Z,12.33,89.00
2026-02-17T09:20:00Z,12.44,89.00
2026-02-17T09:21:00Z,14.79,87.00
2026-02-17T09:22:00Z,16.09,86.92
2026-02-17T09:23:00Z,14.17,85.50
2026-02-17T09:24:00Z,19.89,81.21
2026-02-17T09:25:00Z,19.29,82.81
2026-02-17T09:26:00Z,19.37,81.21
2026-02-17T09:27:00Z,12.60,90.00
2026-02-17T09:28:00Z,11.72,90.00
2026-02-17T09:29:00Z,11.75,89.88
2026-02-17T09:30:00Z,11.93,88.51
2026-02-17T09:31:00Z,8.55,91.31
2026-02-17T09:32:00Z,7.04,93.05
2026-02-17T09:33:00Z,9.51,90.61
2026-02-17T09:34:00Z,12.55,88.00
2026-02-17T09:35:00Z,14.34,86.36
2026-02-17T09:36:00Z,17.84,79.42
2026-02-17T09:37:00Z,21.53,79.75
2026-02-17T09:38:00Z,26.55,73.28
2026-02-17T09:39:00Z,26.45,71.92
2026-02-17T09:40:00Z,27.46,73.00
2026-02-17T09:41:00Z,28.17,73.00
2026-02-17T09:42:00Z,32.53,69.10
2026-02-17T09:43:00Z,33.43,61.60
2026-02-17T09:44:00Z,28.79,73.91
2026-02-17T09:45:00Z,25.44,75.66
2026-02-17T09:46:00Z,21.47,79.04
2026-02-17T09:47:00Z,20.86,79.07
2026-02-17T09:48:00Z,19.34,75.04
2026-02-17T09:49:00Z,20.69,83.00
2026-02-17T09:50:00Z,14.14,84.00
2026-02-17T09:51:00Z,11.12,84.00
2026-02-17T09:52:00Z,10.69,88.76
2026-02-17T09:53:00Z,10.96,90.00
2026-02-17T09:54:00Z,11.79,86.00
2026-02-17T09:55:00Z,16.49,84.00
2026-02-17T09:56:00Z,16.40,86.50
2026-02-17T09:57:00Z,10.64,88.32
2026-02-17T09:58:00Z,13.07,88.00
2026-02-17T09:59:00Z,11.86,88.00
2026-02-17T10:00:00Z,11.94,91.80
2026-02-17T10:01:00Z,14.19,84.39
2026-02-17T10:02:00Z,16.30,84.39
2026-02-17T10:03:00Z,16.53,87.00
2026-02-17T10:04:00Z,10.89,88.09
2026-02-17T10:05:00Z,7.88,92.00
2026-02-17T10:06:00Z,11.84,92.00
2026-02-17T10:07:00Z,3.26,96.53
2026-02-17T10:08:00Z,2.75,99.00
2026-02-17T10:09:00Z,1.22,99.00
2026-02-17T10:10:00Z,1.38,98.00
2026-02-17T10:11:00Z,1.00,98.00
2026-02-17T10:13:00Z,1.00,99.00
2026-02-17T10:15:00Z,1.00,99.00
