# event_ticker=KXATPMATCH-25JUL28CORGIG
# final_score=4-6 6-2 7-6(2)
# score_resolution=6-4 2-6 6-7
# match_winner=Matteo Gigante
# fav_player=Borna Coric
# dog_player=Matteo Gigante
# kalshi_date=2025-07-28
timestamp,Borna Coric,Matteo Gigante
2025-07-28T21:15:00Z,54.00,47.11
2025-07-28T21:16:00Z,54.00,47.25
2025-07-28T21:17:00Z,54.00,48.00
2025-07-28T21:19:00Z,49.00,49.23
2025-07-28T21:20:00Z,50.86,51.00
2025-07-28T21:21:00Z,47.27,52.01
2025-07-28T21:22:00Z,47.27,68.00
2025-07-28T21:23:00Z,40.00,69.92
2025-07-28T21:24:00Z,40.00,66.00
2025-07-28T21:27:00Z,53.83,45.26
2025-07-28T21:30:00Z,50.16,50.01
2025-07-28T21:31:00Z,50.16,50.00
2025-07-28T21:32:00Z,51.00,49.00
2025-07-28T21:33:00Z,52.00,44.00
2025-07-28T21:34:00Z,57.00,43.00
2025-07-28T21:35:00Z,61.48,41.03
2025-07-28T21:36:00Z,63.00,37.03
2025-07-28T21:37:00Z,72.13,32.00
2025-07-28T21:38:00Z,72.13,31.00
2025-07-28T21:39:00Z,72.00,31.00
2025-07-28T21:40:00Z,69.63,37.00
2025-07-28T21:41:00Z,69.63,43.56
2025-07-28T21:42:00Z,69.63,39.68
2025-07-28T21:43:00Z,66.00,39.68
2025-07-28T21:44:00Z,66.00,34.00
2025-07-28T21:46:00Z,66.00,29.00
2025-07-28T21:47:00Z,66.00,31.00
2025-07-28T21:48:00Z,71.08,32.09
2025-07-28T21:49:00Z,71.00,32.00
2025-07-28T21:50:00Z,70.00,32.00
2025-07-28T21:51:00Z,74.75,29.00
2025-07-28T21:52:00Z,74.13,26.00
2025-07-28T21:53:00Z,74.00,26.00
2025-07-28T21:54:00Z,74.00,24.40
2025-07-28T21:55:00Z,74.71,26.00
2025-07-28T21:56:00Z,75.00,26.00
2025-07-28T21:57:00Z,75.00,33.13
2025-07-28T21:58:00Z,71.70,28.27
2025-07-28T21:59:00Z,69.39,28.27
2025-07-28T22:00:00Z,66.00,28.27
2025-07-28T22:01:00Z,63.29,36.00
2025-07-28T22:02:00Z,65.00,39.62
2025-07-28T22:03:00Z,65.93,33.76
2025-07-28T22:04:00Z,64.00,41.00
2025-07-28T22:05:00Z,63.46,27.01
2025-07-28T22:06:00Z,74.99,28.00
2025-07-28T22:07:00Z,74.99,24.71
2025-07-28T22:10:00Z,74.00,24.71
