# event_ticker=KXATPCHALLENGERMATCH-26APR07BUEFER
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Gonzalo Bueno
# fav_player=Bruno Fernandez
# dog_player=Gonzalo Bueno
# kalshi_date=2026-04-07
timestamp,Bruno Fernandez,Gonzalo Bueno
2026-04-07T15:48:00Z,16.56,83.09
2026-04-07T15:49:00Z,16.68,83.54
2026-04-07T15:50:00Z,18.00,83.01
2026-04-07T15:51:00Z,15.00,83.20
2026-04-07T15:52:00Z,21.09,79.22
2026-04-07T15:53:00Z,26.44,73.98
2026-04-07T15:54:00Z,25.78,74.90
2026-04-07T15:55:00Z,25.71,73.81
2026-04-07T15:57:00Z,20.00,78.14
2026-04-07T15:58:00Z,24.16,77.04
2026-04-07T15:59:00Z,27.99,72.80
2026-04-07T16:00:00Z,29.85,71.00
2026-04-07T16:01:00Z,31.82,68.29
2026-04-07T16:02:00Z,28.48,71.70
2026-04-07T16:03:00Z,31.45,69.31
2026-04-07T16:04:00Z,34.15,68.79
2026-04-07T16:05:00Z,32.37,67.46
2026-04-07T16:06:00Z,32.96,66.74
2026-04-07T16:07:00Z,34.42,66.33
2026-04-07T16:08:00Z,35.82,65.67
2026-04-07T16:09:00Z,33.91,67.52
2026-04-07T16:10:00Z,36.66,62.79
2026-04-07T16:11:00Z,33.95,66.48
2026-04-07T16:12:00Z,26.37,73.54
2026-04-07T16:13:00Z,24.41,76.98
2026-04-07T16:14:00Z,22.00,76.18
2026-04-07T16:15:00Z,23.15,77.00
2026-04-07T16:16:00Z,16.93,80.66
2026-04-07T16:17:00Z,16.42,84.00
2026-04-07T16:18:00Z,15.64,84.00
2026-04-07T16:19:00Z,14.92,85.98
2026-04-07T16:20:00Z,13.00,87.00
2026-04-07T16:21:00Z,12.08,88.76
2026-04-07T16:22:00Z,12.80,86.26
2026-04-07T16:23:00Z,12.92,87.77
2026-04-07T16:24:00Z,10.51,88.76
2026-04-07T16:25:00Z,9.54,89.59
2026-04-07T16:26:00Z,7.12,91.98
2026-04-07T16:27:00Z,7.05,92.02
2026-04-07T16:28:00Z,7.02,93.35
2026-04-07T16:29:00Z,6.98,94.00
2026-04-07T16:30:00Z,6.94,93.01
2026-04-07T16:31:00Z,7.00,93.24
2026-04-07T16:32:00Z,6.94,94.00
2026-04-07T16:33:00Z,6.96,94.00
2026-04-07T16:34:00Z,7.00,93.96
2026-04-07T16:35:00Z,6.00,94.00
2026-04-07T16:36:00Z,8.48,90.42
2026-04-07T16:37:00Z,9.48,90.43
2026-04-07T16:38:00Z,10.15,90.02
2026-04-07T16:39:00Z,10.91,90.78
2026-04-07T16:40:00Z,9.44,90.58
2026-04-07T16:41:00Z,9.02,91.01
2026-04-07T16:42:00Z,8.83,92.05
2026-04-07T16:43:00Z,5.95,94.72
2026-04-07T16:44:00Z,6.74,94.24
2026-04-07T16:45:00Z,4.71,95.36
2026-04-07T16:46:00Z,3.22,96.40
2026-04-07T16:47:00Z,3.32,97.91
2026-04-07T16:48:00Z,4.00,97.00
2026-04-07T16:49:00Z,4.20,96.01
2026-04-07T16:50:00Z,4.07,96.57
2026-04-07T16:51:00Z,5.18,95.00
2026-04-07T16:52:00Z,5.32,95.01
2026-04-07T16:53:00Z,3.58,96.09
2026-04-07T16:54:00Z,2.87,97.98
2026-04-07T16:55:00Z,2.17,98.70
2026-04-07T16:56:00Z,2.00,98.59
2026-04-07T16:57:00Z,1.08,99.00
2026-04-07T16:58:00Z,1.00,99.00
2026-04-07T16:59:00Z,1.00,98.78
2026-04-07T17:00:00Z,1.00,99.00
2026-04-07T17:01:00Z,1.00,99.00
2026-04-07T17:02:00Z,1.73,97.15
2026-04-07T17:03:00Z,3.00,96.85
2026-04-07T17:04:00Z,3.23,97.00
2026-04-07T17:05:00Z,4.00,97.00
2026-04-07T17:06:00Z,4.22,96.90
2026-04-07T17:07:00Z,6.00,95.16
2026-04-07T17:08:00Z,7.27,94.00
2026-04-07T17:09:00Z,7.64,94.14
2026-04-07T17:10:00Z,10.56,92.07
2026-04-07T17:11:00Z,9.92,90.27
2026-04-07T17:12:00Z,12.63,88.43
2026-04-07T17:13:00Z,15.83,84.29
2026-04-07T17:14:00Z,16.68,83.75
2026-04-07T17:15:00Z,14.21,84.29
2026-04-07T17:16:00Z,18.24,80.68
2026-04-07T17:17:00Z,17.33,79.31
2026-04-07T17:18:00Z,12.99,86.97
2026-04-07T17:19:00Z,8.06,92.05
2026-04-07T17:20:00Z,6.84,93.61
2026-04-07T17:21:00Z,3.46,96.87
2026-04-07T17:22:00Z,4.45,96.13
2026-04-07T17:23:00Z,1.62,98.89
2026-04-07T17:24:00Z,1.59,98.99
2026-04-07T17:25:00Z,1.59,99.00
2026-04-07T17:26:00Z,1.59,99.00
2026-04-07T17:27:00Z,1.00,99.00
