# event_ticker=KXATPCHALLENGERMATCH-26MAY05GEEDIN
# final_score=6-2 6-7(6) 6-2
# score_resolution=6-2 6-7 6-2
# match_winner=Michael Geerts
# fav_player=Michael Geerts
# dog_player=Dinko Dinev
# kalshi_date=2026-05-05
timestamp,Michael Geerts,Dinko Dinev
2026-05-05T17:18:00Z,79.82,20.81
2026-05-05T17:19:00Z,90.58,8.67
2026-05-05T17:20:00Z,89.56,8.14
2026-05-05T17:21:00Z,92.81,8.74
2026-05-05T17:22:00Z,94.98,8.10
2026-05-05T17:23:00Z,92.78,7.27
2026-05-05T17:24:00Z,97.70,4.16
2026-05-05T17:25:00Z,98.52,1.74
2026-05-05T17:26:00Z,99.00,1.02
2026-05-05T17:27:00Z,99.00,1.32
2026-05-05T17:28:00Z,99.00,1.32
2026-05-05T17:29:00Z,99.00,1.32
2026-05-05T17:30:00Z,99.00,1.32
2026-05-05T17:31:00Z,99.00,1.32
2026-05-05T17:33:00Z,99.00,1.32
