# event_ticker=KXATPCHALLENGERMATCH-26MAY28MARSCH
# final_score=6-1 2-6 7-6(2)
# score_resolution=1-6 6-2 6-7
# match_winner=Pol Martin Tiffon
# fav_player=Joel Schwaerzler
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-05-28
timestamp,Pol Martin Tiffon,Joel Schwaerzler
2026-05-28T15:05:00Z,75.40,25.02
2026-05-28T15:06:00Z,73.41,33.34
2026-05-28T15:07:00Z,72.75,29.28
2026-05-28T15:08:00Z,80.51,24.03
2026-05-28T15:09:00Z,72.52,26.94
2026-05-28T15:10:00Z,53.60,46.34
2026-05-28T15:11:00Z,54.00,47.59
2026-05-28T15:12:00Z,51.00,50.42
2026-05-28T15:13:00Z,44.00,51.59
2026-05-28T15:14:00Z,44.99,56.16
2026-05-28T15:15:00Z,40.92,60.43
2026-05-28T15:16:00Z,44.95,58.82
2026-05-28T15:17:00Z,40.31,63.29
2026-05-28T15:18:00Z,39.81,63.51
2026-05-28T15:19:00Z,36.28,65.10
2026-05-28T15:20:00Z,51.87,48.26
2026-05-28T15:21:00Z,54.97,45.08
2026-05-28T15:22:00Z,52.85,46.82
2026-05-28T15:23:00Z,53.64,47.05
2026-05-28T15:24:00Z,48.56,53.38
2026-05-28T15:25:00Z,46.23,51.80
2026-05-28T15:26:00Z,50.60,47.94
2026-05-28T15:27:00Z,52.26,48.23
2026-05-28T15:28:00Z,56.05,43.95
2026-05-28T15:29:00Z,57.00,43.60
2026-05-28T15:30:00Z,53.45,52.29
2026-05-28T15:31:00Z,45.18,54.85
2026-05-28T15:32:00Z,48.58,56.00
2026-05-28T15:33:00Z,50.09,50.20
2026-05-28T15:34:00Z,38.39,58.44
2026-05-28T15:35:00Z,36.40,67.34
2026-05-28T15:36:00Z,48.02,49.20
2026-05-28T15:37:00Z,54.00,47.48
2026-05-28T15:38:00Z,52.29,47.52
2026-05-28T15:39:00Z,47.00,51.87
2026-05-28T15:40:00Z,43.94,56.50
2026-05-28T15:41:00Z,53.52,44.93
2026-05-28T15:42:00Z,75.13,22.74
2026-05-28T15:43:00Z,92.50,6.45
2026-05-28T15:44:00Z,98.81,1.14
2026-05-28T15:45:00Z,98.09,1.16
2026-05-28T15:46:00Z,97.97,3.01
2026-05-28T15:47:00Z,99.00,3.01
2026-05-28T15:48:00Z,99.00,3.01
2026-05-28T15:50:00Z,99.00,3.01
2026-05-28T15:52:00Z,99.00,3.01
