# event_ticker=KXATPCHALLENGERMATCH-26MAY06HEMBEN
# final_score=4-6 6-4 6-3
# score_resolution=6-4 4-6 3-6
# match_winner=Calvin Hemery
# fav_player=Reda Bennani
# dog_player=Calvin Hemery
# kalshi_date=2026-05-06
timestamp,Calvin Hemery,Reda Bennani
2026-05-06T16:53:00Z,57.90,42.46
2026-05-06T16:54:00Z,57.14,44.12
2026-05-06T16:55:00Z,59.98,41.00
2026-05-06T16:56:00Z,60.61,41.00
2026-05-06T16:57:00Z,61.00,41.00
2026-05-06T16:58:00Z,58.96,41.76
2026-05-06T16:59:00Z,58.37,41.03
2026-05-06T17:00:00Z,61.00,42.00
2026-05-06T17:01:00Z,57.20,42.32
2026-05-06T17:02:00Z,58.85,42.00
2026-05-06T17:03:00Z,58.06,42.28
2026-05-06T17:04:00Z,58.86,42.27
2026-05-06T17:05:00Z,58.78,43.00
2026-05-06T17:06:00Z,59.00,43.06
2026-05-06T17:07:00Z,59.27,43.48
2026-05-06T17:08:00Z,59.07,43.00
2026-05-06T17:09:00Z,60.00,42.06
2026-05-06T17:10:00Z,59.10,42.74
2026-05-06T17:11:00Z,59.76,42.02
2026-05-06T17:12:00Z,57.74,43.26
2026-05-06T17:13:00Z,56.70,43.26
2026-05-06T17:14:00Z,58.87,42.97
2026-05-06T17:15:00Z,58.77,42.43
2026-05-06T17:16:00Z,57.97,42.94
2026-05-06T17:17:00Z,55.93,45.47
2026-05-06T17:18:00Z,54.63,45.73
2026-05-06T17:19:00Z,57.86,45.02
2026-05-06T17:20:00Z,57.00,43.91
2026-05-06T17:21:00Z,58.00,44.00
2026-05-06T17:22:00Z,57.90,43.99
2026-05-06T17:23:00Z,57.93,42.97
2026-05-06T17:24:00Z,58.12,44.11
2026-05-06T17:25:00Z,52.73,49.61
2026-05-06T17:26:00Z,47.58,49.73
2026-05-06T17:27:00Z,33.98,66.29
2026-05-06T17:28:00Z,28.50,73.60
2026-05-06T17:29:00Z,20.64,78.27
2026-05-06T17:30:00Z,19.29,80.27
2026-05-06T17:31:00Z,18.54,83.66
2026-05-06T17:32:00Z,22.43,79.54
2026-05-06T17:33:00Z,29.10,77.72
2026-05-06T17:34:00Z,27.40,74.25
2026-05-06T17:35:00Z,33.09,64.18
2026-05-06T17:36:00Z,25.60,79.68
2026-05-06T17:37:00Z,24.15,77.11
2026-05-06T17:38:00Z,20.50,80.61
2026-05-06T17:39:00Z,23.16,80.80
2026-05-06T17:40:00Z,22.86,75.86
2026-05-06T17:41:00Z,24.00,75.78
2026-05-06T17:42:00Z,31.46,70.17
2026-05-06T17:43:00Z,37.52,67.71
2026-05-06T17:44:00Z,49.25,51.80
2026-05-06T17:45:00Z,50.83,53.87
2026-05-06T17:46:00Z,55.47,45.69
2026-05-06T17:47:00Z,58.01,43.53
2026-05-06T17:48:00Z,57.68,45.25
2026-05-06T17:49:00Z,46.25,53.82
2026-05-06T17:50:00Z,42.45,58.54
2026-05-06T17:51:00Z,42.27,60.79
2026-05-06T17:52:00Z,38.72,62.24
2026-05-06T17:53:00Z,41.56,56.93
2026-05-06T17:54:00Z,46.90,55.79
2026-05-06T17:55:00Z,43.80,58.57
2026-05-06T17:56:00Z,45.47,56.50
2026-05-06T17:57:00Z,46.37,55.11
2026-05-06T17:58:00Z,55.99,42.23
2026-05-06T17:59:00Z,65.49,35.08
2026-05-06T18:00:00Z,66.90,32.95
2026-05-06T18:01:00Z,67.61,34.04
2026-05-06T18:02:00Z,67.70,34.03
2026-05-06T18:03:00Z,70.59,33.43
2026-05-06T18:04:00Z,72.59,28.02
2026-05-06T18:05:00Z,69.24,31.65
2026-05-06T18:06:00Z,67.60,34.21
2026-05-06T18:07:00Z,73.47,25.17
2026-05-06T18:08:00Z,78.28,22.59
2026-05-06T18:09:00Z,89.61,10.60
2026-05-06T18:10:00Z,92.18,6.70
2026-05-06T18:11:00Z,95.46,5.13
2026-05-06T18:12:00Z,92.87,5.12
2026-05-06T18:13:00Z,93.18,5.73
2026-05-06T18:14:00Z,93.78,6.78
2026-05-06T18:15:00Z,91.99,8.50
2026-05-06T18:16:00Z,91.56,8.08
2026-05-06T18:17:00Z,91.16,9.72
2026-05-06T18:18:00Z,93.29,8.17
2026-05-06T18:19:00Z,87.96,10.15
2026-05-06T18:20:00Z,88.37,11.71
2026-05-06T18:21:00Z,80.89,19.66
2026-05-06T18:22:00Z,86.57,22.28
2026-05-06T18:23:00Z,91.34,9.79
2026-05-06T18:24:00Z,91.98,7.38
2026-05-06T18:25:00Z,91.31,8.94
2026-05-06T18:26:00Z,89.74,10.81
2026-05-06T18:27:00Z,89.21,12.20
2026-05-06T18:28:00Z,88.21,12.66
2026-05-06T18:29:00Z,89.60,11.80
2026-05-06T18:30:00Z,93.17,6.25
2026-05-06T18:31:00Z,92.81,9.88
2026-05-06T18:32:00Z,93.86,6.79
2026-05-06T18:33:00Z,94.24,5.74
2026-05-06T18:34:00Z,92.48,8.09
2026-05-06T18:35:00Z,92.78,7.63
2026-05-06T18:36:00Z,94.68,6.58
2026-05-06T18:37:00Z,96.57,5.55
2026-05-06T18:38:00Z,94.56,4.82
2026-05-06T18:39:00Z,98.84,1.46
2026-05-06T18:40:00Z,99.00,1.00
2026-05-06T18:41:00Z,99.00,1.00
2026-05-06T18:42:00Z,99.00,1.00
