# event_ticker=KXATPCHALLENGERMATCH-26MAR30DUCRUB
# final_score=6-1 6-1
# match_winner=James Duckworth
# fav_player=James Duckworth
# dog_player=Alan Fernando Rubio Fierros
# kalshi_date=2026-03-30
timestamp,James Duckworth,Alan Fernando Rubio Fierros
2026-03-31T00:06:00Z,89.00,11.00
2026-03-31T00:19:00Z,89.00,11.43
2026-03-31T00:22:00Z,89.00,12.00
2026-03-31T00:25:00Z,89.00,12.00
2026-03-31T00:26:00Z,89.00,12.00
2026-03-31T00:27:00Z,89.00,12.00
2026-03-31T00:28:00Z,89.00,12.00
2026-03-31T00:33:00Z,89.00,11.00
2026-03-31T00:34:00Z,89.00,11.00
2026-03-31T00:35:00Z,89.00,11.00
2026-03-31T00:37:00Z,89.00,11.00
2026-03-31T00:38:00Z,89.00,12.00
2026-03-31T00:40:00Z,88.79,12.00
2026-03-31T00:41:00Z,88.79,12.57
2026-03-31T00:42:00Z,88.79,12.92
2026-03-31T00:43:00Z,89.00,12.00
2026-03-31T00:44:00Z,89.00,10.95
2026-03-31T00:45:00Z,89.00,8.98
2026-03-31T00:46:00Z,93.00,7.56
2026-03-31T00:47:00Z,93.00,5.03
2026-03-31T00:48:00Z,93.00,6.47
2026-03-31T00:49:00Z,93.00,7.49
2026-03-31T00:50:00Z,94.00,8.29
2026-03-31T00:51:00Z,93.67,8.40
2026-03-31T00:52:00Z,93.67,7.00
2026-03-31T00:53:00Z,93.67,7.00
2026-03-31T00:54:00Z,93.67,5.61
2026-03-31T00:55:00Z,95.00,4.08
2026-03-31T00:56:00Z,95.00,5.16
2026-03-31T00:57:00Z,95.00,6.90
2026-03-31T00:58:00Z,94.00,6.36
2026-03-31T00:59:00Z,95.00,6.36
2026-03-31T01:00:00Z,94.00,5.00
2026-03-31T01:01:00Z,94.00,5.22
2026-03-31T01:02:00Z,93.00,6.67
2026-03-31T01:03:00Z,92.98,6.67
2026-03-31T01:04:00Z,92.98,6.96
2026-03-31T01:05:00Z,95.00,6.96
2026-03-31T01:06:00Z,95.00,4.00
2026-03-31T01:07:00Z,95.03,5.00
2026-03-31T01:08:00Z,94.13,5.86
2026-03-31T01:09:00Z,94.13,4.98
2026-03-31T01:10:00Z,96.00,3.57
2026-03-31T01:11:00Z,94.00,5.59
2026-03-31T01:12:00Z,94.00,6.00
2026-03-31T01:13:00Z,94.67,4.53
2026-03-31T01:14:00Z,94.67,5.20
2026-03-31T01:15:00Z,95.00,4.86
2026-03-31T01:16:00Z,95.00,5.00
2026-03-31T01:17:00Z,95.00,4.00
2026-03-31T01:18:00Z,95.00,5.00
2026-03-31T01:19:00Z,95.00,4.00
2026-03-31T01:20:00Z,95.00,5.00
2026-03-31T01:21:00Z,94.99,5.58
2026-03-31T01:22:00Z,95.26,6.00
2026-03-31T01:23:00Z,95.26,6.05
2026-03-31T01:24:00Z,95.26,6.00
2026-03-31T01:25:00Z,94.00,7.26
2026-03-31T01:26:00Z,95.54,5.00
2026-03-31T01:27:00Z,95.00,5.15
2026-03-31T01:28:00Z,95.00,4.78
2026-03-31T01:29:00Z,94.18,9.70
2026-03-31T01:30:00Z,96.20,3.61
2026-03-31T01:31:00Z,96.00,3.83
2026-03-31T01:32:00Z,96.00,4.36
2026-03-31T01:33:00Z,96.13,5.72
2026-03-31T01:34:00Z,98.00,3.24
2026-03-31T01:35:00Z,98.00,2.44
2026-03-31T01:36:00Z,97.80,2.44
2026-03-31T01:37:00Z,97.00,4.14
2026-03-31T01:38:00Z,93.02,6.75
2026-03-31T01:39:00Z,94.64,5.00
2026-03-31T01:40:00Z,96.08,3.65
2026-03-31T01:41:00Z,97.51,2.08
2026-03-31T01:42:00Z,98.00,3.79
2026-03-31T01:43:00Z,96.76,3.89
2026-03-31T01:44:00Z,96.76,3.00
2026-03-31T01:45:00Z,98.40,2.24
2026-03-31T01:46:00Z,98.80,1.31
2026-03-31T01:47:00Z,99.00,2.00
2026-03-31T01:48:00Z,99.00,1.30
2026-03-31T01:49:00Z,99.00,2.00
2026-03-31T01:50:00Z,98.01,2.09
2026-03-31T01:51:00Z,98.01,1.91
2026-03-31T01:52:00Z,98.01,1.00
2026-03-31T01:53:00Z,98.01,1.00
2026-03-31T01:54:00Z,98.01,1.00
2026-03-31T01:59:00Z,98.01,1.00
2026-03-31T02:00:00Z,98.01,1.00
